ENSEEEP00000029904	ENSEEEG00000014318	Electrophorus_electricus
ENSPNAP00000020611	ENSPNAG00000027492	Pygocentrus_nattereri
ENSCHAP00000029787	ENSCHAG00000014257	Clupea_harengus
ENSHHUP00000046932	ENSHHUG00000028542	Hucho_hucho
ENSELUP00000041589	ENSELUG00000022471	Esox_lucius
ENSPKIP00000009020	ENSPKIG00000024285	Paramormyrops_kingsleyae
ENSONIP00000010892	ENSONIG00000008664	Oreochromis_niloticus
ENSNBRP00000004249	ENSNBRG00000003369	Neolamprologus_brichardi
ENSHBUP00000023666	ENSHBUG00000004619	Haplochromis_burtoni
ENSMZEP00005033791	ENSMZEG00005025265	Maylandia_zebra
ENSACIP00000026198	ENSACIG00000020307	Amphilophus_citrinellus
ENSFHEP00000018731	ENSFHEG00000020619	Fundulus_heteroclitus
ENSAOCP00000015767	ENSAOCG00000020566	Amphiprion_ocellaris
ENSMALP00000029266	ENSMALG00000020251	Monopterus_albus
ENSSLDP00000021395	ENSSLDG00000016721	Seriola_lalandi_dorsalis
ENSSDUP00000027249	ENSSDUG00000019725	Seriola_dumerili
ENSLCAP00010044852	ENSLCAG00010020854	Lates_calcarifer
ENSCGOP00000031468	ENSCGOG00000014707	Cottoperca_gobio
ENSVURP00010006000	ENSVURG00010004652	Vombatus_ursinus	ENSVURT00010006785
ENSPCIP00000024506	ENSPCIG00000018469	Phascolarctos_cinereus	ENSPCIT00000030194
ENSMEUP00000013201	ENSMEUG00000014457	Notamacropus_eugenii	ENSMEUT00000014506
ENSSHAP00000019738	ENSSHAG00000016758	Sarcophilus_harrisii	ENSSHAT00000019895
ENSMODP00000010371	ENSMODG00000008341	Monodelphis_domestica	ENSMODT00000010571
ENSVPAP00000007292	ENSVPAG00000007838	Vicugna_pacos
ENSTTRP00000012320	ENSTTRG00000012986	Tursiops_truncatus
ENSCHIP00000004096	ENSCHIG00000008308	Capra_hircus	ENSCHIT00000011468
ENSOARP00000013472	ENSOARG00000012571	Ovis_aries	ENSOART00000013670
ENSBIXP00005021447	ENSBIXG00005024495	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000043379	ENSBIXG00000027484	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000027304	ENSBTAG00000020491	Bos_taurus
ENSBMUP00000019925	ENSBMUG00000015018	Bos_mutus	ENSBMUT00000023006
ENSBBBP00000014930	ENSBBBG00000008131	Bison_bison_bison
ENSSSCP00000018064	ENSSSCG00000017051	Sus_scrofa_strain_reference
ENSEASP00005000877	ENSEASG00005000761	Equus_asinus_asinus
ENSECAP00000049658	ENSECAG00000016620	Equus_caballus
ENSUAMP00000016811	ENSUAMG00000013351	Ursus_americanus
ENSAMEP00000006678	ENSAMEG00000006342	Ailuropoda_melanoleuca
ENSNVIP00000006061	ENSNVIG00000004842	Neovison_vison
ENSMPUP00000013363	ENSMPUG00000013465	Mustela_putorius_furo
ENSCAFP00020032919	ENSCAFG00020025579	Canis_lupus_dingo
ENSCAFP00000040960	ENSCAFG00000017351	Canis_lupus_familiaris
ENSPTIP00000014000	ENSPTIG00000013560	Panthera_tigris_altaica
ENSPPRP00000016081	ENSPPRG00000008501	Panthera_pardus
ENSFCAP00000003556	ENSFCAG00000003853	Felis_catus
ENSPVAP00000009663	ENSPVAG00000010248	Pteropus_vampyrus
ENSMLUP00000014498	ENSMLUG00000015904	Myotis_lucifugus
ENSOPRP00000012548	ENSOPRG00000013760	Ochotona_princeps
ENSCHOP00000010671	ENSCHOG00000012064	Choloepus_hoffmanni
ENSDNOP00000001721	ENSDNOG00000002213	Dasypus_novemcinctus
ENSLAFP00000004121	ENSLAFG00000004922	Loxodonta_africana
ENSPCAP00000009897	ENSPCAG00000010619	Procavia_capensis
ENSCCAP00000012518	ENSCCAG00000024037	Cebus_capucinus_imitator
ENSSBOP00000006149	ENSSBOG00000020019	Saimiri_boliviensis_boliviensis
ENSCJAP00000035226	ENSCJAG00000018960	Callithrix_jacchus
ENSANAP00000021644	ENSANAG00000028610	Aotus_nancymaae
ENSPTRP00000075098	ENSPTRG00000017471	Pan_troglodytes
ENSPPAP00000040476	ENSPPAG00000042889	Pan_paniscus
ENSP00000265007	ENSG00000039600	Homo_sapiens
ENSGGOP00000028163	ENSGGOG00000025241	Gorilla_gorilla
ENSNLEP00000005026	ENSNLEG00000004158	Nomascus_leucogenys
ENSMLEP00000025923	ENSMLEG00000037153	Mandrillus_leucophaeus
ENSCATP00000041927	ENSCATG00000043607	Cercocebus_atys
ENSPANP00000003490	ENSPANG00000026421	Papio_anubis
ENSTGEP00000010370	ENSTGEG00000008503	Theropithecus_gelada
ENSMMUP00000028380	ENSMMUG00000021550	Macaca_mulatta
ENSMFAP00000013682	ENSMFAG00000029536	Macaca_fascicularis
ENSMNEP00000020404	ENSMNEG00000034013	Macaca_nemestrina
ENSCSAP00000006804	ENSCSAG00000010596	Chlorocebus_sabaeus
ENSPTEP00000010968	ENSPTEG00000012376	Piliocolobus_tephrosceles
ENSCANP00000011597	ENSCANG00000029196	Colobus_angolensis_palliatus
ENSRBIP00000011276	ENSRBIG00000029511	Rhinopithecus_bieti
ENSRROP00000008613	ENSRROG00000028754	Rhinopithecus_roxellana
ENSTSYP00000004944	ENSTSYG00000005381	Carlito_syrichta
ENSMICP00000000924	ENSMICG00000001020	Microcebus_murinus
ENSPSMP00000008442	ENSPSMG00000006219	Prolemur_simus
ENSPCOP00000006692	ENSPCOG00000014531	Propithecus_coquereli
ENSOGAP00000008120	ENSOGAG00000009055	Otolemur_garnettii
ENSCCNP00000021890	ENSCCNG00000021614	Castor_canadensis
ENSDORP00000001349	ENSDORG00000001450	Dipodomys_ordii
ENSMSIP00000038642	ENSMSIG00000032203	Mus_spicilegus
MGP_SPRETEiJ_P0027635	MGP_SPRETEiJ_G0017078	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000037519	ENSMUSG00000040489	Mus_musculus_strain_reference_(CL57BL6)
