ENSBIXP00000036050	ENSBIXG00000003457	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTEP00000016389	ENSPTEG00000018022	Piliocolobus_tephrosceles
ENSEEUP00000007639	ENSEEUG00000008415	Erinaceus_europaeus
ENSODEP00000019972	ENSODEG00000014741	Octodon_degus
ENSATEP00000021204	ENSATEG00000014733	Anabas_testudineus
ENSMLEP00000031604	ENSMLEG00000040023	Mandrillus_leucophaeus
ENSPSMP00000025543	ENSPSMG00000017945	Prolemur_simus
ENSRROP00000016163	ENSRROG00000032234	Rhinopithecus_roxellana
ENSPPAP00000025450	ENSPPAG00000035854	Pan_paniscus
ENSSARP00000004273	ENSSARG00000004696	Sorex_araneus
ENSAOWP00000023497	ENSAOWG00000015852	Apteryx_owenii
ENSAMEP00000017007	ENSAMEG00000016115	Ailuropoda_melanoleuca
ENSTGEP00000014677	ENSTGEG00000011918	Theropithecus_gelada
ENSRBIP00000027088	ENSRBIG00000037401	Rhinopithecus_bieti
ENSPANP00000035677	ENSPANG00000007752	Papio_anubis
ENSMNEP00000017714	ENSMNEG00000032828	Macaca_nemestrina
ENSCCAP00000024052	ENSCCAG00000029814	Cebus_capucinus_imitator
ENSFCAP00000062272	ENSFCAG00000023608	Felis_catus
ENSABRP00000001722	ENSABRG00000001757	Anser_brachyrhynchus	ENSABRT00000002563
ENSBMUP00000015579	ENSBMUG00000011845	Bos_mutus
ENSPTRP00000090175	ENSPTRG00000044799	Pan_troglodytes
ENSAPLP00000018502	ENSAPLG00000018877	Anas_platyrhynchos_platyrhynchos
ENSTRUP00000056045	ENSTRUG00000014833	Takifugu_rubripes
ENSOGAP00000007533	ENSOGAG00000008410	Otolemur_garnettii
MGP_SPRETEiJ_P0077749	MGP_SPRETEiJ_G0029612	Mus_spretus_strain_SPRET/EiJ
ENSCJAP00000048632	ENSCJAG00000019256	Callithrix_jacchus
ENSGGOP00000019009	ENSGGOG00000022261	Gorilla_gorilla
ENSGGOP00000005244	ENSGGOG00000005360	Gorilla_gorilla
ENSVVUP00000039337	ENSVVUG00000028025	Vulpes_vulpes
ENSOARP00000021205	ENSOARG00000019744	Ovis_aries
ENSMICP00000039052	ENSMICG00000038189	Microcebus_murinus
ENSTBEP00000004284	ENSTBEG00000004991	Tupaia_belangeri
ENSPPAP00000029518	ENSPPAG00000037768	Pan_paniscus
ENSPKIP00000015008	ENSPKIG00000001853	Paramormyrops_kingsleyae
ENSPCOP00000031367	ENSPCOG00000028451	Propithecus_coquereli
ENSMFAP00000035490	ENSMFAG00000040656	Macaca_fascicularis
ENSPPYP00000013753	ENSPPYG00000012332	Pongo_abelii
ENSCANP00000020373	ENSCANG00000033610	Colobus_angolensis_palliatus
ENSPREP00000025772	ENSPREG00000017403	Poecilia_reticulata
ENSPTRP00000088011	ENSPTRG00000012022	Pan_troglodytes
ENSCATP00000022553	ENSCATG00000034898	Cercocebus_atys
ENSNLEP00000045858	ENSNLEG00000010138	Nomascus_leucogenys
ENSANAP00000037584	ENSANAG00000036286	Aotus_nancymaae
ENSMSIP00000017533	ENSMSIG00000014947	Mus_spicilegus
