ENSPKIP00000033542	ENSPKIG00000013185	Paramormyrops_kingsleyae	ENSPKIT00000014432
ENSSFOP00015037645	ENSSFOG00015023957	Scleropages_formosus	ENSSFOT00015038059
ENSSFOP00015031603	ENSSFOG00015020221	Scleropages_formosus	ENSSFOT00015031958
ENSPKIP00000004018	ENSPKIG00000021239	Paramormyrops_kingsleyae	ENSPKIT00000027990
ENSCHAP00000062053	ENSCHAG00000027604	Clupea_harengus	ENSCHAT00000066778
ENSDARP00000154127	ENSDARG00000113064	Danio_rerio
ENSDCDP00000022553	ENSDCDG00000015136	Denticeps_clupeoides	ENSDCDT00000030733
ENSPNAP00000028742	ENSPNAG00000003184	Pygocentrus_nattereri	ENSPNAT00000035130
ENSAMXP00000047670	ENSAMXG00000033780	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000048238
ENSIPUP00000011650	ENSIPUG00000007843	Ictalurus_punctatus	ENSIPUT00000012140
ENSEEEP00000014702	ENSEEEG00000007313	Electrophorus_electricus
ENSEEEP00000014699	ENSEEEG00000007311	Electrophorus_electricus	ENSEEET00000014874
ENSSLDP00000004317	ENSSLDG00000003305	Seriola_lalandi_dorsalis
ENSSDUP00000020563	ENSSDUG00000014926	Seriola_dumerili
ENSLCAP00010056080	ENSLCAG00010026032	Lates_calcarifer
ENSSMAP00000003342	ENSSMAG00000002025	Scophthalmus_maximus
ENSCGOP00000052236	ENSCGOG00000022842	Cottoperca_gobio
ENSGACP00000013700	ENSGACG00000010356	Gasterosteus_aculeatus
ENSLCRP00005021839	ENSLCRG00005006797	Larimichthys_crocea
ENSLBEP00000031753	ENSLBEG00000023910	Labrus_bergylta
ENSTRUP00000033829	ENSTRUG00000013288	Takifugu_rubripes
ENSTNIP00000013358	ENSTNIG00000010450	Tetraodon_nigroviridis
ENSMMOP00000014919	ENSMMOG00000011406	Mola_mola
ENSSPAP00000001919	ENSSPAG00000001431	Stegastes_partitus
ENSSPAP00000001975	ENSSPAG00000001492	Stegastes_partitus
ENSAOCP00000001079	ENSAOCG00000004022	Amphiprion_ocellaris
ENSAOCP00000020152	ENSAOCG00000000135	Amphiprion_ocellaris
ENSAPEP00000008856	ENSAPEG00000006343	Amphiprion_percula
ENSAPEP00000008963	ENSAPEG00000006428	Amphiprion_percula
ENSAPOP00000002208	ENSAPOG00000000950	Acanthochromis_polyacanthus
ENSPRNP00000054206	ENSPRNG00000025489	Parambassis_ranga
ENSPNYP00000011264	ENSPNYG00000008501	Pundamilia_nyererei
ENSMZEP00005013630	ENSMZEG00005010242	Maylandia_zebra
ENSACLP00000033207	ENSACLG00000022375	Astatotilapia_calliptera
ENSHBUP00000023108	ENSHBUG00000003758	Haplochromis_burtoni
ENSNBRP00000026870	ENSNBRG00000020470	Neolamprologus_brichardi
ENSONIP00000002437	ENSONIG00000001946	Oreochromis_niloticus
ENSACIP00000022495	ENSACIG00000017473	Amphilophus_citrinellus
ENSFHEP00000029828	ENSFHEG00000014815	Fundulus_heteroclitus
ENSCVAP00000000077	ENSCVAG00000023382	Cyprinodon_variegatus
ENSPMEP00000032624	ENSPMEG00000020689	Poecilia_mexicana
ENSPFOP00000003932	ENSPFOG00000002990	Poecilia_formosa
ENSPLAP00000029292	ENSPLAG00000019382	Poecilia_latipinna
ENSPREP00000006296	ENSPREG00000004365	Poecilia_reticulata
ENSXMAP00000033894	ENSXMAG00000013133	Xiphophorus_maculatus
ENSXCOP00000014390	ENSXCOG00000010919	Xiphophorus_couchianus
ENSGAFP00000018092	ENSGAFG00000012226	Gambusia_affinis
ENSKMAP00000018009	ENSKMAG00000013369	Kryptolebias_marmoratus
ENSOMEP00000025345	ENSOMEG00000006522	Oryzias_melastigma
