ENSONIP00000016541	ENSONIG00000013150	Oreochromis_niloticus
ENSHHUP00000023946	ENSHHUG00000015035	Hucho_hucho	ENSHHUT00000024847
ENSXCOP00000023709	ENSXCOG00000017709	Xiphophorus_couchianus
ENSPREP00000014706	ENSPREG00000009933	Poecilia_reticulata
ENSCHOP00000010089	ENSCHOG00000011412	Choloepus_hoffmanni
ENSLACP00000006153	ENSLACG00000005458	Latimeria_chalumnae
ENSAMEP00000003919	ENSAMEG00000003723	Ailuropoda_melanoleuca
ENSCAFP00000028145	ENSCAFG00000019078	Canis_lupus_familiaris
ENSLOCP00000007416	ENSLOCG00000006137	Lepisosteus_oculatus
ENSAPOP00000001220	ENSAPOG00000002488	Acanthochromis_polyacanthus
ENSAPEP00000013183	ENSAPEG00000009380	Amphiprion_percula
ENSGWIP00000011256	ENSGWIG00000006607	Gouania_willdenowi
ENSMAMP00000027203	ENSMAMG00000018285	Mastacembelus_armatus
ENSPLAP00000029121	ENSPLAG00000019053	Poecilia_latipinna
ENSHBUP00000031398	ENSHBUG00000017172	Haplochromis_burtoni
ENSPFOP00000010406	ENSPFOG00000010359	Poecilia_formosa
ENSCVAP00000015957	ENSCVAG00000018857	Cyprinodon_variegatus
ENSMVIP00005006149	ENSMVIG00005004699	Manacus_vitellinus
ENSXMAP00000003988	ENSXMAG00000003982	Xiphophorus_maculatus
ENSORLP00020008393	ENSORLG00020009286	Oryzias_latipes_ASM223471v1
ENSCHAP00000008144	ENSCHAG00000004865	Clupea_harengus
ENSELUP00000022428	ENSELUG00000021395	Esox_lucius
ENSCGOP00000053638	ENSCGOG00000023496	Cottoperca_gobio
ENSSLDP00000009479	ENSSLDG00000007538	Seriola_lalandi_dorsalis
ENSPNYP00000022235	ENSPNYG00000016745	Pundamilia_nyererei
ENSSDUP00000015749	ENSSDUG00000011489	Seriola_dumerili
ENSMZEP00005010358	ENSMZEG00005007819	Maylandia_zebra
ENSSPAP00000029615	ENSSPAG00000022266	Stegastes_partitus
ENSATEP00000032332	ENSATEG00000022265	Anabas_testudineus
ENSMALP00000025054	ENSMALG00000017435	Monopterus_albus
ENSCMIP00000022084	ENSCMIG00000010013	Callorhinchus_milii
ENSORLP00000026289	ENSORLG00000004701	Oryzias_latipes_ASM223467v1
ENSACLP00000008605	ENSACLG00000005845	Astatotilapia_calliptera
ENSAOCP00000018417	ENSAOCG00000023606	Amphiprion_ocellaris
ENSSLDP00000013801	ENSSLDG00000011004	Seriola_lalandi_dorsalis
ENSLBEP00000028084	ENSLBEG00000021281	Labrus_bergylta
ENSOANP00000019165	ENSOANG00000012101	Ornithorhynchus_anatinus
ENSNGAP00000015210	ENSNGAG00000016301	Nannospalax_galili
ENSTGUP00000016442	ENSTGUG00000016122	Taeniopygia_guttata
ENSGACP00000014508	ENSGACG00000010966	Gasterosteus_aculeatus
ENSLACP00000007326	ENSLACG00000006498	Latimeria_chalumnae
ENSEBUP00000009143	ENSEBUG00000005906	Eptatretus_burgeri
ENSETEP00000014505	ENSETEG00000017855	Echinops_telfairi
ENSPRNP00000022077	ENSPRNG00000011338	Parambassis_ranga
ENSPMEP00000033483	ENSPMEG00000022027	Poecilia_mexicana
