ENSVVUP00000000865	ENSVVUG00000000772	Vulpes_vulpes
ENSBIXP00005044519	ENSBIXG00005028376	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPSIP00000004148	ENSPSIG00000003912	Pelodiscus_sinensis
ENSRNOP00000064113	ENSRNOG00000045943	Rattus_norvegicus
MGP_CAROLIEiJ_P0084084	MGP_CAROLIEiJ_G0030938	Mus_caroli_strain_CAROLI_EIJ
ENSETEP00000015250	ENSETEG00000018765	Echinops_telfairi
ENSSPUP00000020504	ENSSPUG00000015735	Sphenodon_punctatus
MGP_PahariEiJ_P0046986	MGP_PahariEiJ_G0021408	Mus_pahari_strain_PAHARI_EIJ
ENSMZEP00005025877	ENSMZEG00005019301	Maylandia_zebra
ENSORLP00000013667	ENSORLG00000010897	Oryzias_latipes_ASM223467v1
ENSPREP00000010221	ENSPREG00000006963	Poecilia_reticulata
ENSGAFP00000009385	ENSGAFG00000006393	Gambusia_affinis
ENSTNIP00000006089	ENSTNIG00000003501	Tetraodon_nigroviridis
ENSIPUP00000027482	ENSIPUG00000018604	Ictalurus_punctatus
ENSMODP00000012636	ENSMODG00000010090	Monodelphis_domestica
ENSAMEP00000005267	ENSAMEG00000004989	Ailuropoda_melanoleuca
ENSGALP00000042710	ENSGALG00000015386	Gallus_gallus
ENSTGEP00000015889	ENSTGEG00000012823	Theropithecus_gelada
ENSTTRP00000008379	ENSTTRG00000008833	Tursiops_truncatus
ENSLOCP00000003838	ENSLOCG00000003248	Lepisosteus_oculatus
ENSPRNP00000003059	ENSPRNG00000001889	Parambassis_ranga
ENSAOWP00000025209	ENSAOWG00000017051	Apteryx_owenii
ENSACAP00000005589	ENSACAG00000005721	Anolis_carolinensis
ENSFHEP00000017859	ENSFHEG00000019656	Fundulus_heteroclitus
ENSSLDP00000000199	ENSSLDG00000000214	Seriola_lalandi_dorsalis
ENSSLDP00000009193	ENSSLDG00000007294	Seriola_lalandi_dorsalis
ENSPANP00000002988	ENSPANG00000018297	Papio_anubis
ENSGWIP00000004479	ENSGWIG00000002417	Gouania_willdenowi
ENSCVAP00000000322	ENSCVAG00000001227	Cyprinodon_variegatus
ENSZALP00000009069	ENSZALG00000007825	Zonotrichia_albicollis
ENSNPEP00000017464	ENSNPEG00000012992	Nothoprocta_perdicaria
ENSCABP00000004660	ENSCABG00000003512	Chelonoidis_abingdonii
ENSLCAP00010019020	ENSLCAG00010008989	Lates_calcarifer
ENSCHAP00000041650	ENSCHAG00000019456	Clupea_harengus	ENSCHAT00000045074
ENSDARP00000149585	ENSDARG00000104069	Danio_rerio
ENSLAFP00000003046	ENSLAFG00000003649	Loxodonta_africana
ENSNPEP00000021108	ENSNPEG00000015663	Nothoprocta_perdicaria
ENSMOCP00000010583	ENSMOCG00000010808	Microtus_ochrogaster
ENSPVIP00000004136	ENSPVIG00000003362	Pogona_vitticeps
ENSBTAP00000072624	ENSBTAG00000007630	Bos_taurus
ENSELUP00000033449	ENSELUG00000011714	Esox_lucius
ENSMMOP00000027846	ENSMMOG00000021045	Mola_mola
ENSRBIP00000042770	ENSRBIG00000044618	Rhinopithecus_bieti
ENSCSEP00000012253	ENSCSEG00000007906	Cynoglossus_semilaevis
ENSDARP00000115401	ENSDARG00000094265	Danio_rerio
ENSBIXP00000028768	ENSBIXG00000010128	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNSUP00000001870	ENSNSUG00000001582	Notechis_scutatus
ENSFCAP00000030668	ENSFCAG00000028034	Felis_catus
ENSSDAP00000027322	ENSSDAG00000024764	Spermophilus_dauricus
ENSACAP00000022310	ENSACAG00000029052	Anolis_carolinensis
ENSHBUP00000016802	ENSHBUG00000018806	Haplochromis_burtoni
ENSPSMP00000037195	ENSPSMG00000025571	Prolemur_simus
ENSSFOP00015004258	ENSSFOG00015002802	Scleropages_formosus
ENSORLP00015000241	ENSORLG00015023063	Oryzias_latipes_ASM223469v1
ENSTNIP00000013792	ENSTNIG00000010863	Tetraodon_nigroviridis
ENSPMEP00000002477	ENSPMEG00000003537	Poecilia_mexicana
ENSSPAP00000020203	ENSSPAG00000015242	Stegastes_partitus
ENSDCDP00000012792	ENSDCDG00000007991	Denticeps_clupeoides
ENSSHAP00000001714	ENSSHAG00000001527	Sarcophilus_harrisii
ENSPSIP00000018797	ENSPSIG00000016690	Pelodiscus_sinensis
ENSNBRP00000027210	ENSNBRG00000020756	Neolamprologus_brichardi
ENSHHUP00000000127	ENSHHUG00000000111	Hucho_hucho
ENSBBBP00000003049	ENSBBBG00000012146	Bison_bison_bison
ENSLCRP00005020580	ENSLCRG00005008387	Larimichthys_crocea
ENSPNYP00000016955	ENSPNYG00000012851	Pundamilia_nyererei
ENSGALP00000057515	ENSGALG00000042168	Gallus_gallus
ENSORLP00000018554	ENSORLG00000014802	Oryzias_latipes_ASM223467v1
ENSSDUP00000010297	ENSSDUG00000007529	Seriola_dumerili
ENSACLP00000016777	ENSACLG00000011427	Astatotilapia_calliptera
ENSELUP00000035490	ENSELUG00000014485	Esox_lucius
ENSHHUP00000050400	ENSHHUG00000030419	Hucho_hucho
ENSGGOP00000004810	ENSGGOG00000004910	Gorilla_gorilla
ENSPNAP00000007328	ENSPNAG00000002602	Pygocentrus_nattereri
ENSMVIP00005028592	ENSMVIG00005019897	Manacus_vitellinus
ENSJJAP00000002057	ENSJJAG00000003287	Jaculus_jaculus
ENSCMIP00000038705	ENSCMIG00000016239	Callorhinchus_milii
ENSATEP00000030318	ENSATEG00000020940	Anabas_testudineus
ENSACIP00000003944	ENSACIG00000003121	Amphilophus_citrinellus
ENSHHUP00000032510	ENSHHUG00000020605	Hucho_hucho
ENSAPOP00000002125	ENSAPOG00000003494	Acanthochromis_polyacanthus
ENSCGRP00015033463	ENSCGRG00015025222	Cricetulus_griseus_CriGri-PICR
ENSOPRP00000008894	ENSOPRG00000009723	Ochotona_princeps
ENSDORP00000019557	ENSDORG00000024809	Dipodomys_ordii
ENSVURP00010011503	ENSVURG00010008889	Vombatus_ursinus
