ENSTGEP00000009629	ENSTGEG00000007930	Theropithecus_gelada
ENSMLEP00000000902	ENSMLEG00000003338	Mandrillus_leucophaeus
ENSPTEP00000034727	ENSPTEG00000032916	Piliocolobus_tephrosceles
ENSPPAP00000000122	ENSPPAG00000000477	Pan_paniscus
ENSGGOP00000043073	ENSGGOG00000041112	Gorilla_gorilla
ENSANAP00000003320	ENSANAG00000019606	Aotus_nancymaae
ENSCJAP00000071676	ENSCJAG00000068615	Callithrix_jacchus
ENSPCOP00000016581	ENSPCOG00000020062	Propithecus_coquereli
ENSPCOP00000004302	ENSPCOG00000012582	Propithecus_coquereli
ENSMICP00000032204	ENSMICG00000038041	Microcebus_murinus
ENSPEMP00000035982	ENSPEMG00000027286	Peromyscus_maniculatus_bairdii
ENSSDAP00000015295	ENSSDAG00000013785	Spermophilus_dauricus
ENSSDAP00000015286	ENSSDAG00000013777	Spermophilus_dauricus
ENSSDAP00000015299	ENSSDAG00000013795	Spermophilus_dauricus
ENSUPAP00010005557	ENSUPAG00010004502	Urocitellus_parryii
ENSCCNP00000010134	ENSCCNG00000010646	Castor_canadensis
ENSUAMP00000036364	ENSUAMG00000027556	Ursus_americanus	ENSUAMT00000040465
ENSUMAP00000020780	ENSUMAG00000015221	Ursus_maritimus	ENSUMAT00000024623
ENSNVIP00000019709	ENSNVIG00000015478	Neovison_vison
ENSPPRP00000028476	ENSPPRG00000020592	Panthera_pardus
ENSPPRP00000028484	ENSPPRG00000020605	Panthera_pardus
ENSPTIP00000007649	ENSPTIG00000009237	Panthera_tigris_altaica
ENSFCAP00000055556	ENSFCAG00000053657	Felis_catus
ENSBMUP00000023571	ENSBMUG00000017666	Bos_mutus
ENSBTAP00000056871	ENSBTAG00000050737	Bos_taurus
ENSBBBP00000023126	ENSBBBG00000017515	Bison_bison_bison
ENSCHIP00000013432	ENSCHIG00000014861	Capra_hircus
ENSEASP00005007500	ENSEASG00005005485	Equus_asinus_asinus
ENSECAP00000033101	ENSECAG00000035602	Equus_caballus
ENSCANP00000018583	ENSCANG00000032749	Colobus_angolensis_palliatus
ENSPCIP00000036539	ENSPCIG00000026952	Phascolarctos_cinereus
