ENSVURP00010012718	ENSVURG00010009795	Vombatus_ursinus	ENSVURT00010014474
ENSPCIP00000030873	ENSPCIG00000022947	Phascolarctos_cinereus	ENSPCIT00000037971
ENSMEUP00000007090	ENSMEUG00000007763	Notamacropus_eugenii	ENSMEUT00000007786
ENSSHAP00000020563	ENSSHAG00000017438	Sarcophilus_harrisii	ENSSHAT00000020727
ENSMODP00000042685	ENSMODG00000019913	Monodelphis_domestica	ENSMODT00000063337
ENSEEUP00000008927	ENSEEUG00000009782	Erinaceus_europaeus
ENSSARP00000002897	ENSSARG00000003207	Sorex_araneus
ENSECAP00000023655	ENSECAG00000007741	Equus_caballus
ENSEASP00005015524	ENSEASG00005010831	Equus_asinus_asinus
ENSBIXP00000035393	ENSBIXG00000000626	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005038248	ENSBIXG00005020290	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000071348	ENSBTAG00000002520	Bos_taurus
ENSBMUP00000032952	ENSBMUG00000024594	Bos_mutus
ENSBBBP00000019100	ENSBBBG00000012337	Bison_bison_bison
ENSOARP00000007421	ENSOARG00000006924	Ovis_aries
ENSCHIP00000029485	ENSCHIG00000024582	Capra_hircus
ENSTTRP00000013426	ENSTTRG00000014157	Tursiops_truncatus
ENSSSCP00000051386	ENSSSCG00000013233	Sus_scrofa_strain_reference
ENSVPAP00000000312	ENSVPAG00000000336	Vicugna_pacos
ENSUAMP00000000722	ENSUAMG00000000223	Ursus_americanus
ENSUMAP00000012404	ENSUMAG00000009218	Ursus_maritimus
ENSAMEP00000008022	ENSAMEG00000007596	Ailuropoda_melanoleuca
ENSMPUP00000003929	ENSMPUG00000003960	Mustela_putorius_furo
ENSNVIP00000013056	ENSNVIG00000010227	Neovison_vison
ENSCAFP00000047830	ENSCAFG00000008452	Canis_lupus_familiaris
ENSCAFP00020032864	ENSCAFG00020025487	Canis_lupus_dingo
ENSVVUP00000032302	ENSVVUG00000023439	Vulpes_vulpes
ENSPTIP00000001642	ENSPTIG00000003974	Panthera_tigris_altaica
ENSPPRP00000007077	ENSPPRG00000002376	Panthera_pardus
ENSFCAP00000037762	ENSFCAG00000002535	Felis_catus
ENSPVAP00000006926	ENSPVAG00000007340	Pteropus_vampyrus
ENSMLUP00000015162	ENSMLUG00000016631	Myotis_lucifugus
