FBpp0082341	FBgn0038189	Drosophila_melanogaster	FBtr0082878
FBpp0082342	FBgn0038188	Drosophila_melanogaster	FBtr0082879
FBpp0312126	FBgn0052152	Drosophila_melanogaster	FBtr0346508
FBpp0082588	FBgn0038306	Drosophila_melanogaster	FBtr0083134
ENSGALP00000006299	ENSGALG00000003958	Gallus_gallus
ENSCJPP00005017998	ENSCJPG00005014611	Coturnix_japonica
ENSMGAP00000001781	ENSMGAG00000002195	Meleagris_gallopavo
ENSNMEP00000008704	ENSNMEG00000008475	Numida_meleagris
ENSABRP00000005939	ENSABRG00000005515	Anser_brachyrhynchus
ENSAPLP00000021776	ENSAPLG00000006907	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000010756	ENSPMJG00000008429	Parus_major
ENSCCEP00000007447	ENSCCEG00000007713	Cyanistes_caeruleus
ENSFALP00000001744	ENSFALG00000001682	Ficedula_albicollis
ENSLSDP00000012291	ENSLSDG00000008983	Lonchura_striata_domestica
ENSTGUP00000016110	ENSTGUG00000015757	Taeniopygia_guttata
ENSSCAP00000012775	ENSSCAG00000009419	Serinus_canaria
ENSJHYP00000018827	ENSJHYG00000014322	Junco_hyemalis
ENSZALP00000008988	ENSZALG00000007725	Zonotrichia_albicollis
ENSLCOP00000016334	ENSLCOG00000011646	Lepidothrix_coronata
ENSMVIP00005027330	ENSMVIG00005019063	Manacus_vitellinus
ENSMUNP00000005284	ENSMUNG00000004346	Melopsittacus_undulatus
ENSCPGP00000024685	ENSCPGG00000016989	Calidris_pygmaea
ENSCPUP00000007281	ENSCPUG00000005242	Calidris_pugnax
ENSARWP00000009889	ENSARWG00000006881	Apteryx_rowi
ENSAOWP00000001741	ENSAOWG00000001242	Apteryx_owenii
ENSAHAP00000024912	ENSAHAG00000017342	Apteryx_haastii
ENSDNVP00000019014	ENSDNVG00000013275	Dromaius_novaehollandiae
ENSNPEP00000001792	ENSNPEG00000001308	Nothoprocta_perdicaria
ENSCPRP00005013366	ENSCPRG00005009456	Crocodylus_porosus
ENSCABP00000020885	ENSCABG00000015114	Chelonoidis_abingdonii
ENSGAGP00000005044	ENSGAGG00000004116	Gopherus_agassizii
ENSCPBP00000019418	ENSCPBG00000014034	Chrysemys_picta_bellii
ENSPSIP00000013740	ENSPSIG00000012339	Pelodiscus_sinensis
ENSPVIP00000017119	ENSPVIG00000013203	Pogona_vitticeps
ENSACAP00000015338	ENSACAG00000015533	Anolis_carolinensis
ENSNSUP00000015764	ENSNSUG00000011641	Notechis_scutatus
ENSSMRP00000004601	ENSSMRG00000003784	Salvator_merianae
ENSSPUP00000015682	ENSSPUG00000012020	Sphenodon_punctatus
ENSVURP00010004510	ENSVURG00010003584	Vombatus_ursinus
