ENSLCRP00005055852	ENSLCRG00005020807	Larimichthys_crocea
ENSLCRP00005055829	ENSLCRG00005020796	Larimichthys_crocea	ENSLCRT00005056714
ENSTRUP00000055062	ENSTRUG00000021176	Takifugu_rubripes	ENSTRUT00000050457
ENSSPAP00000009997	ENSSPAG00000007617	Stegastes_partitus	ENSSPAT00000010175
ENSACIP00000013383	ENSACIG00000010416	Amphilophus_citrinellus	ENSACIT00000013749
ENSXCOP00000018664	ENSXCOG00000014049	Xiphophorus_couchianus	ENSXCOT00000018899
ENSXMAP00000028640	ENSXMAG00000024552	Xiphophorus_maculatus	ENSXMAT00000034932
ENSFHEP00000014613	ENSFHEG00000016192	Fundulus_heteroclitus	ENSFHET00000022493
ENSSMAP00000028624	ENSSMAG00000017523	Scophthalmus_maximus	ENSSMAT00000028977
ENSSMAP00000028628	ENSSMAG00000017530	Scophthalmus_maximus	ENSSMAT00000028981
ENSPRNP00000006441	ENSPRNG00000003873	Parambassis_ranga	ENSPRNT00000007080
ENSATEP00000008980	ENSATEG00000006317	Anabas_testudineus	ENSATET00000009139
