ENSPVIP00000017798	ENSPVIG00000013648	Pogona_vitticeps	ENSPVIT00000022162
ENSACAP00000022580	ENSACAG00000029506	Anolis_carolinensis	ENSACAT00000029997
ENSSPUP00000005301	ENSSPUG00000004065	Sphenodon_punctatus
ENSGAGP00000017690	ENSGAGG00000013145	Gopherus_agassizii
ENSCPBP00000016126	ENSCPBG00000011907	Chrysemys_picta_bellii
ENSPSIP00000009157	ENSPSIG00000008349	Pelodiscus_sinensis
ENSLCOP00000013631	ENSLCOG00000009831	Lepidothrix_coronata
ENSMVIP00005024090	ENSMVIG00005016906	Manacus_vitellinus
ENSSCAP00000013104	ENSSCAG00000009762	Serinus_canaria
ENSZALP00000019104	ENSZALG00000015208	Zonotrichia_albicollis
ENSLSDP00000013019	ENSLSDG00000009481	Lonchura_striata_domestica
ENSTGUP00000012024	ENSTGUG00000011666	Taeniopygia_guttata
ENSCCEP00000017424	ENSCCEG00000016135	Cyanistes_caeruleus
ENSPMJP00000012195	ENSPMJG00000009407	Parus_major
ENSFALP00000003881	ENSFALG00000003727	Ficedula_albicollis
ENSCPGP00000006018	ENSCPGG00000004312	Calidris_pygmaea
ENSCPUP00000000540	ENSCPUG00000000411	Calidris_pugnax
ENSAPLP00000016023	ENSAPLG00000016136	Anas_platyrhynchos_platyrhynchos
ENSGALP00000049106	ENSGALG00000037671	Gallus_gallus
ENSDNVP00000014212	ENSDNVG00000009984	Dromaius_novaehollandiae
ENSOANP00000025606	ENSOANG00000020165	Ornithorhynchus_anatinus
ENSXETP00000016464	ENSXETG00000003086	Xenopus_tropicalis
ENSLACP00000023099	ENSLACG00000002341	Latimeria_chalumnae
ENSAMXP00005042780	ENSAMXG00005019950	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000043150	ENSAMXG00000001386	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000032420	ENSPNAG00000020362	Pygocentrus_nattereri
ENSEEEP00000046326	ENSEEEG00000021808	Electrophorus_electricus
ENSIPUP00000009311	ENSIPUG00000006339	Ictalurus_punctatus
ENSDARP00000095090	ENSDARG00000070830	Danio_rerio
ENSCHAP00000002935	ENSCHAG00000001892	Clupea_harengus
ENSDCDP00000056412	ENSDCDG00000033153	Denticeps_clupeoides
ENSTRUP00000043198	ENSTRUG00000016859	Takifugu_rubripes
ENSTNIP00000019088	ENSTNIG00000015999	Tetraodon_nigroviridis
ENSMMOP00000019253	ENSMMOG00000014569	Mola_mola
ENSLCRP00005053587	ENSLCRG00005020060	Larimichthys_crocea
ENSLBEP00000012911	ENSLBEG00000009831	Labrus_bergylta
ENSCGOP00000032933	ENSCGOG00000015305	Cottoperca_gobio
ENSGACP00000005623	ENSGACG00000004250	Gasterosteus_aculeatus
ENSAPEP00000006658	ENSAPEG00000004724	Amphiprion_percula
ENSAOCP00000006998	ENSAOCG00000010735	Amphiprion_ocellaris
ENSAPOP00000013485	ENSAPOG00000016393	Acanthochromis_polyacanthus
ENSSPAP00000016328	ENSSPAG00000012273	Stegastes_partitus
ENSPRNP00000055765	ENSPRNG00000026113	Parambassis_ranga
ENSXMAP00000017037	ENSXMAG00000016998	Xiphophorus_maculatus
ENSXCOP00000027925	ENSXCOG00000020825	Xiphophorus_couchianus
ENSGAFP00000022763	ENSGAFG00000015393	Gambusia_affinis
ENSPLAP00000019544	ENSPLAG00000001763	Poecilia_latipinna
ENSPMEP00000005385	ENSPMEG00000006793	Poecilia_mexicana
ENSPFOP00000002526	ENSPFOG00000002505	Poecilia_formosa
ENSPREP00000012125	ENSPREG00000008221	Poecilia_reticulata
ENSFHEP00000005513	ENSFHEG00000006533	Fundulus_heteroclitus
ENSCVAP00000007732	ENSCVAG00000009439	Cyprinodon_variegatus
ENSKMAP00000006173	ENSKMAG00000004663	Kryptolebias_marmoratus
ENSORLP00000029789	ENSORLG00000003706	Oryzias_latipes_ASM223467v1
ENSORLP00020030957	ENSORLG00020015789	Oryzias_latipes_ASM223471v1
ENSORLP00015026781	ENSORLG00015008521	Oryzias_latipes_ASM223469v1
ENSOMEP00000009765	ENSOMEG00000011025	Oryzias_melastigma
ENSMZEP00005009742	ENSMZEG00005007356	Maylandia_zebra
ENSACLP00000003686	ENSACLG00000002477	Astatotilapia_calliptera
ENSHBUP00000000891	ENSHBUG00000002096	Haplochromis_burtoni
ENSPNYP00000005588	ENSPNYG00000004314	Pundamilia_nyererei
ENSNBRP00000027698	ENSNBRG00000021096	Neolamprologus_brichardi
ENSONIP00000010889	ENSONIG00000008662	Oreochromis_niloticus
ENSACIP00000003781	ENSACIG00000002966	Amphilophus_citrinellus
ENSSMAP00000014001	ENSSMAG00000008577	Scophthalmus_maximus
ENSCSEP00000023601	ENSCSEG00000015037	Cynoglossus_semilaevis
ENSSDUP00000031519	ENSSDUG00000022651	Seriola_dumerili
ENSSLDP00000020051	ENSSLDG00000015664	Seriola_lalandi_dorsalis
ENSLCAP00010045804	ENSLCAG00010021280	Lates_calcarifer
ENSMAMP00000034520	ENSMAMG00000023193	Mastacembelus_armatus
ENSMALP00000016756	ENSMALG00000011721	Monopterus_albus
ENSATEP00000025513	ENSATEG00000017671	Anabas_testudineus
ENSATEP00000025433	ENSATEG00000017619	Anabas_testudineus
ENSBSLP00000042838	ENSBSLG00000020493	Betta_splendens
ENSPMGP00000006785	ENSPMGG00000005666	Periophthalmus_magnuspinnatus
ENSHCOP00000025524	ENSHCOG00000015773	Hippocampus_comes
ENSGMOP00000001372	ENSGMOG00000001299	Gadus_morhua
ENSHHUP00000040737	ENSHHUG00000025186	Hucho_hucho
ENSELUP00000008067	ENSELUG00000008826	Esox_lucius
ENSPKIP00000034132	ENSPKIG00000013571	Paramormyrops_kingsleyae
ENSSFOP00015026723	ENSSFOG00015017135	Scleropages_formosus
ENSLOCP00000019876	ENSLOCG00000016131	Lepisosteus_oculatus
ENSECRP00000004931	ENSECRG00000003340	Erpetoichthys_calabaricus
ENSCMIP00000048414	ENSCMIG00000019799	Callorhinchus_milii
ENSPMAP00000006011	ENSPMAG00000005458	Petromyzon_marinus
ENSCINP00000033018	ENSCING00000024391	Ciona_intestinalis
FBpp0077727	FBgn0031265	Drosophila_melanogaster
T24C12.3.1	WBGene00020765	Caenorhabditis_elegans_strain_N2
