ENSCHOP00000004722	ENSCHOG00000005324	Choloepus_hoffmanni	ENSCHOT00000005342
ENSDNOP00000006619	ENSDNOG00000008551	Dasypus_novemcinctus	ENSDNOT00000008547
ENSBMUP00000032005	ENSBMUG00000023849	Bos_mutus
ENSBBBP00000021000	ENSBBBG00000014792	Bison_bison_bison
ENSCHIP00000016464	ENSCHIG00000016698	Capra_hircus
ENSTTRP00000002461	ENSTTRG00000002625	Tursiops_truncatus
ENSVPAP00000010107	ENSVPAG00000010854	Vicugna_pacos
ENSMLUP00000016435	ENSMLUG00000024263	Myotis_lucifugus
ENSEEUP00000001710	ENSEEUG00000001881	Erinaceus_europaeus
ENSUAMP00000033874	ENSUAMG00000025799	Ursus_americanus	ENSUAMT00000037728
ENSUMAP00000012544	ENSUMAG00000009321	Ursus_maritimus	ENSUMAT00000014891
ENSAMEP00000005847	ENSAMEG00000005521	Ailuropoda_melanoleuca	ENSAMET00000006091
ENSNVIP00000029669	ENSNVIG00000022861	Neovison_vison	ENSNVIT00000034378
ENSMPUP00000005071	ENSMPUG00000005109	Mustela_putorius_furo
ENSCAFP00020030013	ENSCAFG00020023378	Canis_lupus_dingo
ENSCAFP00000002139	ENSCAFG00000001486	Canis_lupus_familiaris
ENSVVUP00000016966	ENSVVUG00000012489	Vulpes_vulpes
ENSPTIP00000022171	ENSPTIG00000019072	Panthera_tigris_altaica
ENSPPRP00000004446	ENSPPRG00000000542	Panthera_pardus
ENSFCAP00000047000	ENSFCAG00000009330	Felis_catus
ENSBIXP00005022854	ENSBIXG00005025741	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064789	ENSBTAG00000013476	Bos_taurus
ENSBIXP00000037476	ENSBIXG00000021050	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOARP00000005681	ENSOARG00000005292	Ovis_aries
ENSECAP00000036014	ENSECAG00000029504	Equus_caballus
ENSEASP00005012649	ENSEASG00005008824	Equus_asinus_asinus
ENSSARP00000012651	ENSSARG00000013992	Sorex_araneus
ENSPVAP00000013597	ENSPVAG00000014428	Pteropus_vampyrus
ENSMLUP00000014039	ENSMLUG00000015407	Myotis_lucifugus
ENSCLAP00000008734	ENSCLAG00000006107	Chinchilla_lanigera
ENSODEP00000019312	ENSODEG00000014248	Octodon_degus
ENSCPOP00000013286	ENSCPOG00000014746	Cavia_porcellus
ENSCAPP00000004718	ENSCAPG00000007185	Cavia_aperea
ENSHGLP00100005313	ENSHGLG00100004032	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011128	ENSHGLG00000007985	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014539	ENSFDAG00000001834	Fukomys_damarensis
ENSSTOP00000008287	ENSSTOG00000009234	Ictidomys_tridecemlineatus
ENSSDAP00000015675	ENSSDAG00000014110	Spermophilus_dauricus
ENSMMMP00000015031	ENSMMMG00000013373	Marmota_marmota_marmota
ENSUPAP00010003262	ENSUPAG00010002674	Urocitellus_parryii
ENSCCNP00000018849	ENSCCNG00000018995	Castor_canadensis
ENSDORP00000003379	ENSDORG00000003612	Dipodomys_ordii
ENSMSIP00000025615	ENSMSIG00000021613	Mus_spicilegus
MGP_SPRETEiJ_P0075911	MGP_SPRETEiJ_G0029189	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000057722	ENSMUSG00000029788	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073067	MGP_CAROLIEiJ_G0028189	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049189	MGP_PahariEiJ_G0021947	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013948	ENSRNOG00000010467	Rattus_norvegicus
ENSMUGP00000000749	ENSMUGG00000000636	Meriones_unguiculatus
ENSCGRP00015035596	ENSCGRG00015026696	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017187	ENSCGRG00001017275	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017661	ENSCGRG00000012848	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011907	ENSMAUG00000012347	Mesocricetus_auratus
ENSMOCP00000004978	ENSMOCG00000004361	Microtus_ochrogaster
ENSPEMP00000026152	ENSPEMG00000022348	Peromyscus_maniculatus_bairdii
ENSNGAP00000014894	ENSNGAG00000016083	Nannospalax_galili
ENSOCUP00000006052	ENSOCUG00000006993	Oryctolagus_cuniculus
ENSOPRP00000000738	ENSOPRG00000000807	Ochotona_princeps
ENSTBEP00000004932	ENSTBEG00000005734	Tupaia_belangeri
ENSPTRP00000033734	ENSPTRG00000019695	Pan_troglodytes
ENSPPAP00000009743	ENSPPAG00000028093	Pan_paniscus
ENSP00000420237	ENSG00000158525	Homo_sapiens
ENSGGOP00000002377	ENSGGOG00000002414	Gorilla_gorilla
ENSPPYP00000020199	ENSPPYG00000018003	Pongo_abelii
ENSNLEP00000036544	ENSNLEG00000012777	Nomascus_leucogenys
ENSRBIP00000038894	ENSRBIG00000042923	Rhinopithecus_bieti
ENSRROP00000009163	ENSRROG00000029010	Rhinopithecus_roxellana
ENSCANP00000012171	ENSCANG00000029465	Colobus_angolensis_palliatus
ENSPTEP00000033999	ENSPTEG00000032322	Piliocolobus_tephrosceles
ENSMFAP00000027244	ENSMFAG00000045025	Macaca_fascicularis
ENSMMUP00000058165	ENSMMUG00000009494	Macaca_mulatta
ENSMNEP00000011258	ENSMNEG00000029973	Macaca_nemestrina
ENSPANP00000011511	ENSPANG00000006518	Papio_anubis
ENSMLEP00000032699	ENSMLEG00000040564	Mandrillus_leucophaeus
ENSTGEP00000028485	ENSTGEG00000022892	Theropithecus_gelada
ENSCATP00000019485	ENSCATG00000033540	Cercocebus_atys
ENSCSAP00000006004	ENSCSAG00000009783	Chlorocebus_sabaeus
ENSSBOP00000015160	ENSSBOG00000024319	Saimiri_boliviensis_boliviensis
ENSCCAP00000030672	ENSCCAG00000033381	Cebus_capucinus_imitator
ENSCJAP00000019727	ENSCJAG00000010683	Callithrix_jacchus
ENSANAP00000036495	ENSANAG00000035744	Aotus_nancymaae
ENSTSYP00000015306	ENSTSYG00000036752	Carlito_syrichta
ENSPSMP00000037698	ENSPSMG00000025889	Prolemur_simus
ENSMICP00000005569	ENSMICG00000006108	Microcebus_murinus
ENSPCOP00000029967	ENSPCOG00000027698	Propithecus_coquereli
ENSOGAP00000015256	ENSOGAG00000017038	Otolemur_garnettii
ENSLAFP00000004652	ENSLAFG00000005542	Loxodonta_africana
ENSPCAP00000001130	ENSPCAG00000001201	Procavia_capensis
ENSETEP00000004056	ENSETEG00000004978	Echinops_telfairi
ENSPCIP00000037257	ENSPCIG00000027460	Phascolarctos_cinereus
ENSVURP00010017580	ENSVURG00010013411	Vombatus_ursinus
ENSMEUP00000000598	ENSMEUG00000000650	Notamacropus_eugenii
ENSSHAP00000007565	ENSSHAG00000006574	Sarcophilus_harrisii
ENSMODP00000018172	ENSMODG00000014548	Monodelphis_domestica
