ENSJJAP00000022634	ENSJJAG00000022647	Jaculus_jaculus
ENSEEUP00000006388	ENSEEUG00000007015	Erinaceus_europaeus
ENSSBOP00000009989	ENSSBOG00000021857	Saimiri_boliviensis_boliviensis
ENSCCAP00000038659	ENSCCAG00000037160	Cebus_capucinus_imitator
ENSCJAP00000023813	ENSCJAG00000012988	Callithrix_jacchus
ENSANAP00000017655	ENSANAG00000026698	Aotus_nancymaae
ENSPTRP00000051293	ENSPTRG00000007422	Pan_troglodytes
ENSPPAP00000033468	ENSPPAG00000039598	Pan_paniscus
ENSP00000331944	ENSG00000181026	Homo_sapiens
ENSGGOP00000019404	ENSGGOG00000010180	Gorilla_gorilla
ENSPPYP00000007664	ENSPPYG00000006755	Pongo_abelii
ENSNLEP00000028329	ENSNLEG00000032314	Nomascus_leucogenys
ENSPANP00000014403	ENSPANG00000005905	Papio_anubis
ENSCSAP00000013233	ENSCSAG00000017196	Chlorocebus_sabaeus
ENSMLEP00000017296	ENSMLEG00000032850	Mandrillus_leucophaeus
ENSCATP00000021726	ENSCATG00000034567	Cercocebus_atys
ENSTGEP00000009969	ENSTGEG00000008196	Theropithecus_gelada
ENSMFAP00000003384	ENSMFAG00000001458	Macaca_fascicularis
ENSMNEP00000033783	ENSMNEG00000040133	Macaca_nemestrina
ENSMMUP00000064241	ENSMMUG00000022516	Macaca_mulatta
ENSRROP00000039975	ENSRROG00000043282	Rhinopithecus_roxellana
ENSRBIP00000014841	ENSRBIG00000031540	Rhinopithecus_bieti
ENSCANP00000027872	ENSCANG00000037330	Colobus_angolensis_palliatus
ENSPTEP00000000783	ENSPTEG00000000898	Piliocolobus_tephrosceles
ENSTSYP00000011389	ENSTSYG00000012416	Carlito_syrichta
ENSPCOP00000018109	ENSPCOG00000020924	Propithecus_coquereli
ENSMICP00000022179	ENSMICG00000027602	Microcebus_murinus
ENSPSMP00000007466	ENSPSMG00000005545	Prolemur_simus
ENSOGAP00000016927	ENSOGAG00000029852	Otolemur_garnettii
ENSCGRP00015000731	ENSCGRG00015000708	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000798	ENSCGRG00000000641	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023277	ENSCGRG00001021559	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000603	ENSMAUG00000000489	Mesocricetus_auratus
ENSPEMP00000023398	ENSPEMG00000020445	Peromyscus_maniculatus_bairdii
ENSMOCP00000011479	ENSMOCG00000011735	Microtus_ochrogaster
ENSMSIP00000021888	ENSMSIG00000018598	Mus_spicilegus
ENSMUSP00000103048	ENSMUSG00000030609	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0080185	MGP_CAROLIEiJ_G0029872	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0083537	MGP_SPRETEiJ_G0030974	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0017039	MGP_PahariEiJ_G0013094	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062841	ENSRNOG00000018421	Rattus_norvegicus
ENSMUGP00000022805	ENSMUGG00000019108	Meriones_unguiculatus
ENSNGAP00000008684	ENSNGAG00000011590	Nannospalax_galili
ENSUPAP00010020685	ENSUPAG00010016372	Urocitellus_parryii
ENSSDAP00000001434	ENSSDAG00000001424	Spermophilus_dauricus
ENSMMMP00000023049	ENSMMMG00000020194	Marmota_marmota_marmota
ENSSTOP00000010373	ENSSTOG00000011560	Ictidomys_tridecemlineatus
ENSOCUP00000024849	ENSOCUG00000028037	Oryctolagus_cuniculus
ENSLAFP00000012711	ENSLAFG00000015182	Loxodonta_africana
ENSPCAP00000014445	ENSPCAG00000015481	Procavia_capensis
ENSETEP00000005008	ENSETEG00000006167	Echinops_telfairi
ENSDNOP00000001429	ENSDNOG00000001849	Dasypus_novemcinctus
ENSTTRP00000013906	ENSTTRG00000014668	Tursiops_truncatus
ENSPVAP00000006784	ENSPVAG00000007189	Pteropus_vampyrus
ENSTBEP00000014103	ENSTBEG00000016234	Tupaia_belangeri
ENSMLUP00000019405	ENSMLUG00000023065	Myotis_lucifugus
ENSDNOP00000022827	ENSDNOG00000042348	Dasypus_novemcinctus
ENSCCNP00000005586	ENSCCNG00000005928	Castor_canadensis
ENSCHIP00000000991	ENSCHIG00000001561	Capra_hircus
ENSOARP00000011748	ENSOARG00000010957	Ovis_aries
ENSBIXP00005039032	ENSBIXG00005003596	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032032	ENSBIXG00000014490	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023454	ENSBTAG00000017632	Bos_taurus
ENSBMUP00000003849	ENSBMUG00000003025	Bos_mutus
ENSBBBP00000008029	ENSBBBG00000007610	Bison_bison_bison
ENSSSCP00000005483	ENSSSCG00000005102	Sus_scrofa_strain_reference
ENSECAP00000039201	ENSECAG00000037942	Equus_caballus
ENSEASP00005022480	ENSEASG00005015361	Equus_asinus_asinus
ENSUAMP00000024386	ENSUAMG00000019063	Ursus_americanus	ENSUAMT00000027235
ENSAMEP00000013473	ENSAMEG00000012798	Ailuropoda_melanoleuca	ENSAMET00000014033
ENSMPUP00000015713	ENSMPUG00000015821	Mustela_putorius_furo
ENSNVIP00000023210	ENSNVIG00000018093	Neovison_vison
ENSCAFP00000042661	ENSCAFG00000011521	Canis_lupus_familiaris
ENSCAFP00020023928	ENSCAFG00020018839	Canis_lupus_dingo
ENSVVUP00000016371	ENSVVUG00000012020	Vulpes_vulpes
ENSUMAP00000008185	ENSUMAG00000006271	Ursus_maritimus
ENSPPRP00000003457	ENSPPRG00000022756	Panthera_pardus
ENSPTIP00000022010	ENSPTIG00000018966	Panthera_tigris_altaica
ENSFCAP00000019215	ENSFCAG00000023571	Felis_catus
ENSCLAP00000012734	ENSCLAG00000008791	Chinchilla_lanigera
ENSODEP00000020710	ENSODEG00000015278	Octodon_degus
ENSCAPP00000003869	ENSCAPG00000006550	Cavia_aperea
ENSCPOP00000015351	ENSCPOG00000021693	Cavia_porcellus
ENSHGLP00100018743	ENSHGLG00100013826	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012222	ENSHGLG00000008738	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018559	ENSFDAG00000009743	Fukomys_damarensis
ENSDORP00000014630	ENSDORG00000015546	Dipodomys_ordii
ENSPCIP00000007629	ENSPCIG00000006401	Phascolarctos_cinereus
ENSVURP00010009644	ENSVURG00010007472	Vombatus_ursinus
ENSMEUP00000004848	ENSMEUG00000005303	Notamacropus_eugenii
ENSSHAP00000020121	ENSSHAG00000017070	Sarcophilus_harrisii
ENSMODP00000048307	ENSMODG00000049468	Monodelphis_domestica
ENSGAGP00000018303	ENSGAGG00000013545	Gopherus_agassizii
ENSCPBP00000025141	ENSCPBG00000017884	Chrysemys_picta_bellii
ENSPSIP00000016018	ENSPSIG00000014281	Pelodiscus_sinensis
ENSJHYP00000013540	ENSJHYG00000010487	Junco_hyemalis
ENSTGUP00000008584	ENSTGUG00000008335	Taeniopygia_guttata
ENSPMJP00000001496	ENSPMJG00000001222	Parus_major
ENSFALP00000010886	ENSFALG00000010440	Ficedula_albicollis
ENSSCAP00000007466	ENSSCAG00000005768	Serinus_canaria
ENSZALP00000001387	ENSZALG00000001603	Zonotrichia_albicollis
ENSMVIP00005019485	ENSMVIG00005013792	Manacus_vitellinus
ENSABRP00000026175	ENSABRG00000021889	Anser_brachyrhynchus
