ENSMGAP00000003249	ENSMGAG00000003543	Meleagris_gallopavo
ENSCJPP00005020301	ENSCJPG00005016370	Coturnix_japonica
ENSGALP00000010309	ENSGALG00000006393	Gallus_gallus
ENSNMEP00000023850	ENSNMEG00000020281	Numida_meleagris
ENSAPLP00000012369	ENSAPLG00000012590	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000012514	ENSCPGG00000008875	Calidris_pygmaea
ENSCPUP00000009366	ENSCPUG00000006670	Calidris_pugnax
ENSMUNP00000017214	ENSMUNG00000013227	Melopsittacus_undulatus
ENSMVIP00005011469	ENSMVIG00005008404	Manacus_vitellinus
ENSLCOP00000003079	ENSLCOG00000002342	Lepidothrix_coronata
ENSAHAP00000025597	ENSAHAG00000017846	Apteryx_haastii
ENSAOWP00000004602	ENSAOWG00000003229	Apteryx_owenii
ENSARWP00000023785	ENSARWG00000016194	Apteryx_rowi
ENSDNVP00000024343	ENSDNVG00000016905	Dromaius_novaehollandiae
ENSNPEP00000004975	ENSNPEG00000003796	Nothoprocta_perdicaria
ENSCPRP00005012016	ENSCPRG00005008564	Crocodylus_porosus
ENSGAGP00000020712	ENSGAGG00000015252	Gopherus_agassizii
ENSNSUP00000022543	ENSNSUG00000016382	Notechis_scutatus
ENSACAP00000009099	ENSACAG00000009229	Anolis_carolinensis
ENSSMRP00000016959	ENSSMRG00000013213	Salvator_merianae
ENSSHAP00000005277	ENSSHAG00000004616	Sarcophilus_harrisii
