ENSONIP00000000542	ENSONIG00000000426	Oreochromis_niloticus
MGP_PahariEiJ_P0084142	MGP_PahariEiJ_G0030084	Mus_pahari_strain_PAHARI_EIJ
ENSAPEP00000031482	ENSAPEG00000022339	Amphiprion_percula
ENSDORP00000016201	ENSDORG00000003832	Dipodomys_ordii
ENSP00000312946	ENSG00000010327	Homo_sapiens
ENSGACP00000005240	ENSGACG00000003984	Gasterosteus_aculeatus
ENSMODP00000057563	ENSMODG00000011416	Monodelphis_domestica
ENSECAP00000008938	ENSECAG00000009860	Equus_caballus
ENSABRP00000023833	ENSABRG00000019942	Anser_brachyrhynchus
ENSTSYP00000011085	ENSTSYG00000012020	Carlito_syrichta
ENSCATP00000003993	ENSCATG00000014397	Cercocebus_atys
ENSSPAP00000010721	ENSSPAG00000007783	Stegastes_partitus
ENSMSIP00000035544	ENSMSIG00000029419	Mus_spicilegus
ENSMUNP00000010192	ENSMUNG00000008021	Melopsittacus_undulatus	ENSMUNT00000011779
ENSSCAP00000002325	ENSSCAG00000002018	Serinus_canaria
ENSBIXP00005002290	ENSBIXG00005008665	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSPUP00000004774	ENSSPUG00000003689	Sphenodon_punctatus	ENSSPUT00000005069
ENSEASP00005019098	ENSEASG00005013117	Equus_asinus_asinus
ENSHCOP00000010904	ENSHCOG00000013632	Hippocampus_comes
ENSPMJP00000012417	ENSPMJG00000009304	Parus_major
ENSSDAP00000016479	ENSSDAG00000014828	Spermophilus_dauricus
ENSLCOP00000005274	ENSLCOG00000003932	Lepidothrix_coronata
ENSODEP00000011126	ENSODEG00000008276	Octodon_degus
ENSVVUP00000036516	ENSVVUG00000026125	Vulpes_vulpes
ENSCMIP00000018722	ENSCMIG00000008791	Callorhinchus_milii
ENSATEP00000003872	ENSATEG00000002289	Anabas_testudineus
ENSPCIP00000024312	ENSPCIG00000018323	Phascolarctos_cinereus
ENSSMRP00000012696	ENSSMRG00000009597	Salvator_merianae	ENSSMRT00000014800
ENSMVIP00005017746	ENSMVIG00005012456	Manacus_vitellinus
ENSNBRP00000017353	ENSNBRG00000013159	Neolamprologus_brichardi
ENSPNYP00000029707	ENSPNYG00000022293	Pundamilia_nyererei
ENSGAGP00000019290	ENSGAGG00000014245	Gopherus_agassizii
ENSMALP00000032936	ENSMALG00000022657	Monopterus_albus
ENSCPGP00000019725	ENSCPGG00000013738	Calidris_pygmaea
ENSFALP00000009328	ENSFALG00000008941	Ficedula_albicollis
ENSDCDP00000053593	ENSDCDG00000031873	Denticeps_clupeoides
ENSGAFP00000021612	ENSGAFG00000014557	Gambusia_affinis
ENSMMOP00000017896	ENSMMOG00000013579	Mola_mola
ENSAOWP00000003986	ENSAOWG00000002665	Apteryx_owenii
ENSGACP00000005258	ENSGACG00000003998	Gasterosteus_aculeatus
ENSMAUP00000001741	ENSMAUG00000001222	Mesocricetus_auratus
ENSXCOP00000023382	ENSXCOG00000017460	Xiphophorus_couchianus
ENSSPUP00000004762	ENSSPUG00000003683	Sphenodon_punctatus	ENSSPUT00000005056
ENSPEMP00000016731	ENSPEMG00000015779	Peromyscus_maniculatus_bairdii
ENSLACP00000021114	ENSLACG00000018550	Latimeria_chalumnae
ENSORLP00000024479	ENSORLG00000019688	Oryzias_latipes_ASM223467v1
ENSHGLP00000005189	ENSHGLG00000003794	Heterocephalus_glaber_HetGla_female_1.0
ENSECRP00000032781	ENSECRG00000022201	Erpetoichthys_calabaricus
ENSPCAP00000011743	ENSPCAG00000012169	Procavia_capensis
ENSCPBP00000023636	ENSCPBG00000016722	Chrysemys_picta_bellii
ENSFHEP00000025484	ENSFHEG00000007773	Fundulus_heteroclitus
ENSMICP00000002612	ENSMICG00000002842	Microcebus_murinus
ENSGMOP00000006808	ENSGMOG00000006376	Gadus_morhua
ENSUAMP00000007397	ENSUAMG00000006175	Ursus_americanus
ENSTRUP00000026066	ENSTRUG00000010351	Takifugu_rubripes
ENSCGRP00001004835	ENSCGRG00001006175	Cricetulus_griseus_CHOK1GS_HDv1
ENSIPUP00000015857	ENSIPUG00000010453	Ictalurus_punctatus
ENSPSIP00000016263	ENSPSIG00000014476	Pelodiscus_sinensis
ENSCJAP00000012184	ENSCJAG00000006484	Callithrix_jacchus
ENSAPEP00000031542	ENSAPEG00000022368	Amphiprion_percula
ENSCPUP00000010400	ENSCPUG00000006914	Calidris_pugnax
ENSPKIP00000021578	ENSPKIG00000005913	Paramormyrops_kingsleyae
ENSFDAP00000015502	ENSFDAG00000003427	Fukomys_damarensis
ENSMFAP00000027622	ENSMFAG00000045138	Macaca_fascicularis
ENSELUP00000015138	ENSELUG00000015199	Esox_lucius
ENSCCAP00000026818	ENSCCAG00000031199	Cebus_capucinus_imitator
ENSACIP00000013369	ENSACIG00000010316	Amphilophus_citrinellus
ENSMNEP00000032441	ENSMNEG00000039494	Macaca_nemestrina
ENSOANP00000002392	ENSOANG00000001499	Ornithorhynchus_anatinus
ENSOPRP00000008457	ENSOPRG00000009159	Ochotona_princeps
ENSMPUP00000016671	ENSMPUG00000016776	Mustela_putorius_furo
ENSPPRP00000028341	ENSPPRG00000020606	Panthera_pardus
ENSGWIP00000002103	ENSGWIG00000001152	Gouania_willdenowi
ENSPREP00000014231	ENSPREG00000009654	Poecilia_reticulata
ENSLSDP00000018067	ENSLSDG00000012890	Lonchura_striata_domestica
ENSHGLP00100022493	ENSHGLG00100016542	Heterocephalus_glaber_HetGla_1.0
ENSCCEP00000027913	ENSCCEG00000024247	Cyanistes_caeruleus
ENSPMGP00000008499	ENSPMGG00000007035	Periophthalmus_magnuspinnatus
ENSFCAP00000014576	ENSFCAG00000015716	Felis_catus
ENSTTRP00000008113	ENSTTRG00000008537	Tursiops_truncatus
ENSVURP00010021812	ENSVURG00010015546	Vombatus_ursinus
ENSCSAP00000009543	ENSCSAG00000013391	Chlorocebus_sabaeus
ENSAMXP00000005095	ENSAMXG00000004966	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPFOP00000006159	ENSPFOG00000004170	Poecilia_formosa
ENSCANP00000006096	ENSCANG00000020517	Colobus_angolensis_palliatus
ENSTNIP00000006459	ENSTNIG00000003856	Tetraodon_nigroviridis
ENSNMEP00000007853	ENSNMEG00000007796	Numida_meleagris
ENSPTEP00000041642	ENSPTEG00000038083	Piliocolobus_tephrosceles
ENSAHAP00000015755	ENSAHAG00000011162	Apteryx_haastii
ENSAOCP00000001235	ENSAOCG00000004227	Amphiprion_ocellaris
ENSMZEP00005022695	ENSMZEG00005016959	Maylandia_zebra
ENSSFOP00015004074	ENSSFOG00015002461	Scleropages_formosus
ENSSSCP00000044689	ENSSSCG00000011443	Sus_scrofa_strain_reference
ENSDNVP00000011593	ENSDNVG00000008168	Dromaius_novaehollandiae	ENSDNVT00000013966
ENSOARP00000001144	ENSOARG00000001103	Ovis_aries
ENSMLEP00000020769	ENSMLEG00000034516	Mandrillus_leucophaeus
ENSPANP00000005284	ENSPANG00000017243	Papio_anubis
ENSLBEP00000035419	ENSLBEG00000026430	Labrus_bergylta
ENSETEP00000007812	ENSETEG00000009606	Echinops_telfairi
ENSCGOP00000018731	ENSCGOG00000008940	Cottoperca_gobio
ENSORLP00015025516	ENSORLG00015006789	Oryzias_latipes_ASM223469v1
ENSPPAP00000030342	ENSPPAG00000038101	Pan_paniscus
ENSNLEP00000031351	ENSNLEG00000007151	Nomascus_leucogenys
ENSAMXP00005018272	ENSAMXG00005009374	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDNOP00000011344	ENSDNOG00000014588	Dasypus_novemcinctus
