ENSCJAP00000062729	ENSCJAG00000048538	Callithrix_jacchus
ENSCCAP00000018087	ENSCCAG00000026876	Cebus_capucinus_imitator
ENSTGEP00000036916	ENSTGEG00000029399	Theropithecus_gelada
ENSPANP00000047476	ENSPANG00000033389	Papio_anubis
ENSCATP00000007718	ENSCATG00000022905	Cercocebus_atys
ENSMFAP00000012424	ENSMFAG00000024321	Macaca_fascicularis
ENSMNEP00000003780	ENSMNEG00000017724	Macaca_nemestrina
ENSMLEP00000002214	ENSMLEG00000008907	Mandrillus_leucophaeus
ENSCANP00000029280	ENSCANG00000038218	Colobus_angolensis_palliatus
ENSRBIP00000000823	ENSRBIG00000004381	Rhinopithecus_bieti
ENSPSMP00000026075	ENSPSMG00000018285	Prolemur_simus
ENSUMAP00000019153	ENSUMAG00000014071	Ursus_maritimus
