ENSDCDP00000035863	ENSDCDG00000023983	Denticeps_clupeoides	ENSDCDT00000045739
ENSCHAP00000041368	ENSCHAG00000019340	Clupea_harengus	ENSCHAT00000044779
ENSPNAP00000007383	ENSPNAG00000013252	Pygocentrus_nattereri	ENSPNAT00000001929
ENSAMXP00000045211	ENSAMXG00000029088	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000045856
ENSIPUP00000001178	ENSIPUG00000000839	Ictalurus_punctatus	ENSIPUT00000001246
ENSEEEP00000012455	ENSEEEG00000006254	Electrophorus_electricus	ENSEEET00000012599
ENSDARP00000088044	ENSDARG00000077060	Danio_rerio
ENSGMOP00000017630	ENSGMOG00000016434	Gadus_morhua
ENSGMOP00000017647	ENSGMOG00000016445	Gadus_morhua
ENSCSEP00000000733	ENSCSEG00000000528	Cynoglossus_semilaevis
ENSGWIP00000019116	ENSGWIG00000010489	Gouania_willdenowi
ENSGACP00000014015	ENSGACG00000010600	Gasterosteus_aculeatus
ENSGACP00000014009	ENSGACG00000010591	Gasterosteus_aculeatus
ENSMALP00000001301	ENSMALG00000000987	Monopterus_albus
ENSMAMP00000025446	ENSMAMG00000017094	Mastacembelus_armatus
ENSATEP00000035973	ENSATEG00000024725	Anabas_testudineus
ENSBSLP00000034550	ENSBSLG00000016799	Betta_splendens
ENSSDUP00000027573	ENSSDUG00000019953	Seriola_dumerili
ENSSLDP00000003241	ENSSLDG00000002562	Seriola_lalandi_dorsalis
ENSLCAP00010016904	ENSLCAG00010008019	Lates_calcarifer
ENSSMAP00000027556	ENSSMAG00000016859	Scophthalmus_maximus
ENSLCRP00005052078	ENSLCRG00005019589	Larimichthys_crocea
ENSLBEP00000027990	ENSLBEG00000021225	Labrus_bergylta
ENSAPEP00000016183	ENSAPEG00000011551	Amphiprion_percula
ENSAOCP00000000046	ENSAOCG00000002858	Amphiprion_ocellaris
ENSAPOP00000031327	ENSAPOG00000018440	Acanthochromis_polyacanthus
ENSSPAP00000026343	ENSSPAG00000019876	Stegastes_partitus
ENSPRNP00000012253	ENSPRNG00000006835	Parambassis_ranga
ENSNBRP00000024265	ENSNBRG00000018559	Neolamprologus_brichardi
ENSNBRP00000024288	ENSNBRG00000018576	Neolamprologus_brichardi
ENSMZEP00005020275	ENSMZEG00005015200	Maylandia_zebra
ENSACLP00000019714	ENSACLG00000013410	Astatotilapia_calliptera
ENSPNYP00000020092	ENSPNYG00000015201	Pundamilia_nyererei
ENSHBUP00000000884	ENSHBUG00000002076	Haplochromis_burtoni
ENSACIP00000010859	ENSACIG00000008463	Amphilophus_citrinellus
ENSTRUP00000057430	ENSTRUG00000021839	Takifugu_rubripes
ENSTNIP00000017784	ENSTNIG00000014747	Tetraodon_nigroviridis
ENSHCOP00000017277	ENSHCOG00000000945	Hippocampus_comes
ENSXMAP00000025128	ENSXMAG00000023162	Xiphophorus_maculatus
ENSXCOP00000013474	ENSXCOG00000010216	Xiphophorus_couchianus
ENSGAFP00000016056	ENSGAFG00000010863	Gambusia_affinis
ENSPFOP00000016478	ENSPFOG00000016407	Poecilia_formosa
ENSPMEP00000007318	ENSPMEG00000008930	Poecilia_mexicana
ENSPLAP00000030070	ENSPLAG00000020819	Poecilia_latipinna
ENSPREP00000005705	ENSPREG00000003976	Poecilia_reticulata
ENSFHEP00000018624	ENSFHEG00000020490	Fundulus_heteroclitus
ENSCVAP00000017452	ENSCVAG00000020526	Cyprinodon_variegatus
ENSKMAP00000008506	ENSKMAG00000006403	Kryptolebias_marmoratus
ENSORLP00000035994	ENSORLG00000027833	Oryzias_latipes_ASM223467v1
ENSORLP00020020531	ENSORLG00020021527	Oryzias_latipes_ASM223471v1
ENSORLP00015016901	ENSORLG00015017893	Oryzias_latipes_ASM223469v1
ENSOMEP00000022486	ENSOMEG00000002073	Oryzias_melastigma
ENSPMGP00000019276	ENSPMGG00000015661	Periophthalmus_magnuspinnatus
ENSHHUP00000057302	ENSHHUG00000034170	Hucho_hucho
ENSHHUP00000087545	ENSHHUG00000050631	Hucho_hucho
ENSELUP00000031884	ENSELUG00000009570	Esox_lucius
ENSPKIP00000010058	ENSPKIG00000024917	Paramormyrops_kingsleyae
ENSSFOP00015029990	ENSSFOG00015019241	Scleropages_formosus
ENSLOCP00000013364	ENSLOCG00000010900	Lepisosteus_oculatus
ENSECRP00000022719	ENSECRG00000015366	Erpetoichthys_calabaricus
