ENSNMEP00000003131	ENSNMEG00000003712	Numida_meleagris	ENSNMET00000005907
ENSAOWP00000001446	ENSAOWG00000001039	Apteryx_owenii
ENSCPRP00005002371	ENSCPRG00005001728	Crocodylus_porosus
ENSCPBP00000011223	ENSCPBG00000008564	Chrysemys_picta_bellii
ENSCPBP00000013097	ENSCPBG00000009834	Chrysemys_picta_bellii
ENSCPRP00005002259	ENSCPRG00005001654	Crocodylus_porosus
ENSSMRP00000001355	ENSSMRG00000001193	Salvator_merianae
ENSGAGP00000008859	ENSGAGG00000007008	Gopherus_agassizii
ENSCPBP00000013418	ENSCPBG00000010041	Chrysemys_picta_bellii
ENSSPUP00000012882	ENSSPUG00000009936	Sphenodon_punctatus
ENSGAGP00000025872	ENSGAGG00000018892	Gopherus_agassizii
ENSCPGP00000025362	ENSCPGG00000017492	Calidris_pygmaea
ENSLSDP00000018146	ENSLSDG00000012953	Lonchura_striata_domestica
ENSGAGP00000006078	ENSGAGG00000004936	Gopherus_agassizii
ENSPMJP00000021496	ENSPMJG00000015960	Parus_major
ENSCPBP00000013111	ENSCPBG00000009845	Chrysemys_picta_bellii
ENSNPEP00000012747	ENSNPEG00000009523	Nothoprocta_perdicaria
ENSCPBP00000013114	ENSCPBG00000009846	Chrysemys_picta_bellii
ENSCPBP00000012876	ENSCPBG00000009684	Chrysemys_picta_bellii
ENSPVIP00000028654	ENSPVIG00000021200	Pogona_vitticeps
ENSCABP00000015037	ENSCABG00000011232	Chelonoidis_abingdonii	ENSCABT00000016478
ENSGAGP00000021032	ENSGAGG00000015445	Gopherus_agassizii
ENSCABP00000009928	ENSCABG00000007457	Chelonoidis_abingdonii
ENSCABP00000009929	ENSCABG00000007458	Chelonoidis_abingdonii
ENSGAGP00000025862	ENSGAGG00000018888	Gopherus_agassizii
ENSARWP00000020436	ENSARWG00000013994	Apteryx_rowi	ENSARWT00000023192
ENSMUNP00000004322	ENSMUNG00000003604	Melopsittacus_undulatus
ENSAPLP00000032045	ENSAPLG00000020279	Anas_platyrhynchos_platyrhynchos
ENSCABP00000025348	ENSCABG00000018655	Chelonoidis_abingdonii
ENSCPBP00000013107	ENSCPBG00000009842	Chrysemys_picta_bellii
ENSCPUP00000000802	ENSCPUG00000000636	Calidris_pugnax
ENSLCOP00000005959	ENSLCOG00000004416	Lepidothrix_coronata
