ENSPCIP00000004323	ENSPCIG00000003573	Phascolarctos_cinereus	ENSPCIT00000005412
ENSMEUP00000007050	ENSMEUG00000007723	Notamacropus_eugenii	ENSMEUT00000007743
ENSVURP00010004461	ENSVURG00010003542	Vombatus_ursinus	ENSVURT00010005067
ENSSHAP00000009912	ENSSHAG00000008582	Sarcophilus_harrisii	ENSSHAT00000009999
ENSMODP00000025429	ENSMODG00000020331	Monodelphis_domestica	ENSMODT00000025880
ENSBIXP00000027459	ENSBIXG00000008333	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002160	ENSBIXG00005008562	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020409	ENSBMUG00000015373	Bos_mutus
ENSBBBP00000021719	ENSBBBG00000003807	Bison_bison_bison
ENSBTAP00000028992	ENSBTAG00000039461	Bos_taurus
ENSCHIP00000030325	ENSCHIG00000025121	Capra_hircus
ENSOARP00000016529	ENSOARG00000015408	Ovis_aries
ENSSSCP00000031758	ENSSSCG00000034847	Sus_scrofa_strain_reference
ENSVPAP00000006936	ENSVPAG00000007455	Vicugna_pacos
ENSPVAP00000016272	ENSPVAG00000017248	Pteropus_vampyrus
ENSNVIP00000028698	ENSNVIG00000022135	Neovison_vison
ENSMPUP00000014359	ENSMPUG00000014469	Mustela_putorius_furo
ENSUAMP00000030516	ENSUAMG00000023431	Ursus_americanus
ENSUMAP00000015765	ENSUMAG00000011573	Ursus_maritimus
ENSAMEP00000007700	ENSAMEG00000007319	Ailuropoda_melanoleuca
ENSPPRP00000011191	ENSPPRG00000005119	Panthera_pardus
ENSPTIP00000008836	ENSPTIG00000010089	Panthera_tigris_altaica
ENSFCAP00000012672	ENSFCAG00000013664	Felis_catus
ENSECAP00000051898	ENSECAG00000000915	Equus_caballus
ENSEASP00005011427	ENSEASG00005008038	Equus_asinus_asinus
ENSOCUP00000011421	ENSOCUG00000013273	Oryctolagus_cuniculus
ENSOPRP00000007851	ENSOPRG00000008587	Ochotona_princeps
ENSPSMP00000029951	ENSPSMG00000020785	Prolemur_simus
ENSMICP00000017850	ENSMICG00000011201	Microcebus_murinus
ENSPCOP00000027668	ENSPCOG00000026376	Propithecus_coquereli
ENSOGAP00000014982	ENSOGAG00000016739	Otolemur_garnettii
ENSPPAP00000019906	ENSPPAG00000033173	Pan_paniscus	ENSPPAT00000042686
ENSPTRP00000006401	ENSPTRG00000003719	Pan_troglodytes	ENSPTRT00000006940
ENSP00000386022	ENSG00000166961	Homo_sapiens	ENST00000405633
ENSGGOP00000011545	ENSGGOG00000011837	Gorilla_gorilla	ENSGGOT00000011879
ENSPPYP00000004675	ENSPPYG00000004097	Pongo_abelii	ENSPPYT00000004860
ENSNLEP00000016422	ENSNLEG00000013545	Nomascus_leucogenys	ENSNLET00000017266
ENSMFAP00000001356	ENSMFAG00000036056	Macaca_fascicularis
ENSMNEP00000039618	ENSMNEG00000042758	Macaca_nemestrina
ENSMMUP00000058538	ENSMMUG00000000017	Macaca_mulatta
ENSMLEP00000024381	ENSMLEG00000036342	Mandrillus_leucophaeus
ENSCATP00000008978	ENSCATG00000027249	Cercocebus_atys
ENSPANP00000002206	ENSPANG00000023499	Papio_anubis
ENSTGEP00000023755	ENSTGEG00000019202	Theropithecus_gelada
ENSCSAP00000002557	ENSCSAG00000006229	Chlorocebus_sabaeus
ENSPTEP00000006267	ENSPTEG00000007184	Piliocolobus_tephrosceles
ENSCANP00000025300	ENSCANG00000036074	Colobus_angolensis_palliatus
ENSRROP00000019125	ENSRROG00000033591	Rhinopithecus_roxellana
ENSRBIP00000021086	ENSRBIG00000034527	Rhinopithecus_bieti
ENSCJAP00000056337	ENSCJAG00000016453	Callithrix_jacchus
ENSCCAP00000033089	ENSCCAG00000034577	Cebus_capucinus_imitator
ENSSBOP00000024396	ENSSBOG00000028681	Saimiri_boliviensis_boliviensis
ENSANAP00000026135	ENSANAG00000030768	Aotus_nancymaae
ENSTBEP00000012931	ENSTBEG00000014902	Tupaia_belangeri
ENSVVUP00000006934	ENSVVUG00000005310	Vulpes_vulpes
ENSHGLP00100014464	ENSHGLG00100010698	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000003771	ENSHGLG00000002774	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009405	ENSFDAG00000017426	Fukomys_damarensis
ENSCPOP00000018448	ENSCPOG00000019743	Cavia_porcellus
ENSCAPP00000004303	ENSCAPG00000006868	Cavia_aperea
ENSODEP00000005458	ENSODEG00000004118	Octodon_degus
ENSCLAP00000005606	ENSCLAG00000003981	Chinchilla_lanigera
ENSCAFP00000024219	ENSCAFG00000016458	Canis_lupus_familiaris
ENSDNOP00000001019	ENSDNOG00000001325	Dasypus_novemcinctus
ENSCCNP00000028269	ENSCCNG00000027240	Castor_canadensis
ENSDORP00000024809	ENSDORG00000006897	Dipodomys_ordii
ENSUPAP00010004770	ENSUPAG00010003863	Urocitellus_parryii
ENSSTOP00000015791	ENSSTOG00000021999	Ictidomys_tridecemlineatus
ENSSDAP00000019111	ENSSDAG00000017418	Spermophilus_dauricus
ENSJJAP00000010947	ENSJJAG00000014392	Jaculus_jaculus
ENSPEMP00000021288	ENSPEMG00000018984	Peromyscus_maniculatus_bairdii
ENSMOCP00000022078	ENSMOCG00000019223	Microtus_ochrogaster
ENSCGRP00015009554	ENSCGRG00015007359	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017080	ENSCGRG00001017220	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008222	ENSCGRG00000005998	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012330	ENSMAUG00000012665	Mesocricetus_auratus
ENSMUSP00000085234	ENSMUSG00000067571	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050164	MGP_SPRETEiJ_G0023623	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048182	MGP_CAROLIEiJ_G0022709	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000036702	ENSMSIG00000030561	Mus_spicilegus
MGP_PahariEiJ_P0021174	MGP_PahariEiJ_G0014203	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035745	ENSRNOG00000026957	Rattus_norvegicus
ENSMUGP00000016516	ENSMUGG00000014154	Meriones_unguiculatus
ENSNGAP00000019628	ENSNGAG00000019370	Nannospalax_galili
ENSLAFP00000027660	ENSLAFG00000015778	Loxodonta_africana
ENSOANP00000022598	ENSOANG00000014339	Ornithorhynchus_anatinus
ENSAOWP00000019508	ENSAOWG00000013248	Apteryx_owenii
