ENSOCUP00000004229	ENSOCUG00000004891	Oryctolagus_cuniculus
ENSPVAP00000010861	ENSPVAG00000011521	Pteropus_vampyrus
ENSTGEP00000024963	ENSTGEG00000020156	Theropithecus_gelada
ENSETEP00000003371	ENSETEG00000004114	Echinops_telfairi
ENSSDAP00000018156	ENSSDAG00000016600	Spermophilus_dauricus
ENSUPAP00010022830	ENSUPAG00010018122	Urocitellus_parryii
ENSECAP00000000423	ENSECAG00000000679	Equus_caballus
ENSOGAP00000014936	ENSOGAG00000016688	Otolemur_garnettii
ENSMICP00000041397	ENSMICG00000043487	Microcebus_murinus
ENSFDAP00000005620	ENSFDAG00000014584	Fukomys_damarensis
ENSMUSP00000082729	ENSMUSG00000029644	Mus_musculus_strain_reference_(CL57BL6)
ENSRBIP00000031017	ENSRBIG00000039353	Rhinopithecus_bieti
ENSPCAP00000013345	ENSPCAG00000014347	Procavia_capensis
ENSHGLP00100023572	ENSHGLG00100017315	Heterocephalus_glaber_HetGla_1.0
ENSCHIP00000015636	ENSCHIG00000016212	Capra_hircus
ENSMOCP00000007975	ENSMOCG00000007886	Microtus_ochrogaster
ENSTBEP00000012882	ENSTBEG00000014859	Tupaia_belangeri
ENSVURP00010026788	ENSVURG00010020518	Vombatus_ursinus	ENSVURT00010030516
ENSP00000370421	ENSG00000139515	Homo_sapiens
ENSPTEP00000016840	ENSPTEG00000018414	Piliocolobus_tephrosceles
ENSCANP00000008384	ENSCANG00000027496	Colobus_angolensis_palliatus
ENSPSMP00000034292	ENSPSMG00000023637	Prolemur_simus
ENSPTRP00000009769	ENSPTRG00000005736	Pan_troglodytes
ENSGGOP00000002529	ENSGGOG00000002569	Gorilla_gorilla
ENSFCAP00000029882	ENSFCAG00000034557	Felis_catus
ENSJJAP00000015241	ENSJJAG00000017468	Jaculus_jaculus
ENSPCOP00000002151	ENSPCOG00000006631	Propithecus_coquereli
ENSMSIP00000028488	ENSMSIG00000023956	Mus_spicilegus
ENSAMEP00000002527	ENSAMEG00000002418	Ailuropoda_melanoleuca	ENSAMET00000002637
ENSDNOP00000002488	ENSDNOG00000003213	Dasypus_novemcinctus
ENSVVUP00000012607	ENSVVUG00000009234	Vulpes_vulpes
MGP_PahariEiJ_P0060436	MGP_PahariEiJ_G0024602	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000016247	ENSMLEG00000032316	Mandrillus_leucophaeus
ENSODEP00000007018	ENSODEG00000005235	Octodon_degus
ENSOPRP00000010351	ENSOPRG00000011346	Ochotona_princeps
ENSRNOP00000066935	ENSRNOG00000046458	Rattus_norvegicus
ENSHGLP00000014318	ENSHGLG00000010243	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000002634	ENSTTRG00000002811	Tursiops_truncatus
ENSMMUP00000078156	ENSMMUG00000064615	Macaca_mulatta
ENSSBOP00000030308	ENSSBOG00000031436	Saimiri_boliviensis_boliviensis
ENSNGAP00000026711	ENSNGAG00000024275	Nannospalax_galili
ENSANAP00000031579	ENSANAG00000033534	Aotus_nancymaae
ENSDORP00000007900	ENSDORG00000008418	Dipodomys_ordii
ENSCAFP00000010069	ENSCAFG00000006746	Canis_lupus_familiaris
MGP_CAROLIEiJ_P0072228	MGP_CAROLIEiJ_G0028036	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00015022013	ENSCGRG00015016784	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024122	ENSMAUG00000021082	Mesocricetus_auratus
ENSBMUP00000031092	ENSBMUG00000023207	Bos_mutus
ENSBBBP00000019290	ENSBBBG00000001839	Bison_bison_bison
ENSUAMP00000030262	ENSUAMG00000023216	Ursus_americanus	ENSUAMT00000033755
ENSCGRP00001028064	ENSCGRG00001024891	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPAP00000019094	ENSPPAG00000032720	Pan_paniscus
ENSMFAP00000022285	ENSMFAG00000045682	Macaca_fascicularis
ENSMPUP00000005111	ENSMPUG00000005147	Mustela_putorius_furo
ENSPCIP00000029835	ENSPCIG00000022204	Phascolarctos_cinereus	ENSPCIT00000036721
ENSBTAP00000014141	ENSBTAG00000010690	Bos_taurus
ENSCCAP00000036786	ENSCCAG00000036295	Cebus_capucinus_imitator
ENSMNEP00000016078	ENSMNEG00000032095	Macaca_nemestrina
ENSCSAP00000013997	ENSCSAG00000017977	Chlorocebus_sabaeus
ENSCATP00000024553	ENSCATG00000035793	Cercocebus_atys
ENSSTOP00000021620	ENSSTOG00000028173	Ictidomys_tridecemlineatus
ENSPANP00000002145	ENSPANG00000012683	Papio_anubis
ENSBIXP00000000427	ENSBIXG00000029845	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEASP00005032880	ENSEASG00005022482	Equus_asinus_asinus
ENSMLUP00000009694	ENSMLUG00000010639	Myotis_lucifugus
ENSCPOP00000019973	ENSCPOG00000024534	Cavia_porcellus
ENSCGRP00000015501	ENSCGRG00000011253	Cricetulus_griseus_CriGri_1.0
ENSCAFP00020032464	ENSCAFG00020025298	Canis_lupus_dingo
ENSSPUP00000006585	ENSSPUG00000005068	Sphenodon_punctatus
ENSNVIP00000003571	ENSNVIG00000002855	Neovison_vison
ENSEEUP00000006818	ENSEEUG00000007501	Erinaceus_europaeus
ENSSSCP00000052914	ENSSSCG00000035817	Sus_scrofa_strain_reference
ENSCLAP00000009593	ENSCLAG00000006652	Chinchilla_lanigera
ENSCJAP00000074029	ENSCJAG00000065005	Callithrix_jacchus
ENSBIXP00005029720	ENSBIXG00005005368	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCNP00000019768	ENSCCNG00000019833	Castor_canadensis
ENSPPYP00000005967	ENSPPYG00000005240	Pongo_abelii
MGP_SPRETEiJ_P0075046	MGP_SPRETEiJ_G0029034	Mus_spretus_strain_SPRET/EiJ
ENSPEMP00000001443	ENSPEMG00000001176	Peromyscus_maniculatus_bairdii
ENSPPRP00000010343	ENSPPRG00000004534	Panthera_pardus
ENSNLEP00000000431	ENSNLEG00000000362	Nomascus_leucogenys
ENSRROP00000030065	ENSRROG00000038796	Rhinopithecus_roxellana
