ENSDNVP00000025659	ENSDNVG00000017844	Dromaius_novaehollandiae
ENSLACP00000021648	ENSLACG00000019020	Latimeria_chalumnae
ENSBIXP00000014299	ENSBIXG00000000589	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSJHYP00000015859	ENSJHYG00000012148	Junco_hyemalis
ENSGGOP00000003707	ENSGGOG00000003763	Gorilla_gorilla
ENSMMMP00000021216	ENSMMMG00000018678	Marmota_marmota_marmota
ENSEEUP00000007601	ENSEEUG00000008301	Erinaceus_europaeus
ENSTGUP00000002902	ENSTGUG00000002807	Taeniopygia_guttata
ENSPCOP00000002864	ENSPCOG00000008727	Propithecus_coquereli
ENSLSDP00000009359	ENSLSDG00000006943	Lonchura_striata_domestica
ENSMPUP00000007423	ENSMPUG00000007479	Mustela_putorius_furo
ENSCGRP00000004536	ENSCGRG00000003339	Cricetulus_griseus_CriGri_1.0
ENSHGLP00000026694	ENSHGLG00000018989	Heterocephalus_glaber_HetGla_female_1.0
ENSPPAP00000014446	ENSPPAG00000030373	Pan_paniscus
ENSPPYP00000002283	ENSPPYG00000001968	Pongo_abelii
ENSJJAP00000001432	ENSJJAG00000001571	Jaculus_jaculus
ENSMICP00000004383	ENSMICG00000004807	Microcebus_murinus
ENSUMAP00000014487	ENSUMAG00000010583	Ursus_maritimus
ENSPTEP00000018680	ENSPTEG00000020067	Piliocolobus_tephrosceles
ENSOANP00000023004	ENSOANG00000014603	Ornithorhynchus_anatinus
ENSNPEP00000007971	ENSNPEG00000005974	Nothoprocta_perdicaria
ENSCJAP00000069570	ENSCJAG00000002653	Callithrix_jacchus
ENSZALP00000002985	ENSZALG00000002995	Zonotrichia_albicollis
ENSACAP00000017494	ENSACAG00000017766	Anolis_carolinensis
ENSSDAP00000025951	ENSSDAG00000023479	Spermophilus_dauricus
ENSVVUP00000038023	ENSVVUG00000027141	Vulpes_vulpes
ENSCGRP00015017033	ENSCGRG00015012570	Cricetulus_griseus_CriGri-PICR
ENSFCAP00000055695	ENSFCAG00000013481	Felis_catus
ENSCAPP00000016613	ENSCAPG00000016435	Cavia_aperea
ENSUAMP00000030338	ENSUAMG00000023284	Ursus_americanus
ENSCLAP00000016547	ENSCLAG00000011378	Chinchilla_lanigera
ENSBBBP00000023421	ENSBBBG00000018297	Bison_bison_bison
ENSODEP00000014041	ENSODEG00000010377	Octodon_degus
ENSCCNP00000027216	ENSCCNG00000026073	Castor_canadensis
ENSECAP00000015057	ENSECAG00000017045	Equus_caballus
ENSNGAP00000021372	ENSNGAG00000020527	Nannospalax_galili
ENSMNEP00000007928	ENSMNEG00000028486	Macaca_nemestrina
ENSCCEP00000019705	ENSCCEG00000017878	Cyanistes_caeruleus
ENSNLEP00000009858	ENSNLEG00000008079	Nomascus_leucogenys
ENSPTRP00000077930	ENSPTRG00000000059	Pan_troglodytes
ENSSHAP00000013636	ENSSHAG00000011652	Sarcophilus_harrisii
ENSCABP00000024828	ENSCABG00000018281	Chelonoidis_abingdonii
ENSMAUP00000016413	ENSMAUG00000015516	Mesocricetus_auratus
ENSMMUP00000040662	ENSMMUG00000009350	Macaca_mulatta
ENSMOCP00000019334	ENSMOCG00000017346	Microtus_ochrogaster
ENSTGEP00000016171	ENSTGEG00000013069	Theropithecus_gelada
ENSFALP00000009998	ENSFALG00000009580	Ficedula_albicollis
ENSCPBP00000030516	ENSCPBG00000021485	Chrysemys_picta_bellii
ENSHGLP00100013594	ENSHGLG00100010051	Heterocephalus_glaber_HetGla_1.0
ENSSBOP00000015865	ENSSBOG00000024634	Saimiri_boliviensis_boliviensis
ENSVURP00010032058	ENSVURG00010024453	Vombatus_ursinus
ENSARWP00000009830	ENSARWG00000006815	Apteryx_rowi
ENSBTAP00000025245	ENSBTAG00000018965	Bos_taurus
ENSDNOP00000021971	ENSDNOG00000031894	Dasypus_novemcinctus
ENSPSMP00000000630	ENSPSMG00000000492	Prolemur_simus
ENSPSIP00000004358	ENSPSIG00000004093	Pelodiscus_sinensis
ENSCMIP00000007441	ENSCMIG00000004084	Callorhinchus_milii
ENSBIXP00005034653	ENSBIXG00005015656	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSPUP00000016194	ENSSPUG00000012510	Sphenodon_punctatus
MGP_SPRETEiJ_P0068769	MGP_SPRETEiJ_G0027865	Mus_spretus_strain_SPRET/EiJ
ENSOARP00000018502	ENSOARG00000017237	Ovis_aries
ENSGAGP00000012498	ENSGAGG00000009435	Gopherus_agassizii
