ENSNBRP00000012454	ENSNBRG00000009711	Neolamprologus_brichardi
ENSMMOP00000026547	ENSMMOG00000020110	Mola_mola
ENSORLP00015011783	ENSORLG00015012616	Oryzias_latipes_ASM223469v1
ENSSDUP00000003250	ENSSDUG00000002462	Seriola_dumerili
ENSECRP00000021521	ENSECRG00000014526	Erpetoichthys_calabaricus
ENSDCDP00000032239	ENSDCDG00000022182	Denticeps_clupeoides	ENSDCDT00000041631
ENSCHAP00000059238	ENSCHAG00000026570	Clupea_harengus	ENSCHAT00000063779
ENSMAMP00000018834	ENSMAMG00000012678	Mastacembelus_armatus
ENSLCAP00010055760	ENSLCAG00010026005	Lates_calcarifer
ENSGWIP00000056388	ENSGWIG00000026716	Gouania_willdenowi
ENSTRUP00000007992	ENSTRUG00000003410	Takifugu_rubripes
ENSCGOP00000006410	ENSCGOG00000002877	Cottoperca_gobio
ENSKMAP00000023007	ENSKMAG00000017051	Kryptolebias_marmoratus
ENSSFOP00015010050	ENSSFOG00015006496	Scleropages_formosus	ENSSFOT00015010188
ENSELUP00000002135	ENSELUG00000003522	Esox_lucius
ENSAPEP00000033330	ENSAPEG00000023642	Amphiprion_percula
ENSDARP00000060245	ENSDARG00000041110	Danio_rerio
ENSMALP00000016045	ENSMALG00000011246	Monopterus_albus
ENSCVAP00000017442	ENSCVAG00000020565	Cyprinodon_variegatus
ENSPNYP00000014274	ENSPNYG00000010810	Pundamilia_nyererei
ENSORLP00000022167	ENSORLG00000017711	Oryzias_latipes_ASM223467v1
ENSAOCP00000026805	ENSAOCG00000015293	Amphiprion_ocellaris
ENSPLAP00000030760	ENSPLAG00000022167	Poecilia_latipinna
ENSFHEP00000020467	ENSFHEG00000022460	Fundulus_heteroclitus
ENSCSEP00000008417	ENSCSEG00000005383	Cynoglossus_semilaevis
ENSACIP00000024475	ENSACIG00000019002	Amphilophus_citrinellus
ENSATEP00000020065	ENSATEG00000013990	Anabas_testudineus
ENSHHUP00000062133	ENSHHUG00000036759	Hucho_hucho
ENSACLP00000011208	ENSACLG00000007674	Astatotilapia_calliptera
ENSPFOP00000006903	ENSPFOG00000006914	Poecilia_formosa
ENSOMEP00000005211	ENSOMEG00000006210	Oryzias_melastigma
ENSMZEP00005004223	ENSMZEG00005003248	Maylandia_zebra
ENSPRNP00000015319	ENSPRNG00000008234	Parambassis_ranga
ENSLCRP00005063994	ENSLCRG00005023428	Larimichthys_crocea
ENSPMGP00000014545	ENSPMGG00000011917	Periophthalmus_magnuspinnatus
ENSPKIP00000021633	ENSPKIG00000005947	Paramormyrops_kingsleyae	ENSPKIT00000002274
ENSSLDP00000002528	ENSSLDG00000002016	Seriola_lalandi_dorsalis
ENSGAFP00000002457	ENSGAFG00000001662	Gambusia_affinis
ENSXMAP00000004649	ENSXMAG00000004627	Xiphophorus_maculatus
ENSPNAP00000020150	ENSPNAG00000004882	Pygocentrus_nattereri
ENSPREP00000003429	ENSPREG00000002469	Poecilia_reticulata
ENSONIP00000010658	ENSONIG00000008479	Oreochromis_niloticus
ENSGACP00000005504	ENSGACG00000004166	Gasterosteus_aculeatus
ENSTNIP00000004478	ENSTNIG00000002052	Tetraodon_nigroviridis
ENSGMOP00000002193	ENSGMOG00000002042	Gadus_morhua
ENSHCOP00000025088	ENSHCOG00000014985	Hippocampus_comes
ENSEEEP00000026014	ENSEEEG00000012596	Electrophorus_electricus
ENSORLP00020017696	ENSORLG00020018715	Oryzias_latipes_ASM223471v1
ENSSPAP00000007712	ENSSPAG00000005884	Stegastes_partitus
ENSSMAP00000026945	ENSSMAG00000016446	Scophthalmus_maximus
ENSLBEP00000025219	ENSLBEG00000019233	Labrus_bergylta
ENSAMXP00000044549	ENSAMXG00000034027	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000037773
ENSLOCP00000006188	ENSLOCG00000005118	Lepisosteus_oculatus
ENSHBUP00000019820	ENSHBUG00000022066	Haplochromis_burtoni
ENSPMEP00000021147	ENSPMEG00000001114	Poecilia_mexicana
ENSXCOP00000025526	ENSXCOG00000019077	Xiphophorus_couchianus
ENSAPOP00000019357	ENSAPOG00000022803	Acanthochromis_polyacanthus
ENSIPUP00000001487	ENSIPUG00000001056	Ictalurus_punctatus
ENSAMXP00005039311	ENSAMXG00005018421	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBSLP00000049741	ENSBSLG00000023572	Betta_splendens
ENSTNIP00000016981	ENSTNIG00000013974	Tetraodon_nigroviridis
