ENSPMEP00000005516	ENSPMEG00000006892	Poecilia_mexicana
ENSPLAP00000006207	ENSPLAG00000008286	Poecilia_latipinna
ENSXMAP00000024167	ENSXMAG00000025815	Xiphophorus_maculatus
ENSGAFP00000000025	ENSGAFG00000000018	Gambusia_affinis
ENSSPAP00000025037	ENSSPAG00000018931	Stegastes_partitus
ENSLCRP00005019615	ENSLCRG00005008023	Larimichthys_crocea
ENSSFOP00015015570	ENSSFOG00015010051	Scleropages_formosus
ENSLOCP00000002943	ENSLOCG00000002506	Lepisosteus_oculatus
ENSPVIP00000010136	ENSPVIG00000008041	Pogona_vitticeps	ENSPVIT00000012906
ENSACAP00000021982	ENSACAG00000028627	Anolis_carolinensis	ENSACAT00000029400
ENSSPUP00000016427	ENSSPUG00000012726	Sphenodon_punctatus	ENSSPUT00000017501
ENSCPUP00000015745	ENSCPUG00000010943	Calidris_pugnax
ENSMUNP00000006040	ENSMUNG00000004900	Melopsittacus_undulatus
ENSABRP00000001476	ENSABRG00000001499	Anser_brachyrhynchus
ENSAPLP00000023583	ENSAPLG00000022804	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005023226	ENSCJPG00005018457	Coturnix_japonica
ENSGALP00000069165	ENSGALG00000053332	Gallus_gallus
ENSMGAP00000010310	ENSMGAG00000009948	Meleagris_gallopavo
ENSSCAP00000018316	ENSSCAG00000013258	Serinus_canaria
ENSTGUP00000003384	ENSTGUG00000003287	Taeniopygia_guttata
ENSJHYP00000000083	ENSJHYG00000000087	Junco_hyemalis
ENSLCOP00000010166	ENSLCOG00000007400	Lepidothrix_coronata
ENSMVIP00005013235	ENSMVIG00005009583	Manacus_vitellinus
ENSLSDP00000001553	ENSLSDG00000001233	Lonchura_striata_domestica
ENSZALP00000000379	ENSZALG00000000436	Zonotrichia_albicollis
ENSCCEP00000023230	ENSCCEG00000020849	Cyanistes_caeruleus
ENSPMJP00000010508	ENSPMJG00000008260	Parus_major
ENSFALP00000004993	ENSFALG00000004795	Ficedula_albicollis
ENSAOWP00000020249	ENSAOWG00000013702	Apteryx_owenii
ENSARWP00000021630	ENSARWG00000014770	Apteryx_rowi
ENSAHAP00000015416	ENSAHAG00000011064	Apteryx_haastii
ENSDNVP00000009147	ENSDNVG00000006484	Dromaius_novaehollandiae
ENSCPRP00005001141	ENSCPRG00005000882	Crocodylus_porosus
ENSGAGP00000002953	ENSGAGG00000002354	Gopherus_agassizii
ENSCABP00000015360	ENSCABG00000011459	Chelonoidis_abingdonii
ENSCPBP00000005977	ENSCPBG00000004775	Chrysemys_picta_bellii
ENSPSIP00000014817	ENSPSIG00000013269	Pelodiscus_sinensis
ENSPPAP00000018628	ENSPPAG00000032450	Pan_paniscus
ENSPTRP00000013074	ENSPTRG00000007650	Pan_troglodytes
ENSP00000355022	ENSG00000162062	Homo_sapiens
ENSGGOP00000011610	ENSGGOG00000011900	Gorilla_gorilla
ENSPPYP00000007922	ENSPPYG00000006999	Pongo_abelii
ENSNLEP00000011443	ENSNLEG00000009388	Nomascus_leucogenys
ENSPANP00000013714	ENSPANG00000021607	Papio_anubis
ENSTGEP00000033040	ENSTGEG00000026396	Theropithecus_gelada
ENSCATP00000023524	ENSCATG00000035318	Cercocebus_atys
ENSMLEP00000022535	ENSMLEG00000035465	Mandrillus_leucophaeus
ENSMFAP00000036691	ENSMFAG00000034669	Macaca_fascicularis
ENSMMUP00000032713	ENSMMUG00000000002	Macaca_mulatta
ENSMNEP00000008242	ENSMNEG00000028640	Macaca_nemestrina
ENSCSAP00000006754	ENSCSAG00000010559	Chlorocebus_sabaeus
ENSCANP00000018006	ENSCANG00000032451	Colobus_angolensis_palliatus
ENSPTEP00000033595	ENSPTEG00000032051	Piliocolobus_tephrosceles
ENSRBIP00000018466	ENSRBIG00000033216	Rhinopithecus_bieti
ENSRROP00000016248	ENSRROG00000032275	Rhinopithecus_roxellana
ENSSBOP00000026091	ENSSBOG00000029495	Saimiri_boliviensis_boliviensis
ENSCCAP00000032828	ENSCCAG00000034443	Cebus_capucinus_imitator
ENSANAP00000019265	ENSANAG00000027439	Aotus_nancymaae
ENSTSYP00000028550	ENSTSYG00000008199	Carlito_syrichta
ENSMICP00000013521	ENSMICG00000014837	Microcebus_murinus
ENSPCOP00000009044	ENSPCOG00000015857	Propithecus_coquereli
ENSPSMP00000026963	ENSPSMG00000018892	Prolemur_simus
ENSCCNP00000007768	ENSCCNG00000008241	Castor_canadensis
ENSDORP00000011705	ENSDORG00000012452	Dipodomys_ordii
MGP_SPRETEiJ_P0044944	MGP_SPRETEiJ_G0022088	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005828	ENSMSIG00000005241	Mus_spicilegus
ENSMUSP00000024930	ENSMUSG00000024118	Mus_musculus_strain_reference_(CL57BL6)
