ENSTRUP00000022233	ENSTRUG00000008849	Takifugu_rubripes
ENSTNIP00000011217	ENSTNIG00000008383	Tetraodon_nigroviridis
ENSMMOP00000008699	ENSMMOG00000006728	Mola_mola
ENSCSEP00000012958	ENSCSEG00000008361	Cynoglossus_semilaevis
ENSXCOP00000027054	ENSXCOG00000020206	Xiphophorus_couchianus
ENSXMAP00000003135	ENSXMAG00000003102	Xiphophorus_maculatus
ENSGAFP00000000980	ENSGAFG00000000656	Gambusia_affinis
ENSPFOP00000002830	ENSPFOG00000002878	Poecilia_formosa
ENSPLAP00000028425	ENSPLAG00000017784	Poecilia_latipinna
ENSPMEP00000000463	ENSPMEG00000001245	Poecilia_mexicana
ENSPREP00000012294	ENSPREG00000008317	Poecilia_reticulata
ENSCVAP00000013649	ENSCVAG00000016179	Cyprinodon_variegatus
ENSFHEP00000022090	ENSFHEG00000002247	Fundulus_heteroclitus
ENSKMAP00000023194	ENSKMAG00000017211	Kryptolebias_marmoratus
ENSORLP00020024214	ENSORLG00020005517	Oryzias_latipes_ASM223471v1
ENSORLP00000009832	ENSORLG00000007847	Oryzias_latipes_ASM223467v1
ENSORLP00015018478	ENSORLG00015019559	Oryzias_latipes_ASM223469v1
ENSOMEP00000021184	ENSOMEG00000023068	Oryzias_melastigma
ENSGWIP00000034064	ENSGWIG00000015941	Gouania_willdenowi
ENSMAMP00000012196	ENSMAMG00000008239	Mastacembelus_armatus
ENSMALP00000014052	ENSMALG00000009873	Monopterus_albus
ENSATEP00000009894	ENSATEG00000006968	Anabas_testudineus
ENSBSLP00000051817	ENSBSLG00000024384	Betta_splendens
ENSSDUP00000014135	ENSSDUG00000010284	Seriola_dumerili
ENSSLDP00000032544	ENSSLDG00000024968	Seriola_lalandi_dorsalis
ENSSMAP00000027212	ENSSMAG00000016641	Scophthalmus_maximus
ENSLCAP00010009660	ENSLCAG00010004619	Lates_calcarifer
ENSAOCP00000019623	ENSAOCG00000000081	Amphiprion_ocellaris
ENSAPEP00000026145	ENSAPEG00000018587	Amphiprion_percula
ENSAPOP00000003999	ENSAPOG00000005563	Acanthochromis_polyacanthus
ENSSPAP00000028029	ENSSPAG00000021108	Stegastes_partitus
ENSPRNP00000039220	ENSPRNG00000018943	Parambassis_ranga
ENSMZEP00005030031	ENSMZEG00005022393	Maylandia_zebra
ENSACLP00000028334	ENSACLG00000019206	Astatotilapia_calliptera
ENSPNYP00000015178	ENSPNYG00000011480	Pundamilia_nyererei
ENSHBUP00000013402	ENSHBUG00000015527	Haplochromis_burtoni
ENSONIP00000019200	ENSONIG00000015259	Oreochromis_niloticus
ENSACIP00000001071	ENSACIG00000000903	Amphilophus_citrinellus
ENSCGOP00000036586	ENSCGOG00000016223	Cottoperca_gobio
ENSGACP00000014030	ENSGACG00000010550	Gasterosteus_aculeatus
ENSLCRP00005054130	ENSLCRG00005020075	Larimichthys_crocea
ENSLBEP00000023821	ENSLBEG00000018262	Labrus_bergylta
ENSHCOP00000023607	ENSHCOG00000000631	Hippocampus_comes
ENSPMGP00000008125	ENSPMGG00000006720	Periophthalmus_magnuspinnatus
ENSSFOP00015024410	ENSSFOG00015015687	Scleropages_formosus
ENSGMOP00000007232	ENSGMOG00000006795	Gadus_morhua
ENSDCDP00000027367	ENSDCDG00000018126	Denticeps_clupeoides
ENSPKIP00000025683	ENSPKIG00000008451	Paramormyrops_kingsleyae	ENSPKIT00000006420
ENSAMXP00000051649	ENSAMXG00000000508	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005051017	ENSAMXG00005022898	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000008711	ENSPNAG00000014331	Pygocentrus_nattereri
ENSIPUP00000030937	ENSIPUG00000020805	Ictalurus_punctatus
ENSEEEP00000033314	ENSEEEG00000015150	Electrophorus_electricus
ENSDARP00000140482	ENSDARG00000101631	Danio_rerio
ENSCHAP00000021837	ENSCHAG00000009901	Clupea_harengus
ENSHHUP00000053686	ENSHHUG00000032026	Hucho_hucho
ENSHHUP00000056063	ENSHHUG00000033453	Hucho_hucho
ENSELUP00000019108	ENSELUG00000018502	Esox_lucius
ENSHHUP00000066602	ENSHHUG00000039152	Hucho_hucho
ENSHHUP00000066366	ENSHHUG00000039059	Hucho_hucho
ENSLOCP00000018117	ENSLOCG00000014711	Lepisosteus_oculatus
ENSECRP00000031186	ENSECRG00000021102	Erpetoichthys_calabaricus
ENSACAP00000000197	ENSACAG00000000190	Anolis_carolinensis
ENSPVIP00000008092	ENSPVIG00000006551	Pogona_vitticeps
ENSNSUP00000027466	ENSNSUG00000019645	Notechis_scutatus
ENSSMRP00000000898	ENSSMRG00000000769	Salvator_merianae
ENSSPUP00000021005	ENSSPUG00000016148	Sphenodon_punctatus
ENSCABP00000004423	ENSCABG00000003326	Chelonoidis_abingdonii
ENSGAGP00000035534	ENSGAGG00000025262	Gopherus_agassizii
ENSCPBP00000006653	ENSCPBG00000003381	Chrysemys_picta_bellii
ENSPSIP00000020219	ENSPSIG00000017872	Pelodiscus_sinensis
ENSMVIP00005019766	ENSMVIG00005013980	Manacus_vitellinus
ENSLCOP00000022134	ENSLCOG00000015624	Lepidothrix_coronata
ENSTGUP00000003664	ENSTGUG00000003549	Taeniopygia_guttata
ENSLSDP00000025910	ENSLSDG00000018088	Lonchura_striata_domestica
ENSZALP00000021063	ENSZALG00000016529	Zonotrichia_albicollis
ENSJHYP00000020439	ENSJHYG00000015506	Junco_hyemalis
ENSSCAP00000017515	ENSSCAG00000012712	Serinus_canaria
ENSFALP00000011176	ENSFALG00000010711	Ficedula_albicollis
ENSCPGP00000000152	ENSCPGG00000000121	Calidris_pygmaea
ENSCPUP00000021755	ENSCPUG00000014804	Calidris_pugnax
ENSAPLP00000015431	ENSAPLG00000015531	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000021283	ENSAPLG00000025150	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004163	ENSABRG00000003594	Anser_brachyrhynchus
ENSMGAP00000003146	ENSMGAG00000003423	Meleagris_gallopavo
ENSCJPP00005009090	ENSCJPG00005008042	Coturnix_japonica
ENSGALP00000004621	ENSGALG00000002925	Gallus_gallus
ENSNMEP00000012725	ENSNMEG00000011657	Numida_meleagris
ENSAOWP00000021534	ENSAOWG00000014546	Apteryx_owenii
ENSARWP00000021380	ENSARWG00000014605	Apteryx_rowi
ENSAHAP00000003031	ENSAHAG00000001762	Apteryx_haastii
ENSDNVP00000012822	ENSDNVG00000009061	Dromaius_novaehollandiae
ENSMSIP00000005306	ENSMSIG00000004811	Mus_spicilegus
ENSMUSP00000034866	ENSMUSG00000032314	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0091565	MGP_SPRETEiJ_G0033386	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0087961	MGP_CAROLIEiJ_G0032246	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023608	MGP_PahariEiJ_G0015113	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020544	ENSRNOG00000015233	Rattus_norvegicus
ENSMUGP00000016131	ENSMUGG00000013838	Meriones_unguiculatus
ENSCGRP00001023445	ENSCGRG00001021669	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024454	ENSCGRG00000017726	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015034596	ENSCGRG00015026020	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000002283	ENSMAUG00000001806	Mesocricetus_auratus
ENSMOCP00000010051	ENSMOCG00000010247	Microtus_ochrogaster
ENSPEMP00000017076	ENSPEMG00000016111	Peromyscus_maniculatus_bairdii
ENSNGAP00000000958	ENSNGAG00000000733	Nannospalax_galili
ENSJJAP00000014684	ENSJJAG00000017077	Jaculus_jaculus
ENSCPOP00000005574	ENSCPOG00000006181	Cavia_porcellus
ENSODEP00000019221	ENSODEG00000014177	Octodon_degus
ENSHGLP00000002335	ENSHGLG00000001775	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020986	ENSHGLG00100015462	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006500	ENSFDAG00000015244	Fukomys_damarensis
ENSCLAP00000012892	ENSCLAG00000008902	Chinchilla_lanigera
ENSSDAP00000016972	ENSSDAG00000015355	Spermophilus_dauricus
ENSSTOP00000005330	ENSSTOG00000005955	Ictidomys_tridecemlineatus
ENSUPAP00010030022	ENSUPAG00010023591	Urocitellus_parryii
ENSMMMP00000001666	ENSMMMG00000001529	Marmota_marmota_marmota
ENSOCUP00000033210	ENSOCUG00000000769	Oryctolagus_cuniculus
ENSOPRP00000000691	ENSOPRG00000000755	Ochotona_princeps
ENSPPAP00000032790	ENSPPAG00000039239	Pan_paniscus
ENSPTRP00000012506	ENSPTRG00000007314	Pan_troglodytes
ENSP00000452762	ENSG00000140374	Homo_sapiens
ENSGGOP00000008833	ENSGGOG00000009032	Gorilla_gorilla
ENSPPYP00000007571	ENSPPYG00000006674	Pongo_abelii
ENSNLEP00000009983	ENSNLEG00000008168	Nomascus_leucogenys
ENSRROP00000024812	ENSRROG00000036191	Rhinopithecus_roxellana
ENSRBIP00000035187	ENSRBIG00000041256	Rhinopithecus_bieti
ENSPTEP00000024797	ENSPTEG00000025202	Piliocolobus_tephrosceles
ENSCANP00000023854	ENSCANG00000035336	Colobus_angolensis_palliatus
ENSMFAP00000011985	ENSMFAG00000018597	Macaca_fascicularis
ENSMMUP00000014462	ENSMMUG00000011045	Macaca_mulatta
ENSMNEP00000021440	ENSMNEG00000034467	Macaca_nemestrina
ENSCSAP00000010799	ENSCSAG00000014683	Chlorocebus_sabaeus
ENSPANP00000034478	ENSPANG00000015868	Papio_anubis
ENSTGEP00000000083	ENSTGEG00000000110	Theropithecus_gelada
ENSCATP00000034659	ENSCATG00000040219	Cercocebus_atys
ENSMLEP00000036790	ENSMLEG00000042496	Mandrillus_leucophaeus
ENSCCAP00000010199	ENSCCAG00000022830	Cebus_capucinus_imitator
ENSCJAP00000020000	ENSCJAG00000010791	Callithrix_jacchus
ENSSBOP00000009761	ENSSBOG00000021744	Saimiri_boliviensis_boliviensis
ENSANAP00000026059	ENSANAG00000030722	Aotus_nancymaae
ENSTSYP00000014362	ENSTSYG00000007890	Carlito_syrichta
ENSPSMP00000008785	ENSPSMG00000006393	Prolemur_simus
ENSMICP00000049678	ENSMICG00000000961	Microcebus_murinus
ENSPCOP00000029928	ENSPCOG00000027674	Propithecus_coquereli
ENSOGAP00000008303	ENSOGAG00000009271	Otolemur_garnettii
ENSEEUP00000003837	ENSEEUG00000004204	Erinaceus_europaeus
ENSSARP00000004044	ENSSARG00000004455	Sorex_araneus
ENSECAP00000033323	ENSECAG00000002611	Equus_caballus
ENSEASP00005022973	ENSEASG00005015648	Equus_asinus_asinus
ENSPVAP00000013966	ENSPVAG00000014818	Pteropus_vampyrus
ENSMLUP00000001886	ENSMLUG00000002072	Myotis_lucifugus
ENSUMAP00000024392	ENSUMAG00000017747	Ursus_maritimus
ENSAMEP00000008668	ENSAMEG00000008226	Ailuropoda_melanoleuca
ENSAMEP00000016687	ENSAMEG00000015817	Ailuropoda_melanoleuca
ENSUAMP00000032494	ENSUAMG00000024820	Ursus_americanus
ENSNVIP00000018772	ENSNVIG00000014713	Neovison_vison
ENSMPUP00000017238	ENSMPUG00000017348	Mustela_putorius_furo
ENSCAFP00020004348	ENSCAFG00020003582	Canis_lupus_dingo
ENSVVUP00000026935	ENSVVUG00000019792	Vulpes_vulpes
ENSPTIP00000005347	ENSPTIG00000007579	Panthera_tigris_altaica
ENSPPRP00000016597	ENSPPRG00000008855	Panthera_pardus
ENSFCAP00000055376	ENSFCAG00000006109	Felis_catus
ENSOARP00000010913	ENSOARG00000010175	Ovis_aries
ENSOARP00000001539	ENSOARG00000001476	Ovis_aries
ENSCHIP00000014628	ENSCHIG00000015575	Capra_hircus
ENSBIXP00000030958	ENSBIXG00000001278	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000016570	ENSBTAG00000012490	Bos_taurus
ENSBIXP00005006536	ENSBIXG00005012049	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000003199	ENSBMUG00000002531	Bos_mutus
ENSBBBP00000001265	ENSBBBG00000010350	Bison_bison_bison
ENSTTRP00000012192	ENSTTRG00000012858	Tursiops_truncatus
ENSSSCP00000034248	ENSSSCG00000001862	Sus_scrofa_strain_reference
ENSVPAP00000004203	ENSVPAG00000004527	Vicugna_pacos
ENSCCNP00000032478	ENSCCNG00000030803	Castor_canadensis
ENSCAFP00000065321	ENSCAFG00000018143	Canis_lupus_familiaris
ENSDNOP00000017465	ENSDNOG00000025884	Dasypus_novemcinctus
ENSPCAP00000004590	ENSPCAG00000004901	Procavia_capensis
ENSLAFP00000029060	ENSLAFG00000011710	Loxodonta_africana
ENSETEP00000006939	ENSETEG00000008539	Echinops_telfairi
ENSPCIP00000002678	ENSPCIG00000002118	Phascolarctos_cinereus
ENSVURP00010016961	ENSVURG00010012988	Vombatus_ursinus
ENSMEUP00000003417	ENSMEUG00000003744	Notamacropus_eugenii
ENSSHAP00000018987	ENSSHAG00000016116	Sarcophilus_harrisii
ENSMODP00000044000	ENSMODG00000011967	Monodelphis_domestica
ENSXETP00000045434	ENSXETG00000017738	Xenopus_tropicalis
ENSCMIP00000016397	ENSCMIG00000007761	Callorhinchus_milii
ENSCINP00000013164	ENSCING00000006311	Ciona_intestinalis
ENSCSAVP00000012177	ENSCSAVG00000007173	Ciona_savignyi
YPR004C_mRNA	YPR004C	Saccharomyces_cerevisiae_strain_S288C
