ENSSMRP00000019881	ENSSMRG00000015489	Salvator_merianae
ENSNSUP00000000205	ENSNSUG00000000224	Notechis_scutatus
ENSPVIP00000022200	ENSPVIG00000016785	Pogona_vitticeps
ENSOANP00000031296	ENSOANG00000031163	Ornithorhynchus_anatinus
ENSGAGP00000016717	ENSGAGG00000012498	Gopherus_agassizii
ENSCABP00000031071	ENSCABG00000022699	Chelonoidis_abingdonii
ENSCPBP00000004149	ENSCPBG00000003360	Chrysemys_picta_bellii
ENSPSIP00000011908	ENSPSIG00000010620	Pelodiscus_sinensis
ENSCPRP00005023463	ENSCPRG00005016297	Crocodylus_porosus
ENSSPUP00000010521	ENSSPUG00000008112	Sphenodon_punctatus
ENSAOWP00000023234	ENSAOWG00000015518	Apteryx_owenii	ENSAOWT00000026318
ENSARWP00000017442	ENSARWG00000011939	Apteryx_rowi	ENSARWT00000019828
ENSAHAP00000010660	ENSAHAG00000006314	Apteryx_haastii	ENSAHAT00000011788
ENSDNVP00000011296	ENSDNVG00000007965	Dromaius_novaehollandiae	ENSDNVT00000013616
ENSNPEP00000013208	ENSNPEG00000009863	Nothoprocta_perdicaria
ENSABRP00000012500	ENSABRG00000011178	Anser_brachyrhynchus
ENSAPLP00000022048	ENSAPLG00000000806	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005014323	ENSCJPG00005011966	Coturnix_japonica
ENSMGAP00000000026	ENSMGAG00000000650	Meleagris_gallopavo
ENSGALP00000051875	ENSGALG00000036391	Gallus_gallus
ENSNMEP00000021125	ENSNMEG00000018105	Numida_meleagris
ENSCPGP00000025685	ENSCPGG00000017725	Calidris_pygmaea
ENSCPUP00000018487	ENSCPUG00000011922	Calidris_pugnax
ENSMVIP00005013242	ENSMVIG00005009430	Manacus_vitellinus
ENSLCOP00000005133	ENSLCOG00000003419	Lepidothrix_coronata
ENSJHYP00000011729	ENSJHYG00000009167	Junco_hyemalis
ENSSCAP00000022671	ENSSCAG00000016186	Serinus_canaria
ENSZALP00000009297	ENSZALG00000008008	Zonotrichia_albicollis
ENSTGUP00000004031	ENSTGUG00000003894	Taeniopygia_guttata
ENSLSDP00000002321	ENSLSDG00000001307	Lonchura_striata_domestica
ENSCCEP00000012519	ENSCCEG00000011982	Cyanistes_caeruleus
ENSPMJP00000021035	ENSPMJG00000015604	Parus_major
ENSFALP00000000216	ENSFALG00000000190	Ficedula_albicollis
ENSMUNP00000002841	ENSMUNG00000001604	Melopsittacus_undulatus
ENSCHIP00000024934	ENSCHIG00000021854	Capra_hircus
ENSOARP00000021286	ENSOARG00000019823	Ovis_aries
ENSBIXP00005028461	ENSBIXG00005008141	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000018641	ENSBIXG00000004355	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023441	ENSBTAG00000017626	Bos_taurus
ENSBMUP00000027367	ENSBMUG00000020505	Bos_mutus
ENSBBBP00000022673	ENSBBBG00000016730	Bison_bison_bison
ENSTTRP00000014516	ENSTTRG00000015313	Tursiops_truncatus
ENSSSCP00000035420	ENSSSCG00000008339	Sus_scrofa_strain_reference
ENSVPAP00000001609	ENSVPAG00000001743	Vicugna_pacos
ENSECAP00000017536	ENSECAG00000019938	Equus_caballus
ENSEASP00005010348	ENSEASG00005007343	Equus_asinus_asinus
ENSMLUP00000003359	ENSMLUG00000003686	Myotis_lucifugus
ENSPVAP00000001157	ENSPVAG00000001232	Pteropus_vampyrus
ENSEEUP00000006860	ENSEEUG00000007509	Erinaceus_europaeus
ENSUMAP00000029308	ENSUMAG00000021249	Ursus_maritimus
ENSUAMP00000021704	ENSUAMG00000017049	Ursus_americanus
ENSMPUP00000006338	ENSMPUG00000006393	Mustela_putorius_furo
ENSNVIP00000004796	ENSNVIG00000003807	Neovison_vison
ENSCAFP00020000686	ENSCAFG00020000705	Canis_lupus_dingo
ENSCAFP00000004897	ENSCAFG00000003296	Canis_lupus_familiaris
ENSVVUP00000038996	ENSVVUG00000027815	Vulpes_vulpes
ENSPTIP00000012949	ENSPTIG00000012830	Panthera_tigris_altaica
ENSPPRP00000022848	ENSPPRG00000013257	Panthera_pardus
ENSFCAP00000057496	ENSFCAG00000007598	Felis_catus
ENSCGRP00001016658	ENSCGRG00001016926	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025343	ENSCGRG00015019248	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005861	ENSCGRG00000004297	Cricetulus_griseus_CriGri_1.0
ENSCCNP00000028501	ENSCCNG00000027449	Castor_canadensis
ENSAMEP00000017130	ENSAMEG00000016228	Ailuropoda_melanoleuca
ENSLAFP00000009733	ENSLAFG00000011652	Loxodonta_africana
ENSPCAP00000010759	ENSPCAG00000011428	Procavia_capensis
ENSETEP00000004277	ENSETEG00000005256	Echinops_telfairi
ENSCHOP00000010107	ENSCHOG00000011419	Choloepus_hoffmanni
ENSDNOP00000005276	ENSDNOG00000006788	Dasypus_novemcinctus
ENSCCNP00000015556	ENSCCNG00000015944	Castor_canadensis
ENSDORP00000020170	ENSDORG00000015980	Dipodomys_ordii
ENSPEMP00000021076	ENSPEMG00000018838	Peromyscus_maniculatus_bairdii
ENSMOCP00000004531	ENSMOCG00000003763	Microtus_ochrogaster
ENSMAUP00000003545	ENSMAUG00000003849	Mesocricetus_auratus
ENSCGRP00015015335	ENSCGRG00015010870	Cricetulus_griseus_CriGri-PICR
MGP_SPRETEiJ_P0077788	MGP_SPRETEiJ_G0029617	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016842	ENSMSIG00000014430	Mus_spicilegus
ENSMUSP00000109288	ENSMUSG00000029992	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0074822	MGP_CAROLIEiJ_G0028606	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0050950	MGP_PahariEiJ_G0022343	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075660	ENSRNOG00000018507	Rattus_norvegicus
ENSMUGP00000024501	ENSMUGG00000020419	Meriones_unguiculatus
ENSNGAP00000010567	ENSNGAG00000012873	Nannospalax_galili
ENSJJAP00000022794	ENSJJAG00000022727	Jaculus_jaculus
ENSHGLP00000015254	ENSHGLG00000010905	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005812	ENSHGLG00100004395	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007657	ENSFDAG00000016139	Fukomys_damarensis
ENSCLAP00000012883	ENSCLAG00000008896	Chinchilla_lanigera
ENSODEP00000011386	ENSODEG00000008469	Octodon_degus
ENSCPOP00000023477	ENSCPOG00000014259	Cavia_porcellus
ENSCAPP00000015059	ENSCAPG00000015273	Cavia_aperea
ENSUPAP00010012954	ENSUPAG00010010498	Urocitellus_parryii
