ENSPCAP00000000175	ENSPCAG00000000190	Procavia_capensis	ENSPCAT00000000188
ENSETEP00000000128	ENSETEG00000000169	Echinops_telfairi	ENSETET00000000170
ENSPVAP00000008900	ENSPVAG00000009444	Pteropus_vampyrus
ENSMLUP00000008712	ENSMLUG00000009552	Myotis_lucifugus
ENSOARP00000010728	ENSOARG00000010002	Ovis_aries
ENSCHIP00000014841	ENSCHIG00000015701	Capra_hircus
ENSBMUP00000007644	ENSBMUG00000006004	Bos_mutus	ENSBMUT00000008939
ENSBTAP00000001496	ENSBTAG00000001125	Bos_taurus
ENSBBBP00000028512	ENSBBBG00000007853	Bison_bison_bison
ENSSSCP00000010297	ENSSSCG00000009645	Sus_scrofa_strain_reference
ENSTTRP00000010590	ENSTTRG00000011167	Tursiops_truncatus
ENSVPAP00000008262	ENSVPAG00000008882	Vicugna_pacos
ENSUMAP00000005945	ENSUMAG00000004698	Ursus_maritimus
ENSAMEP00000001679	ENSAMEG00000001578	Ailuropoda_melanoleuca
ENSNVIP00000005393	ENSNVIG00000004297	Neovison_vison
ENSMPUP00000003298	ENSMPUG00000003330	Mustela_putorius_furo
ENSVVUP00000006261	ENSVVUG00000004882	Vulpes_vulpes
ENSCAFP00000013336	ENSCAFG00000024869	Canis_lupus_familiaris
ENSPPRP00000013523	ENSPPRG00000006694	Panthera_pardus
ENSPTIP00000004822	ENSPTIG00000007220	Panthera_tigris_altaica
ENSFCAP00000003259	ENSFCAG00000003531	Felis_catus
ENSEASP00005027552	ENSEASG00005018757	Equus_asinus_asinus
ENSECAP00000033581	ENSECAG00000019922	Equus_caballus
ENSPTRP00000034391	ENSPTRG00000020085	Pan_troglodytes
ENSPPAP00000030092	ENSPPAG00000038047	Pan_paniscus
ENSP00000256412	ENSG00000134028	Homo_sapiens
ENSGGOP00000019620	ENSGGOG00000001215	Gorilla_gorilla
ENSPPYP00000020671	ENSPPYG00000018446	Pongo_abelii
ENSNLEP00000019423	ENSNLEG00000015990	Nomascus_leucogenys
ENSCANP00000007455	ENSCANG00000024484	Colobus_angolensis_palliatus
ENSPTEP00000028624	ENSPTEG00000028217	Piliocolobus_tephrosceles
ENSRBIP00000015934	ENSRBIG00000032045	Rhinopithecus_bieti
ENSRROP00000005794	ENSRROG00000023647	Rhinopithecus_roxellana
ENSMNEP00000006147	ENSMNEG00000027019	Macaca_nemestrina
ENSMFAP00000010394	ENSMFAG00000007172	Macaca_fascicularis
ENSMMUP00000007033	ENSMMUG00000005318	Macaca_mulatta
ENSCSAP00000012276	ENSCSAG00000016207	Chlorocebus_sabaeus
ENSMLEP00000016689	ENSMLEG00000032559	Mandrillus_leucophaeus
ENSCATP00000040896	ENSCATG00000043054	Cercocebus_atys
ENSTGEP00000001792	ENSTGEG00000001637	Theropithecus_gelada
ENSPANP00000003045	ENSPANG00000022045	Papio_anubis
ENSSBOP00000013308	ENSSBOG00000023422	Saimiri_boliviensis_boliviensis
ENSCCAP00000033669	ENSCCAG00000034847	Cebus_capucinus_imitator
ENSCJAP00000037317	ENSCJAG00000020062	Callithrix_jacchus
ENSANAP00000011618	ENSANAG00000023742	Aotus_nancymaae
ENSTSYP00000012094	ENSTSYG00000013182	Carlito_syrichta
ENSPSMP00000010004	ENSPSMG00000007297	Prolemur_simus
ENSMICP00000041984	ENSMICG00000047490	Microcebus_murinus
ENSTBEP00000009548	ENSTBEG00000011026	Tupaia_belangeri
ENSOCUP00000001373	ENSOCUG00000001597	Oryctolagus_cuniculus
ENSOPRP00000005732	ENSOPRG00000006247	Ochotona_princeps
ENSCCNP00000008411	ENSCCNG00000008897	Castor_canadensis
ENSDORP00000006824	ENSDORG00000007279	Dipodomys_ordii
ENSMUSP00000022641	ENSMUSG00000022057	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029012	ENSMSIG00000024360	Mus_spicilegus
MGP_SPRETEiJ_P0038970	MGP_SPRETEiJ_G0020347	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0037234	MGP_CAROLIEiJ_G0019455	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085331	MGP_PahariEiJ_G0030472	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000037152	ENSRNOG00000030724	Rattus_norvegicus
ENSMUGP00000019135	ENSMUGG00000016194	Meriones_unguiculatus
ENSCGRP00000008269	ENSCGRG00000006033	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010098	ENSCGRG00015007767	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011643	ENSCGRG00001013228	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000024156	ENSMAUG00000021097	Mesocricetus_auratus
ENSMOCP00000025341	ENSMOCG00000021493	Microtus_ochrogaster
ENSPEMP00000003205	ENSPEMG00000004402	Peromyscus_maniculatus_bairdii
ENSNGAP00000017844	ENSNGAG00000018142	Nannospalax_galili
ENSJJAP00000012182	ENSJJAG00000015285	Jaculus_jaculus
ENSCPOP00000032192	ENSCPOG00000038140	Cavia_porcellus
ENSCAPP00000014000	ENSCAPG00000014487	Cavia_aperea
ENSCLAP00000022416	ENSCLAG00000015375	Chinchilla_lanigera
ENSODEP00000010784	ENSODEG00000008034	Octodon_degus
ENSHGLP00000016602	ENSHGLG00000011872	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009307	ENSHGLG00100006897	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019740	ENSFDAG00000008936	Fukomys_damarensis
ENSUPAP00010021846	ENSUPAG00010017356	Urocitellus_parryii
ENSSTOP00000024646	ENSSTOG00000032677	Ictidomys_tridecemlineatus
ENSSDAP00000006711	ENSSDAG00000006166	Spermophilus_dauricus
ENSMMMP00000015621	ENSMMMG00000013904	Marmota_marmota_marmota
ENSOGAP00000013583	ENSOGAG00000015169	Otolemur_garnettii
ENSCHOP00000000240	ENSCHOG00000000274	Choloepus_hoffmanni
ENSDNOP00000009769	ENSDNOG00000012585	Dasypus_novemcinctus
ENSEEUP00000001970	ENSEEUG00000002159	Erinaceus_europaeus
ENSSARP00000004105	ENSSARG00000004517	Sorex_araneus
ENSVURP00010001476	ENSVURG00010001245	Vombatus_ursinus
ENSPCIP00000021752	ENSPCIG00000016489	Phascolarctos_cinereus
ENSMEUP00000013330	ENSMEUG00000014598	Notamacropus_eugenii
ENSSHAP00000014024	ENSSHAG00000011993	Sarcophilus_harrisii
ENSMODP00000020920	ENSMODG00000016762	Monodelphis_domestica
ENSOANP00000012755	ENSOANG00000008022	Ornithorhynchus_anatinus
ENSOANP00000022818	ENSOANG00000014476	Ornithorhynchus_anatinus
