ENSCAFP00020017837	ENSCAFG00020014236	Canis_lupus_dingo
ENSGAFP00000017709	ENSGAFG00000011985	Gambusia_affinis
ENSACIP00000023613	ENSACIG00000018334	Amphilophus_citrinellus
ENSSPAP00000009563	ENSSPAG00000007217	Stegastes_partitus
ENSNBRP00000004934	ENSNBRG00000003868	Neolamprologus_brichardi
ENSMLUP00000014891	ENSMLUG00000016325	Myotis_lucifugus
ENSMICP00000025362	ENSMICG00000016162	Microcebus_murinus
ENSCSAP00000007875	ENSCSAG00000011929	Chlorocebus_sabaeus
ENSLAFP00000013689	ENSLAFG00000016300	Loxodonta_africana
ENSGAGP00000004645	ENSGAGG00000003832	Gopherus_agassizii
ENSLBEP00000034506	ENSLBEG00000025938	Labrus_bergylta
ENSSPUP00000007119	ENSSPUG00000005504	Sphenodon_punctatus
ENSSLDP00000009113	ENSSLDG00000007216	Seriola_lalandi_dorsalis
ENSPPRP00000013692	ENSPPRG00000007247	Panthera_pardus
ENSFALP00000004125	ENSFALG00000003939	Ficedula_albicollis
ENSMALP00000021594	ENSMALG00000015100	Monopterus_albus	ENSMALT00000022013
ENSFHEP00000018759	ENSFHEG00000020642	Fundulus_heteroclitus
ENSMMMP00000027396	ENSMMMG00000023859	Marmota_marmota_marmota
ENSAPLP00000031429	ENSAPLG00000003146	Anas_platyrhynchos_platyrhynchos
ENSTNIP00000015078	ENSTNIG00000012115	Tetraodon_nigroviridis
ENSCPGP00000010467	ENSCPGG00000007456	Calidris_pygmaea
ENSEASP00005027163	ENSEASG00005018506	Equus_asinus_asinus
ENSECRP00000004552	ENSECRG00000003091	Erpetoichthys_calabaricus
ENSMAUP00000003673	ENSMAUG00000004175	Mesocricetus_auratus
ENSAPEP00000007192	ENSAPEG00000005154	Amphiprion_percula
ENSACIP00000005812	ENSACIG00000004553	Amphilophus_citrinellus
ENSGMOP00000020052	ENSGMOG00000018595	Gadus_morhua
ENSSMAP00000000695	ENSSMAG00000000437	Scophthalmus_maximus	ENSSMAT00000000714
ENSMLEP00000036987	ENSMLEG00000042549	Mandrillus_leucophaeus
ENSMAUP00000014864	ENSMAUG00000014503	Mesocricetus_auratus
ENSCATP00000039939	ENSCATG00000042502	Cercocebus_atys
ENSUPAP00010008306	ENSUPAG00010005417	Urocitellus_parryii
ENSCPRP00005024911	ENSCPRG00005017135	Crocodylus_porosus
ENSCSEP00000008793	ENSCSEG00000005631	Cynoglossus_semilaevis
ENSLCAP00010017602	ENSLCAG00010008360	Lates_calcarifer
ENSEBUP00000006760	ENSEBUG00000004440	Eptatretus_burgeri
ENSPMEP00000021272	ENSPMEG00000001337	Poecilia_mexicana
ENSAOCP00000025096	ENSAOCG00000012426	Amphiprion_ocellaris
ENSBMUP00000010517	ENSBMUG00000008126	Bos_mutus
ENSTRUP00000042154	ENSTRUG00000016493	Takifugu_rubripes	ENSTRUT00000042298
ENSPEMP00000036202	ENSPEMG00000030731	Peromyscus_maniculatus_bairdii
ENSCHAP00000036762	ENSCHAG00000017359	Clupea_harengus
ENSPPYP00000023617	ENSPPYG00000004136	Pongo_abelii
