ENSPANP00000040632	ENSPANG00000029432	Papio_anubis	ENSPANT00000057831
ENSMLEP00000022234	ENSMLEG00000035336	Mandrillus_leucophaeus	ENSMLET00000045741
ENSMFAP00000024792	ENSMFAG00000043952	Macaca_fascicularis	ENSMFAT00000032936
ENSMMUP00000076613	ENSMMUG00000057623	Macaca_mulatta	ENSMMUT00000109415
ENSTGEP00000029714	ENSTGEG00000023886	Theropithecus_gelada	ENSTGET00000035361
ENSCSAP00000002336	ENSCSAG00000006041	Chlorocebus_sabaeus	ENSCSAT00000004077
ENSCATP00000036902	ENSCATG00000041221	Cercocebus_atys	ENSCATT00000061197
ENSRBIP00000037378	ENSRBIG00000042272	Rhinopithecus_bieti	ENSRBIT00000061391
ENSRROP00000012161	ENSRROG00000030392	Rhinopithecus_roxellana	ENSRROT00000036277
ENSNLEP00000037765	ENSNLEG00000032222	Nomascus_leucogenys	ENSNLET00000039634
ENSPTRP00000022397	ENSPTRG00000013089	Pan_troglodytes	ENSPTRT00000024276
