ENSSFOP00015032203	ENSSFOG00015020589	Scleropages_formosus	ENSSFOT00015032561
ENSSFOP00015032151	ENSSFOG00015020566	Scleropages_formosus	ENSSFOT00015032509
ENSPKIP00000037655	ENSPKIG00000015733	Paramormyrops_kingsleyae	ENSPKIT00000018628
ENSHHUP00000006517	ENSHHUG00000003962	Hucho_hucho
ENSELUP00000027818	ENSELUG00000004192	Esox_lucius
ENSSDUP00000032219	ENSSDUG00000023151	Seriola_dumerili
ENSSLDP00000028561	ENSSLDG00000022064	Seriola_lalandi_dorsalis
ENSSMAP00000025686	ENSSMAG00000015736	Scophthalmus_maximus
ENSLCAP00010032869	ENSLCAG00010015491	Lates_calcarifer
ENSMAMP00000019470	ENSMAMG00000013026	Mastacembelus_armatus
ENSMALP00000026841	ENSMALG00000018620	Monopterus_albus
ENSATEP00000020445	ENSATEG00000014246	Anabas_testudineus
ENSBSLP00000038629	ENSBSLG00000018576	Betta_splendens
ENSTRUP00000000970	ENSTRUG00000000413	Takifugu_rubripes
ENSTRUP00000024523	ENSTRUG00000009765	Takifugu_rubripes
ENSTNIP00000010475	ENSTNIG00000007660	Tetraodon_nigroviridis
ENSMMOP00000022610	ENSMMOG00000017187	Mola_mola
ENSLCRP00005047394	ENSLCRG00005017952	Larimichthys_crocea
ENSCGOP00000046922	ENSCGOG00000021017	Cottoperca_gobio
ENSCGOP00000047036	ENSCGOG00000021112	Cottoperca_gobio
ENSGACP00000027657	ENSGACG00000020917	Gasterosteus_aculeatus
ENSLBEP00000024107	ENSLBEG00000018417	Labrus_bergylta
ENSLBEP00000020132	ENSLBEG00000015438	Labrus_bergylta
ENSHBUP00000003318	ENSHBUG00000004584	Haplochromis_burtoni
ENSMZEP00005033409	ENSMZEG00005024941	Maylandia_zebra
ENSPNYP00000004637	ENSPNYG00000003534	Pundamilia_nyererei
ENSACLP00000002047	ENSACLG00000001429	Astatotilapia_calliptera
ENSNBRP00000031399	ENSNBRG00000023727	Neolamprologus_brichardi
ENSONIP00000022439	ENSONIG00000017801	Oreochromis_niloticus
ENSACIP00000025663	ENSACIG00000019852	Amphilophus_citrinellus
ENSPRNP00000004868	ENSPRNG00000002649	Parambassis_ranga
ENSAOCP00000029971	ENSAOCG00000020627	Amphiprion_ocellaris
ENSAPEP00000004066	ENSAPEG00000002843	Amphiprion_percula
ENSAPOP00000008630	ENSAPOG00000010789	Acanthochromis_polyacanthus
ENSSPAP00000004867	ENSSPAG00000003783	Stegastes_partitus
ENSPMEP00000034651	ENSPMEG00000024053	Poecilia_mexicana
ENSPLAP00000020092	ENSPLAG00000002740	Poecilia_latipinna
ENSPFOP00000018836	ENSPFOG00000018699	Poecilia_formosa
ENSPREP00000005923	ENSPREG00000004124	Poecilia_reticulata
ENSXMAP00000006325	ENSXMAG00000006254	Xiphophorus_maculatus
ENSXCOP00000024111	ENSXCOG00000017994	Xiphophorus_couchianus
ENSGAFP00000032699	ENSGAFG00000022022	Gambusia_affinis
ENSFHEP00000022928	ENSFHEG00000003628	Fundulus_heteroclitus
ENSCVAP00000012050	ENSCVAG00000014433	Cyprinodon_variegatus
ENSKMAP00000002376	ENSKMAG00000001842	Kryptolebias_marmoratus
ENSORLP00000015952	ENSORLG00000012734	Oryzias_latipes_ASM223467v1
ENSORLP00015019983	ENSORLG00015021067	Oryzias_latipes_ASM223469v1
ENSORLP00020029884	ENSORLG00020014070	Oryzias_latipes_ASM223471v1
ENSOMEP00000028925	ENSOMEG00000012246	Oryzias_melastigma
ENSCSEP00000031840	ENSCSEG00000020410	Cynoglossus_semilaevis
ENSGWIP00000008144	ENSGWIG00000004782	Gouania_willdenowi
ENSHCOP00000006761	ENSHCOG00000008609	Hippocampus_comes
ENSPMGP00000004065	ENSPMGG00000003474	Periophthalmus_magnuspinnatus
ENSPMGP00000004062	ENSPMGG00000003468	Periophthalmus_magnuspinnatus
ENSGMOP00000002548	ENSGMOG00000002396	Gadus_morhua
ENSCHAP00000002093	ENSCHAG00000001210	Clupea_harengus
ENSCHAP00000003089	ENSCHAG00000001631	Clupea_harengus
ENSDCDP00000062759	ENSDCDG00000035468	Denticeps_clupeoides
ENSAMXP00000000845	ENSAMXG00000000830	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005002244	ENSAMXG00005001170	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000032839	ENSPNAG00000021033	Pygocentrus_nattereri
ENSEEEP00000028490	ENSEEEG00000013690	Electrophorus_electricus
ENSIPUP00000028074	ENSIPUG00000019012	Ictalurus_punctatus
ENSDARP00000044598	ENSDARG00000019713	Danio_rerio
ENSLOCP00000002412	ENSLOCG00000002079	Lepisosteus_oculatus
