ENSBBBP00000000366	ENSBBBG00000001535	Bison_bison_bison
ENSTTRP00000005264	ENSTTRG00000005580	Tursiops_truncatus
ENSPCAP00000012405	ENSPCAG00000013290	Procavia_capensis
ENSETEP00000014424	ENSETEG00000017756	Echinops_telfairi	ENSETET00000017754
ENSOPRP00000002845	ENSOPRG00000003070	Ochotona_princeps
ENSPVAP00000013367	ENSPVAG00000014185	Pteropus_vampyrus	ENSPVAT00000014185
ENSDNOP00000025150	ENSDNOG00000032075	Dasypus_novemcinctus
ENSCATP00000009294	ENSCATG00000028336	Cercocebus_atys
ENSMNEP00000043872	ENSMNEG00000044561	Macaca_nemestrina
ENSPPYP00000001709	ENSPPYG00000001477	Pongo_abelii
ENSUAMP00000030435	ENSUAMG00000023369	Ursus_americanus
ENSAMEP00000000556	ENSAMEG00000000537	Ailuropoda_melanoleuca
ENSNVIP00000020472	ENSNVIG00000016035	Neovison_vison
ENSVVUP00000002664	ENSVVUG00000002106	Vulpes_vulpes
ENSMEUP00000009075	ENSMEUG00000009927	Notamacropus_eugenii
ENSPCOP00000006893	ENSPCOG00000014648	Propithecus_coquereli
ENSMICP00000038052	ENSMICG00000032013	Microcebus_murinus
ENSPSMP00000018296	ENSPSMG00000012982	Prolemur_simus
ENSOGAP00000022565	ENSOGAG00000028037	Otolemur_garnettii
ENSP00000493184	ENSG00000204060	Homo_sapiens
ENSGGOP00000023936	ENSGGOG00000026271	Gorilla_gorilla
ENSPTRP00000087614	ENSPTRG00000047442	Pan_troglodytes
ENSRROP00000034549	ENSRROG00000040824	Rhinopithecus_roxellana
ENSRBIP00000006705	ENSRBIG00000026900	Rhinopithecus_bieti
ENSPTEP00000031874	ENSPTEG00000030731	Piliocolobus_tephrosceles
ENSMMUP00000041442	ENSMMUG00000044175	Macaca_mulatta
ENSMFAP00000019640	ENSMFAG00000032820	Macaca_fascicularis
ENSPANP00000011636	ENSPANG00000000435	Papio_anubis
ENSCSAP00000016857	ENSCSAG00000001157	Chlorocebus_sabaeus
ENSTGEP00000031070	ENSTGEG00000024895	Theropithecus_gelada
ENSSBOP00000010851	ENSSBOG00000022251	Saimiri_boliviensis_boliviensis
ENSCJAP00000061463	ENSCJAG00000047939	Callithrix_jacchus
ENSCCAP00000038840	ENSCCAG00000037266	Cebus_capucinus_imitator
ENSANAP00000039396	ENSANAG00000037110	Aotus_nancymaae
MGP_SPRETEiJ_P0066647	MGP_SPRETEiJ_G0027385	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000011946	ENSMSIG00000010418	Mus_spicilegus
ENSMUSP00000099716	ENSMUSG00000052135	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0064153	MGP_CAROLIEiJ_G0026408	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0079244	MGP_PahariEiJ_G0028737	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000051244	ENSRNOG00000032639	Rattus_norvegicus
ENSMUGP00000032027	ENSMUGG00000026636	Meriones_unguiculatus
ENSCGRP00015003928	ENSCGRG00015003105	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021561	ENSCGRG00001020370	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000023796	ENSMAUG00000020845	Mesocricetus_auratus
ENSMOCP00000007855	ENSMOCG00000007735	Microtus_ochrogaster
ENSPEMP00000036543	ENSPEMG00000026784	Peromyscus_maniculatus_bairdii
ENSNGAP00000009918	ENSNGAG00000012477	Nannospalax_galili
ENSJJAP00000014518	ENSJJAG00000016967	Jaculus_jaculus
ENSCCNP00000022804	ENSCCNG00000022441	Castor_canadensis
ENSDORP00000023216	ENSDORG00000024053	Dipodomys_ordii
ENSUPAP00010011062	ENSUPAG00010008964	Urocitellus_parryii
ENSSTOP00000017635	ENSSTOG00000026753	Ictidomys_tridecemlineatus
ENSCLAP00000003094	ENSCLAG00000002214	Chinchilla_lanigera
ENSCPOP00000014712	ENSCPOG00000022256	Cavia_porcellus
ENSODEP00000002524	ENSODEG00000001967	Octodon_degus
ENSHGLP00000004756	ENSHGLG00000003494	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023401	ENSHGLG00100017200	Heterocephalus_glaber_HetGla_1.0
ENSMPUP00000013974	ENSMPUG00000014082	Mustela_putorius_furo
ENSCAFP00020003598	ENSCAFG00020003018	Canis_lupus_dingo
ENSPPRP00000009879	ENSPPRG00000004188	Panthera_pardus
ENSFCAP00000049848	ENSFCAG00000042868	Felis_catus
ENSEASP00005001421	ENSEASG00005001171	Equus_asinus_asinus
ENSECAP00000001696	ENSECAG00000002551	Equus_caballus
ENSCHIP00000019010	ENSCHIG00000018218	Capra_hircus
ENSOARP00000021861	ENSOARG00000020357	Ovis_aries
ENSBIXP00000022716	ENSBIXG00000025506	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001087	ENSBIXG00005029508	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000033192	ENSBTAG00000024115	Bos_taurus
ENSSSCP00000043014	ENSSSCG00000035074	Sus_scrofa_strain_reference
ENSVURP00010025760	ENSVURG00010019728	Vombatus_ursinus	ENSVURT00010029335
ENSPCIP00000039055	ENSPCIG00000028688	Phascolarctos_cinereus	ENSPCIT00000048104
ENSMODP00000021633	ENSMODG00000017333	Monodelphis_domestica	ENSMODT00000022010
ENSSHAP00000004156	ENSSHAG00000003662	Sarcophilus_harrisii	ENSSHAT00000004197
ENSAHAP00000014787	ENSAHAG00000010646	Apteryx_haastii
ENSAOWP00000022880	ENSAOWG00000015451	Apteryx_owenii
ENSARWP00000003214	ENSARWG00000002402	Apteryx_rowi
ENSDNVP00000008429	ENSDNVG00000005989	Dromaius_novaehollandiae
ENSNPEP00000007129	ENSNPEG00000005350	Nothoprocta_perdicaria
ENSGALP00000041822	ENSGALG00000026153	Gallus_gallus
ENSCJPP00005019086	ENSCJPG00005015500	Coturnix_japonica
ENSAPLP00000025403	ENSAPLG00000017296	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000010098	ENSLCOG00000007341	Lepidothrix_coronata
ENSMVIP00005027703	ENSMVIG00005019306	Manacus_vitellinus
ENSFALP00000001183	ENSFALG00000001139	Ficedula_albicollis
ENSCCEP00000013569	ENSCCEG00000013040	Cyanistes_caeruleus
ENSPMJP00000008848	ENSPMJG00000007153	Parus_major
ENSLSDP00000020629	ENSLSDG00000014608	Lonchura_striata_domestica
ENSZALP00000005500	ENSZALG00000005135	Zonotrichia_albicollis
ENSJHYP00000005794	ENSJHYG00000004710	Junco_hyemalis
ENSSCAP00000020410	ENSSCAG00000014703	Serinus_canaria
ENSABRP00000010121	ENSABRG00000009066	Anser_brachyrhynchus
ENSNMEP00000003090	ENSNMEG00000003674	Numida_meleagris
ENSMUNP00000021774	ENSMUNG00000016401	Melopsittacus_undulatus
ENSCPGP00000002980	ENSCPGG00000002209	Calidris_pygmaea
ENSCPUP00000020722	ENSCPUG00000014172	Calidris_pugnax
