FBpp0075609	FBgn0036334	Drosophila_melanogaster	FBtr0075875
FBpp0082377	FBgn0038200	Drosophila_melanogaster	FBtr0082917
Y22D7AL.10.2	WBGene00021248	Caenorhabditis_elegans_strain_N2	Y22D7AL.10.2
ENSPKIP00000013142	ENSPKIG00000000682	Paramormyrops_kingsleyae
ENSSFOP00015017273	ENSSFOG00015011130	Scleropages_formosus
ENSELUP00000004773	ENSELUG00000005886	Esox_lucius
ENSDCDP00000014496	ENSDCDG00000010770	Denticeps_clupeoides
ENSSFOP00015033622	ENSSFOG00015021461	Scleropages_formosus	ENSSFOT00015034000
ENSLOCP00000004719	ENSLOCG00000003954	Lepisosteus_oculatus
ENSPFOP00000000048	ENSPFOG00000000051	Poecilia_formosa
ENSPMEP00000033063	ENSPMEG00000021360	Poecilia_mexicana
ENSPLAP00000019723	ENSPLAG00000002082	Poecilia_latipinna
ENSPREP00000028967	ENSPREG00000019607	Poecilia_reticulata
ENSXCOP00000023917	ENSXCOG00000017857	Xiphophorus_couchianus
ENSXMAP00000041325	ENSXMAG00000005889	Xiphophorus_maculatus
ENSGAFP00000027081	ENSGAFG00000018296	Gambusia_affinis
ENSFHEP00000012603	ENSFHEG00000014077	Fundulus_heteroclitus
ENSCVAP00000002499	ENSCVAG00000003605	Cyprinodon_variegatus
ENSORLP00015033407	ENSORLG00015018753	Oryzias_latipes_ASM223469v1
ENSORLP00015001247	ENSORLG00015001846	Oryzias_latipes_ASM223469v1
ENSORLP00000025855	ENSORLG00000020879	Oryzias_latipes_ASM223467v1
ENSORLP00020021820	ENSORLG00020001793	Oryzias_latipes_ASM223471v1
ENSOMEP00000017605	ENSOMEG00000019298	Oryzias_melastigma
ENSGWIP00000018770	ENSGWIG00000010324	Gouania_willdenowi
ENSCSEP00000006025	ENSCSEG00000003885	Cynoglossus_semilaevis
ENSATEP00000029491	ENSATEG00000020349	Anabas_testudineus
ENSATEP00000029545	ENSATEG00000020396	Anabas_testudineus
ENSMAMP00000015324	ENSMAMG00000010406	Mastacembelus_armatus
ENSTNIP00000014482	ENSTNIG00000011532	Tetraodon_nigroviridis
ENSTRUP00000053903	ENSTRUG00000015632	Takifugu_rubripes
ENSMMOP00000000586	ENSMMOG00000000502	Mola_mola
ENSHBUP00000025668	ENSHBUG00000007801	Haplochromis_burtoni
ENSACLP00000034940	ENSACLG00000023654	Astatotilapia_calliptera
ENSPNYP00000019933	ENSPNYG00000015091	Pundamilia_nyererei
ENSMZEP00005028535	ENSMZEG00005021282	Maylandia_zebra
ENSNBRP00000020734	ENSNBRG00000015941	Neolamprologus_brichardi
ENSONIP00000017320	ENSONIG00000013770	Oreochromis_niloticus
ENSACIP00000025980	ENSACIG00000020132	Amphilophus_citrinellus
ENSSDUP00000024083	ENSSDUG00000017512	Seriola_dumerili
ENSSLDP00000025198	ENSSLDG00000019614	Seriola_lalandi_dorsalis
ENSLCAP00010017659	ENSLCAG00010008372	Lates_calcarifer
ENSLBEP00000029172	ENSLBEG00000022097	Labrus_bergylta
ENSGACP00000011889	ENSGACG00000008995	Gasterosteus_aculeatus
ENSLCRP00005043195	ENSLCRG00005016580	Larimichthys_crocea
ENSKMAP00000004973	ENSKMAG00000003769	Kryptolebias_marmoratus
ENSBSLP00000051939	ENSBSLG00000024590	Betta_splendens
ENSAOCP00000001396	ENSAOCG00000004377	Amphiprion_ocellaris
ENSAPEP00000018311	ENSAPEG00000013089	Amphiprion_percula
ENSAPOP00000014053	ENSAPOG00000017093	Acanthochromis_polyacanthus
ENSSPAP00000013710	ENSSPAG00000010377	Stegastes_partitus
ENSPRNP00000026060	ENSPRNG00000013113	Parambassis_ranga
ENSSMAP00000023023	ENSSMAG00000014037	Scophthalmus_maximus
ENSHCOP00000011495	ENSHCOG00000014327	Hippocampus_comes
ENSPMGP00000005140	ENSPMGG00000004321	Periophthalmus_magnuspinnatus
ENSMALP00000024607	ENSMALG00000017115	Monopterus_albus
ENSGMOP00000007237	ENSGMOG00000006808	Gadus_morhua
ENSAMXP00000002247	ENSAMXG00000002204	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001554	ENSAMXG00005000896	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023735	ENSPNAG00000008255	Pygocentrus_nattereri
ENSEEEP00000040686	ENSEEEG00000019271	Electrophorus_electricus
ENSIPUP00000019265	ENSIPUG00000013031	Ictalurus_punctatus
ENSDARP00000108249	ENSDARG00000056167	Danio_rerio
ENSCHAP00000043471	ENSCHAG00000020182	Clupea_harengus
ENSECRP00000027512	ENSECRG00000018629	Erpetoichthys_calabaricus
ENSECRP00000007409	ENSECRG00000004951	Erpetoichthys_calabaricus
ENSGALP00000064174	ENSGALG00000009070	Gallus_gallus
ENSCJPP00005004239	ENSCJPG00005004256	Coturnix_japonica
ENSMGAP00000007203	ENSMGAG00000007107	Meleagris_gallopavo
ENSNMEP00000000095	ENSNMEG00000000147	Numida_meleagris
ENSABRP00000009186	ENSABRG00000008221	Anser_brachyrhynchus
