FBpp0079819	FBgn0283682	Drosophila_melanogaster	FBtr0080232
Y44E3A.6b.1	WBGene00021551	Caenorhabditis_elegans_strain_N2	Y44E3A.6b.1
ENSLSDP00000022299	ENSLSDG00000015751	Lonchura_striata_domestica
ENSTGUP00000005492	ENSTGUG00000005312	Taeniopygia_guttata
ENSSCAP00000007863	ENSSCAG00000006037	Serinus_canaria
ENSPMJP00000018845	ENSPMJG00000014136	Parus_major
ENSCCEP00000008254	ENSCCEG00000008551	Cyanistes_caeruleus
ENSFALP00000007365	ENSFALG00000007060	Ficedula_albicollis
ENSZALP00000015623	ENSZALG00000012777	Zonotrichia_albicollis
ENSJHYP00000002669	ENSJHYG00000002236	Junco_hyemalis
ENSLCOP00000021845	ENSLCOG00000015432	Lepidothrix_coronata
ENSMVIP00005017153	ENSMVIG00005011897	Manacus_vitellinus
ENSCPUP00000015072	ENSCPUG00000010508	Calidris_pugnax
ENSCPGP00000027507	ENSCPGG00000018965	Calidris_pygmaea
ENSMUNP00000000149	ENSMUNG00000000176	Melopsittacus_undulatus
ENSAPLP00000008995	ENSAPLG00000009238	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006470	ENSABRG00000004784	Anser_brachyrhynchus
ENSGALP00000046592	ENSGALG00000040875	Gallus_gallus
ENSCJPP00005014315	ENSCJPG00005011956	Coturnix_japonica
ENSMGAP00000002308	ENSMGAG00000002644	Meleagris_gallopavo
ENSNMEP00000014628	ENSNMEG00000013098	Numida_meleagris
ENSAOWP00000026037	ENSAOWG00000017565	Apteryx_owenii
ENSAHAP00000010062	ENSAHAG00000007298	Apteryx_haastii
ENSARWP00000027289	ENSARWG00000018437	Apteryx_rowi
ENSDNVP00000024608	ENSDNVG00000017075	Dromaius_novaehollandiae
ENSNPEP00000010552	ENSNPEG00000007873	Nothoprocta_perdicaria
ENSCPRP00005022683	ENSCPRG00005015510	Crocodylus_porosus
ENSGAGP00000029848	ENSGAGG00000021550	Gopherus_agassizii
ENSCABP00000005259	ENSCABG00000003958	Chelonoidis_abingdonii
ENSCPBP00000022108	ENSCPBG00000015685	Chrysemys_picta_bellii
ENSPSIP00000010196	ENSPSIG00000009211	Pelodiscus_sinensis
ENSSPUP00000005702	ENSSPUG00000004411	Sphenodon_punctatus
ENSACAP00000001612	ENSACAG00000001561	Anolis_carolinensis
ENSPVIP00000032982	ENSPVIG00000024144	Pogona_vitticeps
ENSNSUP00000012674	ENSNSUG00000009493	Notechis_scutatus
ENSSMRP00000013454	ENSSMRG00000008780	Salvator_merianae
ENSVURP00010027949	ENSVURG00010021391	Vombatus_ursinus
ENSPCIP00000038090	ENSPCIG00000028045	Phascolarctos_cinereus
ENSMEUP00000009047	ENSMEUG00000009889	Notamacropus_eugenii
ENSSHAP00000007239	ENSSHAG00000006291	Sarcophilus_harrisii
ENSMODP00000006820	ENSMODG00000005510	Monodelphis_domestica
ENSPTRP00000042027	ENSPTRG00000008249	Pan_troglodytes
ENSPPAP00000019174	ENSPPAG00000032697	Pan_paniscus
ENSP00000351811	ENSG00000038358	Homo_sapiens
ENSGGOP00000013531	ENSGGOG00000013857	Gorilla_gorilla
ENSPPYP00000008440	ENSPPYG00000007473	Pongo_abelii
ENSNLEP00000006052	ENSNLEG00000004932	Nomascus_leucogenys
ENSPTEP00000013543	ENSPTEG00000015168	Piliocolobus_tephrosceles
ENSCANP00000035929	ENSCANG00000041624	Colobus_angolensis_palliatus
ENSRBIP00000022712	ENSRBIG00000035244	Rhinopithecus_bieti
ENSRROP00000020746	ENSRROG00000034303	Rhinopithecus_roxellana
ENSCATP00000043729	ENSCATG00000044352	Cercocebus_atys
ENSMLEP00000021770	ENSMLEG00000035003	Mandrillus_leucophaeus
ENSPANP00000010247	ENSPANG00000015094	Papio_anubis
ENSTGEP00000008434	ENSTGEG00000006898	Theropithecus_gelada
ENSMFAP00000014892	ENSMFAG00000030369	Macaca_fascicularis
ENSMMUP00000015608	ENSMMUG00000011888	Macaca_mulatta
ENSMNEP00000039714	ENSMNEG00000042691	Macaca_nemestrina
ENSCSAP00000000322	ENSCSAG00000003964	Chlorocebus_sabaeus
ENSSBOP00000016675	ENSSBOG00000024991	Saimiri_boliviensis_boliviensis
ENSCCAP00000029956	ENSCCAG00000032888	Cebus_capucinus_imitator
ENSCJAP00000029465	ENSCJAG00000015963	Callithrix_jacchus
ENSANAP00000021341	ENSANAG00000028400	Aotus_nancymaae
ENSTSYP00000009849	ENSTSYG00000010741	Carlito_syrichta
ENSPSMP00000014260	ENSPSMG00000010199	Prolemur_simus
ENSMICP00000011167	ENSMICG00000012262	Microcebus_murinus
ENSPCOP00000016627	ENSPCOG00000020076	Propithecus_coquereli
ENSOGAP00000013954	ENSOGAG00000015571	Otolemur_garnettii
ENSTBEP00000008191	ENSTBEG00000009461	Tupaia_belangeri
ENSHGLP00000023602	ENSHGLG00000016833	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020927	ENSHGLG00100015428	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022135	ENSFDAG00000007205	Fukomys_damarensis
ENSCLAP00000005088	ENSCLAG00000003614	Chinchilla_lanigera
ENSODEP00000021942	ENSODEG00000016124	Octodon_degus
ENSCPOP00000024521	ENSCPOG00000019484	Cavia_porcellus
ENSCAPP00000009825	ENSCAPG00000011229	Cavia_aperea
ENSSTOP00000002619	ENSSTOG00000002888	Ictidomys_tridecemlineatus
ENSSDAP00000019680	ENSSDAG00000017877	Spermophilus_dauricus
ENSUPAP00010000628	ENSUPAG00010000508	Urocitellus_parryii
ENSMMMP00000016600	ENSMMMG00000014739	Marmota_marmota_marmota
ENSCCNP00000014631	ENSCCNG00000015081	Castor_canadensis
ENSDORP00000010058	ENSDORG00000010702	Dipodomys_ordii
ENSMSIP00000006849	ENSMSIG00000006093	Mus_spicilegus
MGP_SPRETEiJ_P0089346	MGP_SPRETEiJ_G0032618	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000039134	ENSMUSG00000036270	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085847	MGP_CAROLIEiJ_G0031500	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054100	MGP_PahariEiJ_G0023100	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006345	ENSRNOG00000024025	Rattus_norvegicus
ENSMUGP00000020108	ENSMUGG00000016938	Meriones_unguiculatus
ENSMOCP00000024773	ENSMOCG00000021073	Microtus_ochrogaster
ENSPEMP00000003629	ENSPEMG00000004965	Peromyscus_maniculatus_bairdii
ENSCGRP00001006676	ENSCGRG00001009023	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010568	ENSCGRG00015008036	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022863	ENSCGRG00000016566	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022934	ENSMAUG00000020196	Mesocricetus_auratus
ENSNGAP00000006471	ENSNGAG00000009549	Nannospalax_galili
ENSJJAP00000004697	ENSJJAG00000009673	Jaculus_jaculus
ENSOCUP00000005482	ENSOCUG00000006327	Oryctolagus_cuniculus
ENSOPRP00000012550	ENSOPRG00000013735	Ochotona_princeps
ENSUMAP00000026891	ENSUMAG00000019571	Ursus_maritimus
ENSUAMP00000027120	ENSUAMG00000020778	Ursus_americanus
ENSAMEP00000018559	ENSAMEG00000017551	Ailuropoda_melanoleuca
ENSMPUP00000006715	ENSMPUG00000006769	Mustela_putorius_furo
ENSNVIP00000011717	ENSNVIG00000009265	Neovison_vison
ENSCAFP00020023456	ENSCAFG00020018504	Canis_lupus_dingo
ENSCAFP00000054087	ENSCAFG00000020337	Canis_lupus_familiaris
ENSVVUP00000017152	ENSVVUG00000012642	Vulpes_vulpes
ENSPTIP00000023386	ENSPTIG00000019864	Panthera_tigris_altaica
ENSPPRP00000024673	ENSPPRG00000014871	Panthera_pardus
ENSFCAP00000011918	ENSFCAG00000012851	Felis_catus
ENSECAP00000009160	ENSECAG00000010812	Equus_caballus
ENSEASP00005020632	ENSEASG00005013007	Equus_asinus_asinus
ENSBIXP00000032963	ENSBIXG00000015665	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040357	ENSBIXG00005023065	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064230	ENSBTAG00000006417	Bos_taurus
ENSBMUP00000003857	ENSBMUG00000003019	Bos_mutus
ENSBBBP00000021803	ENSBBBG00000015422	Bison_bison_bison
ENSCHIP00000017247	ENSCHIG00000017119	Capra_hircus
ENSOARP00000003437	ENSOARG00000003220	Ovis_aries
ENSTTRP00000008774	ENSTTRG00000009252	Tursiops_truncatus
ENSVPAP00000004106	ENSVPAG00000004419	Vicugna_pacos
ENSSSCP00000002990	ENSSSCG00000002771	Sus_scrofa_strain_reference
ENSSARP00000006825	ENSSARG00000007477	Sorex_araneus
ENSEEUP00000003220	ENSEEUG00000003492	Erinaceus_europaeus
ENSPVAP00000015673	ENSPVAG00000016606	Pteropus_vampyrus
