ENSPCIP00000021629	ENSPCIG00000006302	Phascolarctos_cinereus	ENSPCIT00000026682
ENSVURP00010017812	ENSVURG00010013487	Vombatus_ursinus	ENSVURT00010020233
ENSMEUP00000002994	ENSMEUG00000003261	Notamacropus_eugenii	ENSMEUT00000003289
ENSMODP00000057888	ENSMODG00000016273	Monodelphis_domestica	ENSMODT00000053495
ENSSHAP00000020686	ENSSHAG00000017542	Sarcophilus_harrisii	ENSSHAT00000020851
ENSPTRP00000026830	ENSPTRG00000015590	Pan_troglodytes	ENSPTRT00000029076
ENSPPAP00000009903	ENSPPAG00000028177	Pan_paniscus	ENSPPAT00000032550
ENSP00000264382	ENSG00000090402	Homo_sapiens	ENST00000264382
ENSGGOP00000025059	ENSGGOG00000027385	Gorilla_gorilla
ENSPPYP00000015950	ENSPPYG00000014268	Pongo_abelii
ENSNLEP00000005845	ENSNLEG00000004698	Nomascus_leucogenys
ENSMLEP00000007239	ENSMLEG00000027587	Mandrillus_leucophaeus
ENSCATP00000007898	ENSCATG00000023252	Cercocebus_atys
ENSTGEP00000000837	ENSTGEG00000000790	Theropithecus_gelada
ENSPANP00000008786	ENSPANG00000012869	Papio_anubis
ENSMFAP00000008070	ENSMFAG00000039069	Macaca_fascicularis
ENSMMUP00000001743	ENSMMUG00000001302	Macaca_mulatta
ENSMNEP00000020147	ENSMNEG00000033888	Macaca_nemestrina
ENSCSAP00000008557	ENSCSAG00000012376	Chlorocebus_sabaeus
ENSPTEP00000022001	ENSPTEG00000022963	Piliocolobus_tephrosceles
ENSCANP00000000057	ENSCANG00000000057	Colobus_angolensis_palliatus
ENSRBIP00000002290	ENSRBIG00000011221	Rhinopithecus_bieti
ENSRROP00000041352	ENSRROG00000043876	Rhinopithecus_roxellana
ENSCCAP00000007850	ENSCCAG00000021642	Cebus_capucinus_imitator
ENSSBOP00000018757	ENSSBOG00000025982	Saimiri_boliviensis_boliviensis
ENSCJAP00000005224	ENSCJAG00000002837	Callithrix_jacchus
ENSANAP00000026618	ENSANAG00000031042	Aotus_nancymaae
ENSTSYP00000004575	ENSTSYG00000004998	Carlito_syrichta
ENSMICP00000050595	ENSMICG00000049323	Microcebus_murinus
ENSPSMP00000011414	ENSPSMG00000008235	Prolemur_simus
ENSOGAP00000018739	ENSOGAG00000000040	Otolemur_garnettii
ENSCGRP00015032131	ENSCGRG00015024174	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013077	ENSCGRG00001014296	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011214	ENSCGRG00000008168	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010750	ENSMAUG00000011416	Mesocricetus_auratus
ENSPEMP00000025213	ENSPEMG00000021707	Peromyscus_maniculatus_bairdii
ENSMOCP00000023452	ENSMOCG00000020139	Microtus_ochrogaster
ENSMSIP00000028953	ENSMSIG00000024177	Mus_spicilegus
ENSMUSP00000129116	ENSMUSG00000027790	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0060320	MGP_SPRETEiJ_G0026014	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0058005	MGP_CAROLIEiJ_G0025072	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0068968	MGP_PahariEiJ_G0026515	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000045106	ENSRNOG00000031067	Rattus_norvegicus
ENSMUGP00000026526	ENSMUGG00000022043	Meriones_unguiculatus
ENSNGAP00000004341	ENSNGAG00000005529	Nannospalax_galili
ENSJJAP00000010354	ENSJJAG00000013935	Jaculus_jaculus
ENSDORP00000005501	ENSDORG00000005876	Dipodomys_ordii
ENSCLAP00000006202	ENSCLAG00000004393	Chinchilla_lanigera
ENSODEP00000002469	ENSODEG00000001926	Octodon_degus
ENSCPOP00000005303	ENSCPOG00000005878	Cavia_porcellus
ENSCAPP00000003640	ENSCAPG00000006314	Cavia_aperea
ENSHGLP00100010236	ENSHGLG00100007610	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020730	ENSHGLG00000014830	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005318	ENSFDAG00000014374	Fukomys_damarensis
ENSUPAP00010022734	ENSUPAG00010017977	Urocitellus_parryii
ENSSTOP00000012189	ENSSTOG00000013592	Ictidomys_tridecemlineatus
ENSSDAP00000013154	ENSSDAG00000011717	Spermophilus_dauricus
ENSMMMP00000008914	ENSMMMG00000007887	Marmota_marmota_marmota
ENSOCUP00000003372	ENSOCUG00000003878	Oryctolagus_cuniculus
ENSOPRP00000013141	ENSOPRG00000014332	Ochotona_princeps
ENSTBEP00000014578	ENSTBEG00000016662	Tupaia_belangeri
ENSCHIP00000006563	ENSCHIG00000010240	Capra_hircus
ENSOARP00000001734	ENSOARG00000001636	Ovis_aries
ENSOARP00000000442	ENSOARG00000000442	Ovis_aries	ENSOART00000000470
ENSBIXP00005008406	ENSBIXG00005001617	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040891	ENSBIXG00000007991	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023366	ENSBTAG00000006975	Bos_taurus
ENSBMUP00000018801	ENSBMUG00000014232	Bos_mutus
