ENSPMEP00000033434	ENSPMEG00000021931	Poecilia_mexicana
ENSPLAP00000009800	ENSPLAG00000012611	Poecilia_latipinna
ENSAPEP00000021681	ENSAPEG00000015470	Amphiprion_percula
ENSSDUP00000012355	ENSSDUG00000009004	Seriola_dumerili
ENSSLDP00000008748	ENSSLDG00000006951	Seriola_lalandi_dorsalis
ENSSMAP00000032487	ENSSMAG00000019913	Scophthalmus_maximus
ENSMMOP00000003107	ENSMMOG00000002495	Mola_mola
ENSTRUP00000057342	ENSTRUG00000022852	Takifugu_rubripes
ENSLBEP00000038007	ENSLBEG00000028340	Labrus_bergylta
ENSACLP00000004563	ENSACLG00000003057	Astatotilapia_calliptera
ENSMZEP00005015767	ENSMZEG00005011842	Maylandia_zebra
ENSPNYP00000009150	ENSPNYG00000006964	Pundamilia_nyererei
ENSHBUP00000023842	ENSHBUG00000004872	Haplochromis_burtoni
ENSNBRP00000000353	ENSNBRG00000000331	Neolamprologus_brichardi
ENSPREP00000014540	ENSPREG00000009838	Poecilia_reticulata
ENSGAFP00000025250	ENSGAFG00000017051	Gambusia_affinis
ENSXCOP00000018503	ENSXCOG00000013928	Xiphophorus_couchianus
ENSCSEP00000017659	ENSCSEG00000011333	Cynoglossus_semilaevis
ENSHCOP00000023652	ENSHCOG00000012292	Hippocampus_comes
ENSPNAP00000022306	ENSPNAG00000029660	Pygocentrus_nattereri	ENSPNAT00000034454
ENSAMXP00000045470	ENSAMXG00000038627	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000038567
ENSSFOP00015005687	ENSSFOG00015003728	Scleropages_formosus
ENSDARP00000144736	ENSDARG00000107526	Danio_rerio
ENSPCIP00000039138	ENSPCIG00000028737	Phascolarctos_cinereus
ENSVURP00010006431	ENSVURG00010004988	Vombatus_ursinus
ENSMODP00000044575	ENSMODG00000041471	Monodelphis_domestica
ENSCGRP00015035228	ENSCGRG00015026449	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000031243	ENSPEMG00000030083	Peromyscus_maniculatus_bairdii
ENSMSIP00000027686	ENSMSIG00000023350	Mus_spicilegus
ENSCCNP00000031735	ENSCCNG00000030194	Castor_canadensis
ENSSDAP00000014854	ENSSDAG00000013394	Spermophilus_dauricus
ENSSTOP00000015691	ENSSTOG00000027079	Ictidomys_tridecemlineatus
ENSMMMP00000015378	ENSMMMG00000013716	Marmota_marmota_marmota
ENSUPAP00010002629	ENSUPAG00010002197	Urocitellus_parryii
ENSOCUP00000047957	ENSOCUG00000036751	Oryctolagus_cuniculus
ENSSBOP00000012932	ENSSBOG00000023260	Saimiri_boliviensis_boliviensis
ENSCJAP00000067400	ENSCJAG00000043602	Callithrix_jacchus
ENSCCAP00000034009	ENSCCAG00000035007	Cebus_capucinus_imitator
ENSRROP00000042060	ENSRROG00000044193	Rhinopithecus_roxellana
ENSRBIP00000010306	ENSRBIG00000029011	Rhinopithecus_bieti
ENSCANP00000024041	ENSCANG00000035427	Colobus_angolensis_palliatus
ENSPTEP00000032976	ENSPTEG00000031578	Piliocolobus_tephrosceles
ENSPANP00000006371	ENSPANG00000019785	Papio_anubis
ENSTGEP00000027666	ENSTGEG00000022334	Theropithecus_gelada
ENSCATP00000025391	ENSCATG00000036171	Cercocebus_atys
ENSMLEP00000012236	ENSMLEG00000030285	Mandrillus_leucophaeus
ENSMMUP00000069381	ENSMMUG00000058224	Macaca_mulatta
ENSMNEP00000011580	ENSMNEG00000030136	Macaca_nemestrina
ENSMFAP00000043914	ENSMFAG00000039339	Macaca_fascicularis
ENSCSAP00000006136	ENSCSAG00000009896	Chlorocebus_sabaeus
ENSP00000454370	ENSG00000240204	Homo_sapiens
ENSPPYP00000024025	ENSPPYG00000029384	Pongo_abelii
ENSPTRP00000061511	ENSPTRG00000048623	Pan_troglodytes
ENSPTRP00000075843	ENSPTRG00000052315	Pan_troglodytes
ENSGGOP00000039003	ENSGGOG00000038256	Gorilla_gorilla
ENSNLEP00000022491	ENSNLEG00000018605	Nomascus_leucogenys
ENSPCOP00000020353	ENSPCOG00000022145	Propithecus_coquereli
ENSPSMP00000000042	ENSPSMG00000000049	Prolemur_simus
ENSMICP00000042125	ENSMICG00000045930	Microcebus_murinus
ENSUMAP00000012411	ENSUMAG00000009222	Ursus_maritimus
ENSUAMP00000000772	ENSUAMG00000000772	Ursus_americanus
ENSMPUP00000005392	ENSMPUG00000005431	Mustela_putorius_furo
ENSCAFP00020029939	ENSCAFG00020023320	Canis_lupus_dingo
ENSCAFP00000064234	ENSCAFG00000038351	Canis_lupus_familiaris
ENSVVUP00000016730	ENSVVUG00000012317	Vulpes_vulpes
ENSPPRP00000005518	ENSPPRG00000001247	Panthera_pardus
ENSPTIP00000024794	ENSPTIG00000020786	Panthera_tigris_altaica
ENSFCAP00000033733	ENSFCAG00000039173	Felis_catus
ENSMLUP00000017782	ENSMLUG00000027572	Myotis_lucifugus
ENSCHIP00000003921	ENSCHIG00000008143	Capra_hircus
ENSOARP00000001223	ENSOARG00000001182	Ovis_aries
ENSBBBP00000020826	ENSBBBG00000014511	Bison_bison_bison
ENSBMUP00000031535	ENSBMUG00000023521	Bos_mutus
ENSSSCP00000067579	ENSSSCG00000044254	Sus_scrofa_strain_reference
ENSEASP00005012573	ENSEASG00005008773	Equus_asinus_asinus
ENSECAP00000054544	ENSECAG00000029629	Equus_caballus
ENSTSYP00000032005	ENSTSYG00000027739	Carlito_syrichta
ENSMUGP00000001877	ENSMUGG00000001763	Meriones_unguiculatus
ENSDNOP00000034603	ENSDNOG00000034218	Dasypus_novemcinctus
ENSOANP00000018142	ENSOANG00000011455	Ornithorhynchus_anatinus
ENSPVIP00000011090	ENSPVIG00000008706	Pogona_vitticeps
ENSNSUP00000017177	ENSNSUG00000012644	Notechis_scutatus
ENSSMRP00000017386	ENSSMRG00000013546	Salvator_merianae
ENSCPUP00000006830	ENSCPUG00000004946	Calidris_pugnax
ENSMUNP00000001728	ENSMUNG00000001490	Melopsittacus_undulatus
ENSCPGP00000007337	ENSCPGG00000005252	Calidris_pygmaea
ENSGALP00000069876	ENSGALG00000047596	Gallus_gallus
ENSCJPP00005000435	ENSCJPG00005000523	Coturnix_japonica
ENSNMEP00000000058	ENSNMEG00000000076	Numida_meleagris
ENSABRP00000007344	ENSABRG00000006769	Anser_brachyrhynchus
ENSAOWP00000020076	ENSAOWG00000013588	Apteryx_owenii
ENSAHAP00000000787	ENSAHAG00000000658	Apteryx_haastii
ENSARWP00000021519	ENSARWG00000014696	Apteryx_rowi
ENSNPEP00000020877	ENSNPEG00000015508	Nothoprocta_perdicaria
ENSDNVP00000008775	ENSDNVG00000006242	Dromaius_novaehollandiae
ENSCPRP00005003172	ENSCPRG00005002340	Crocodylus_porosus
ENSCPBP00000024615	ENSCPBG00000017525	Chrysemys_picta_bellii
ENSCABP00000013512	ENSCABG00000010138	Chelonoidis_abingdonii
