ENSABRP00000009071	ENSABRG00000008118	Anser_brachyrhynchus	ENSABRT00000012915
ENSXCOP00000015865	ENSXCOG00000011983	Xiphophorus_couchianus	ENSXCOT00000016062
ENSPCIP00000019083	ENSPCIG00000014583	Phascolarctos_cinereus	ENSPCIT00000023551
ENSHBUP00000011925	ENSHBUG00000013607	Haplochromis_burtoni	ENSHBUT00000019289
ENSHHUP00000030257	ENSHHUG00000019270	Hucho_hucho	ENSHHUT00000031512
ENSRROP00000022121	ENSRROG00000034936	Rhinopithecus_roxellana	ENSRROT00000046317
ENSUAMP00000001454	ENSUAMG00000001391	Ursus_americanus	ENSUAMT00000001678
ENSARWP00000021540	ENSARWG00000014711	Apteryx_rowi	ENSARWT00000024428
ENSPNAP00000037586	ENSPNAG00000005061	Pygocentrus_nattereri	ENSPNAT00000034100
ENSAOWP00000001853	ENSAOWG00000001336	Apteryx_owenii	ENSAOWT00000002106
ENSPMGP00000011200	ENSPMGG00000009284	Periophthalmus_magnuspinnatus	ENSPMGT00000011947
ENSHHUP00000060027	ENSHHUG00000035638	Hucho_hucho	ENSHHUT00000062079
ENSANAP00000011832	ENSANAG00000023856	Aotus_nancymaae	ENSANAT00000029646
ENSAHAP00000014296	ENSAHAG00000010278	Apteryx_haastii	ENSAHAT00000015860
ENSHHUP00000036651	ENSHHUG00000022993	Hucho_hucho	ENSHHUT00000038116
ENSHHUP00000035919	ENSHHUG00000022599	Hucho_hucho	ENSHHUT00000037352
ENSSHAP00000018618	ENSSHAG00000015805	Sarcophilus_harrisii	ENSSHAT00000018772
ENSACIP00000026197	ENSACIG00000020308	Amphilophus_citrinellus	ENSACIT00000026885
ENSTRUP00000050804	ENSTRUG00000025051	Takifugu_rubripes	ENSTRUT00000049527
ENSCHIP00000004918	ENSCHIG00000009053	Capra_hircus	ENSCHIT00000012467
ENSECRP00000005134	ENSECRG00000003466	Erpetoichthys_calabaricus	ENSECRT00000005217
ENSAPOP00000009756	ENSAPOG00000012089	Acanthochromis_polyacanthus	ENSAPOT00000001024
ENSBMUP00000021631	ENSBMUG00000016283	Bos_mutus	ENSBMUT00000024946
ENSGAGP00000030799	ENSGAGG00000022143	Gopherus_agassizii	ENSGAGT00000034928
ENSCABP00000016029	ENSCABG00000011958	Chelonoidis_abingdonii	ENSCABT00000017582
ENSMODP00000034036	ENSMODG00000024421	Monodelphis_domestica	ENSMODT00000035622
ENSCABP00000007939	ENSCABG00000005980	Chelonoidis_abingdonii	ENSCABT00000008689
ENSNBRP00000018643	ENSNBRG00000014372	Neolamprologus_brichardi	ENSNBRT00000019141
ENSORLP00000043937	ENSORLG00000029515	Oryzias_latipes_ASM223467v1	ENSORLT00000035025
ENSSPUP00000003487	ENSSPUG00000002663	Sphenodon_punctatus	ENSSPUT00000003702
ENSCAPP00000014343	ENSCAPG00000014743	Cavia_aperea
ENSPLAP00000016075	ENSPLAG00000020149	Poecilia_latipinna	ENSPLAT00000024921
ENSXCOP00000025237	ENSXCOG00000018850	Xiphophorus_couchianus	ENSXCOT00000025542
ENSAPOP00000027212	ENSAPOG00000011583	Acanthochromis_polyacanthus
ENSEBUP00000003558	ENSEBUG00000002565	Eptatretus_burgeri	ENSEBUT00000003934
ENSCVAP00000027787	ENSCVAG00000014393	Cyprinodon_variegatus	ENSCVAT00000019160
ENSPMGP00000026848	ENSPMGG00000021671	Periophthalmus_magnuspinnatus	ENSPMGT00000028599
ENSPMEP00000011044	ENSPMEG00000013070	Poecilia_mexicana	ENSPMET00000018067
ENSCCNP00000006973	ENSCCNG00000007468	Castor_canadensis	ENSCCNT00000009251
ENSVURP00010018162	ENSVURG00010013860	Vombatus_ursinus	ENSVURT00010020634
ENSOARP00000003219	ENSOARG00000003030	Ovis_aries
ENSPCIP00000050093	ENSPCIG00000033504	Phascolarctos_cinereus	ENSPCIT00000055312
