ENSSCAP00000022922	ENSSCAG00000016449	Serinus_canaria	ENSSCAT00000025532
ENSLSDP00000003391	ENSLSDG00000002589	Lonchura_striata_domestica
ENSMVIP00005021161	ENSMVIG00005014894	Manacus_vitellinus	ENSMVIT00005023833
ENSNMEP00000023498	ENSNMEG00000020025	Numida_meleagris
ENSCJPP00005015267	ENSCJPG00005012677	Coturnix_japonica
ENSLCOP00000002745	ENSLCOG00000002111	Lepidothrix_coronata
ENSCPGP00000001514	ENSCPGG00000001165	Calidris_pygmaea
ENSAPLP00000018817	ENSAPLG00000017226	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000013571	ENSAHAG00000009770	Apteryx_haastii
ENSAOWP00000018896	ENSAOWG00000012860	Apteryx_owenii
ENSNPEP00000006793	ENSNPEG00000005121	Nothoprocta_perdicaria
ENSGAGP00000011539	ENSGAGG00000008910	Gopherus_agassizii
ENSCABP00000028196	ENSCABG00000020720	Chelonoidis_abingdonii
ENSCPBP00000024074	ENSCPBG00000017154	Chrysemys_picta_bellii
ENSSPUP00000013508	ENSSPUG00000010393	Sphenodon_punctatus
