ENSTRUP00000054952	ENSTRUG00000019545	Takifugu_rubripes
ENSMZEP00005002577	ENSMZEG00005002042	Maylandia_zebra
ENSCGOP00000044947	ENSCGOG00000020168	Cottoperca_gobio
ENSGWIP00000020539	ENSGWIG00000011117	Gouania_willdenowi
ENSSMAP00000030381	ENSSMAG00000018625	Scophthalmus_maximus
ENSHHUP00000071986	ENSHHUG00000042278	Hucho_hucho
ENSELUP00000040153	ENSELUG00000020534	Esox_lucius
ENSPNAP00000016790	ENSPNAG00000022976	Pygocentrus_nattereri
ENSCPUP00000006315	ENSCPUG00000004609	Calidris_pugnax
ENSCPUP00000006309	ENSCPUG00000004607	Calidris_pugnax
ENSNMEP00000001117	ENSNMEG00000001554	Numida_meleagris
