ENSPMAP00000001011	ENSPMAG00000000905	Petromyzon_marinus	ENSPMAT00000001015
ENSEBUP00000016436	ENSEBUG00000010311	Eptatretus_burgeri	ENSEBUT00000017012
ENSSMAP00000009584	ENSSMAG00000005863	Scophthalmus_maximus
ENSCSEP00000011443	ENSCSEG00000007352	Cynoglossus_semilaevis
ENSBSLP00000027511	ENSBSLG00000013696	Betta_splendens
ENSORLP00020019909	ENSORLG00020020899	Oryzias_latipes_ASM223471v1
ENSORLP00000007747	ENSORLG00000006151	Oryzias_latipes_ASM223467v1
ENSORLP00015034497	ENSORLG00015020562	Oryzias_latipes_ASM223469v1
ENSOMEP00000017978	ENSOMEG00000019684	Oryzias_melastigma
ENSPRNP00000052187	ENSPRNG00000024671	Parambassis_ranga
ENSXMAP00000006750	ENSXMAG00000006719	Xiphophorus_maculatus
ENSXCOP00000026707	ENSXCOG00000019953	Xiphophorus_couchianus
ENSGAFP00000003093	ENSGAFG00000002075	Gambusia_affinis
ENSPMEP00000030154	ENSPMEG00000016422	Poecilia_mexicana
ENSPFOP00000000024	ENSPFOG00000000026	Poecilia_formosa
ENSPLAP00000001768	ENSPLAG00000002898	Poecilia_latipinna
ENSPREP00000029369	ENSPREG00000019870	Poecilia_reticulata
ENSFHEP00000011428	ENSFHEG00000012922	Fundulus_heteroclitus
ENSCVAP00000024691	ENSCVAG00000008993	Cyprinodon_variegatus
ENSKMAP00000029298	ENSKMAG00000021705	Kryptolebias_marmoratus
ENSMZEP00005008744	ENSMZEG00005006621	Maylandia_zebra
ENSACLP00000039009	ENSACLG00000026330	Astatotilapia_calliptera
ENSPNYP00000032126	ENSPNYG00000024251	Pundamilia_nyererei
ENSHBUP00000025437	ENSHBUG00000000192	Haplochromis_burtoni
ENSNBRP00000026135	ENSNBRG00000019965	Neolamprologus_brichardi
ENSONIP00000022327	ENSONIG00000017707	Oreochromis_niloticus
ENSACIP00000024004	ENSACIG00000018629	Amphilophus_citrinellus
ENSGWIP00000047342	ENSGWIG00000023092	Gouania_willdenowi
ENSCGOP00000051457	ENSCGOG00000022480	Cottoperca_gobio
ENSGACP00000023149	ENSGACG00000017481	Gasterosteus_aculeatus
ENSLCRP00005020103	ENSLCRG00005007893	Larimichthys_crocea
ENSLBEP00000028309	ENSLBEG00000021419	Labrus_bergylta
ENSTRUP00000009193	ENSTRUG00000003900	Takifugu_rubripes
ENSTNIP00000010814	ENSTNIG00000007992	Tetraodon_nigroviridis
ENSMMOP00000014712	ENSMMOG00000011257	Mola_mola
ENSPMGP00000001654	ENSPMGG00000001462	Periophthalmus_magnuspinnatus
ENSMALP00000017926	ENSMALG00000012488	Monopterus_albus
ENSATEP00000018229	ENSATEG00000012635	Anabas_testudineus
ENSAOCP00000004337	ENSAOCG00000000427	Amphiprion_ocellaris
ENSAPEP00000003583	ENSAPEG00000002544	Amphiprion_percula
ENSAPOP00000032479	ENSAPOG00000020433	Acanthochromis_polyacanthus
ENSSPAP00000019344	ENSSPAG00000014583	Stegastes_partitus
ENSMAMP00000020487	ENSMAMG00000013763	Mastacembelus_armatus
ENSSDUP00000008962	ENSSDUG00000006534	Seriola_dumerili
ENSSLDP00000026659	ENSSLDG00000020688	Seriola_lalandi_dorsalis
ENSLCAP00010002376	ENSLCAG00010001315	Lates_calcarifer
ENSHCOP00000023201	ENSHCOG00000011543	Hippocampus_comes
ENSGMOP00000017264	ENSGMOG00000016090	Gadus_morhua
ENSCHAP00000008125	ENSCHAG00000004982	Clupea_harengus	ENSCHAT00000009180
ENSEEEP00000026512	ENSEEEG00000012567	Electrophorus_electricus
ENSIPUP00000021346	ENSIPUG00000014417	Ictalurus_punctatus
ENSAMXP00000033651	ENSAMXG00000019771	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005021957	ENSAMXG00005011293	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000032142	ENSPNAG00000019977	Pygocentrus_nattereri
ENSDARP00000002061	ENSDARG00000018961	Danio_rerio
