ENSLCOP00000010070	ENSLCOG00000007313	Lepidothrix_coronata
ENSMVIP00005010155	ENSMVIG00005007463	Manacus_vitellinus
ENSLSDP00000010410	ENSLSDG00000007673	Lonchura_striata_domestica
ENSTGUP00000012660	ENSTGUG00000012294	Taeniopygia_guttata
ENSSCAP00000018339	ENSSCAG00000013273	Serinus_canaria
ENSJHYP00000021713	ENSJHYG00000016421	Junco_hyemalis
ENSZALP00000003634	ENSZALG00000003566	Zonotrichia_albicollis
ENSCCEP00000010007	ENSCCEG00000010076	Cyanistes_caeruleus
ENSPMJP00000019970	ENSPMJG00000014909	Parus_major
ENSFALP00000008549	ENSFALG00000008204	Ficedula_albicollis
ENSCPUP00000018785	ENSCPUG00000012903	Calidris_pugnax
ENSCPGP00000015109	ENSCPGG00000010670	Calidris_pygmaea
ENSMUNP00000016948	ENSMUNG00000013030	Melopsittacus_undulatus
ENSCJPP00005025144	ENSCJPG00005019757	Coturnix_japonica
ENSGALP00000027389	ENSGALG00000016985	Gallus_gallus
ENSMGAP00000015904	ENSMGAG00000014997	Meleagris_gallopavo
ENSNMEP00000006864	ENSNMEG00000006992	Numida_meleagris
ENSABRP00000006738	ENSABRG00000006161	Anser_brachyrhynchus
ENSAPLP00000002040	ENSAPLG00000002595	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000020692	ENSAHAG00000014542	Apteryx_haastii
ENSAOWP00000027053	ENSAOWG00000018242	Apteryx_owenii
ENSARWP00000004720	ENSARWG00000003426	Apteryx_rowi
ENSDNVP00000019079	ENSDNVG00000013344	Dromaius_novaehollandiae
ENSNPEP00000017884	ENSNPEG00000013317	Nothoprocta_perdicaria
ENSCPRP00005002515	ENSCPRG00005001803	Crocodylus_porosus
ENSCABP00000005382	ENSCABG00000004026	Chelonoidis_abingdonii
ENSGAGP00000031467	ENSGAGG00000022598	Gopherus_agassizii
ENSCPBP00000010727	ENSCPBG00000008214	Chrysemys_picta_bellii
ENSPSIP00000015101	ENSPSIG00000013391	Pelodiscus_sinensis
ENSSPUP00000017226	ENSSPUG00000013325	Sphenodon_punctatus
ENSACAP00000016141	ENSACAG00000016400	Anolis_carolinensis
ENSPVIP00000004089	ENSPVIG00000003334	Pogona_vitticeps
ENSNSUP00000003170	ENSNSUG00000002590	Notechis_scutatus
ENSSMRP00000007414	ENSSMRG00000005966	Salvator_merianae
ENSCLAP00000000840	ENSCLAG00000000655	Chinchilla_lanigera
ENSODEP00000007265	ENSODEG00000005426	Octodon_degus
ENSCPOP00000000572	ENSCPOG00000000649	Cavia_porcellus
ENSCAPP00000006886	ENSCAPG00000008954	Cavia_aperea
ENSHGLP00000004526	ENSHGLG00000003312	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015686	ENSHGLG00100011584	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010941	ENSFDAG00000018582	Fukomys_damarensis
ENSUPAP00010013210	ENSUPAG00010010691	Urocitellus_parryii
ENSSTOP00000009607	ENSSTOG00000010700	Ictidomys_tridecemlineatus
ENSSDAP00000011953	ENSSDAG00000010773	Spermophilus_dauricus
ENSMMMP00000026667	ENSMMMG00000023337	Marmota_marmota_marmota
ENSCCNP00000011244	ENSCCNG00000011652	Castor_canadensis
ENSDORP00000000560	ENSDORG00000000602	Dipodomys_ordii
ENSMSIP00000025225	ENSMSIG00000021306	Mus_spicilegus
MGP_SPRETEiJ_P0039147	MGP_SPRETEiJ_G0020406	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000022576	ENSMUSG00000021999	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0037411	MGP_CAROLIEiJ_G0019511	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085499	MGP_PahariEiJ_G0030529	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014909	ENSRNOG00000010935	Rattus_norvegicus
ENSMUGP00000032037	ENSMUGG00000026641	Meriones_unguiculatus
ENSPEMP00000024296	ENSPEMG00000021086	Peromyscus_maniculatus_bairdii
ENSMOCP00000006720	ENSMOCG00000006393	Microtus_ochrogaster
ENSCGRP00015004562	ENSCGRG00015003597	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000003886	ENSCGRG00000002865	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001000086	ENSCGRG00001000100	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010370	ENSMAUG00000011270	Mesocricetus_auratus
ENSNGAP00000012202	ENSNGAG00000014141	Nannospalax_galili
ENSJJAP00000019889	ENSJJAG00000020705	Jaculus_jaculus
ENSOCUP00000015415	ENSOCUG00000017940	Oryctolagus_cuniculus
ENSOPRP00000000378	ENSOPRG00000000418	Ochotona_princeps
ENSRROP00000019020	ENSRROG00000033538	Rhinopithecus_roxellana
ENSRBIP00000017093	ENSRBIG00000032565	Rhinopithecus_bieti
ENSCANP00000031683	ENSCANG00000039506	Colobus_angolensis_palliatus
ENSPTEP00000028340	ENSPTEG00000028001	Piliocolobus_tephrosceles
ENSTGEP00000002859	ENSTGEG00000002451	Theropithecus_gelada
ENSPANP00000009528	ENSPANG00000009473	Papio_anubis
ENSCATP00000039327	ENSCATG00000042292	Cercocebus_atys
ENSMLEP00000000179	ENSMLEG00000000402	Mandrillus_leucophaeus
ENSMNEP00000043864	ENSMNEG00000044555	Macaca_nemestrina
ENSMFAP00000042799	ENSMFAG00000040145	Macaca_fascicularis
ENSCSAP00000013785	ENSCSAG00000017762	Chlorocebus_sabaeus
ENSPPAP00000021858	ENSPPAG00000034119	Pan_paniscus
ENSPTRP00000009957	ENSPTRG00000005852	Pan_troglodytes
ENSP00000181383	ENSG00000080618	Homo_sapiens
ENSGGOP00000001978	ENSGGOG00000002007	Gorilla_gorilla
ENSPPYP00000006087	ENSPPYG00000005345	Pongo_abelii
ENSNLEP00000003148	ENSNLEG00000002561	Nomascus_leucogenys
ENSSBOP00000004058	ENSSBOG00000018312	Saimiri_boliviensis_boliviensis
ENSCCAP00000024946	ENSCCAG00000030272	Cebus_capucinus_imitator
ENSCJAP00000030922	ENSCJAG00000016797	Callithrix_jacchus
ENSANAP00000012297	ENSANAG00000024089	Aotus_nancymaae
ENSPSMP00000012870	ENSPSMG00000009268	Prolemur_simus
ENSMICP00000005116	ENSMICG00000005613	Microcebus_murinus
ENSOGAP00000010771	ENSOGAG00000012039	Otolemur_garnettii
ENSTBEP00000001288	ENSTBEG00000001482	Tupaia_belangeri
ENSVPAP00000004805	ENSVPAG00000005181	Vicugna_pacos
ENSSSCP00000010046	ENSSSCG00000009413	Sus_scrofa_strain_reference
