ENSCPUP00000021343	ENSCPUG00000014568	Calidris_pugnax
ENSMUNP00000021856	ENSMUNG00000016456	Melopsittacus_undulatus
ENSTGUP00000002637	ENSTGUG00000002564	Taeniopygia_guttata
ENSTGUP00000016743	ENSTGUG00000016436	Taeniopygia_guttata
ENSLSDP00000009261	ENSLSDG00000006798	Lonchura_striata_domestica
ENSSCAP00000009147	ENSSCAG00000006974	Serinus_canaria
ENSPMJP00000001376	ENSPMJG00000001137	Parus_major
ENSFALP00000000684	ENSFALG00000000661	Ficedula_albicollis
ENSLCOP00000017224	ENSLCOG00000012202	Lepidothrix_coronata
ENSAHAP00000014083	ENSAHAG00000010074	Apteryx_haastii
ENSARWP00000021077	ENSARWG00000014405	Apteryx_rowi
ENSDNVP00000001898	ENSDNVG00000001362	Dromaius_novaehollandiae
ENSGAGP00000012640	ENSGAGG00000009659	Gopherus_agassizii
ENSCABP00000020579	ENSCABG00000015163	Chelonoidis_abingdonii
ENSCPBP00000013098	ENSCPBG00000009830	Chrysemys_picta_bellii
ENSCPRP00005008159	ENSCPRG00005005817	Crocodylus_porosus
ENSPVIP00000023000	ENSPVIG00000017361	Pogona_vitticeps
ENSACAP00000017681	ENSACAG00000017957	Anolis_carolinensis
ENSNSUP00000011578	ENSNSUG00000008718	Notechis_scutatus
ENSSMRP00000002835	ENSSMRG00000002420	Salvator_merianae
ENSSPUP00000016738	ENSSPUG00000012937	Sphenodon_punctatus
ENSXETP00000012338	ENSXETG00000014445	Xenopus_tropicalis
ENSABRP00000010679	ENSABRG00000009607	Anser_brachyrhynchus
ENSAPLP00000009074	ENSAPLG00000009380	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003083	ENSMGAG00000003384	Meleagris_gallopavo
ENSGALP00000070756	ENSGALG00000003354	Gallus_gallus
ENSCJPP00005005032	ENSCJPG00005004866	Coturnix_japonica
ENSNMEP00000007340	ENSNMEG00000007367	Numida_meleagris
ENSCPGP00000003801	ENSCPGG00000002804	Calidris_pygmaea
ENSCCEP00000024042	ENSCCEG00000021410	Cyanistes_caeruleus
