ENSACAP00000005162	ENSACAG00000005243	Anolis_carolinensis	ENSACAT00000005279
ENSPVIP00000020303	ENSPVIG00000015488	Pogona_vitticeps	ENSPVIT00000025236
ENSNSUP00000007546	ENSNSUG00000005933	Notechis_scutatus
ENSSMRP00000005192	ENSSMRG00000004243	Salvator_merianae
ENSVURP00010005494	ENSVURG00010004260	Vombatus_ursinus
ENSVURP00010005598	ENSVURG00010004331	Vombatus_ursinus
ENSPCIP00000005254	ENSPCIG00000004363	Phascolarctos_cinereus
ENSMEUP00000007796	ENSMEUG00000008524	Notamacropus_eugenii
ENSCPOP00000017164	ENSCPOG00000026806	Cavia_porcellus
ENSCAPP00000001032	ENSCAPG00000001611	Cavia_aperea
ENSCLAP00000008608	ENSCLAG00000006023	Chinchilla_lanigera
ENSODEP00000021532	ENSODEG00000015849	Octodon_degus
ENSHGLP00000006779	ENSHGLG00000004949	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016405	ENSHGLG00100012111	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006003	ENSFDAG00000014874	Fukomys_damarensis
ENSSTOP00000009057	ENSSTOG00000010097	Ictidomys_tridecemlineatus
ENSMMMP00000007478	ENSMMMG00000006723	Marmota_marmota_marmota
ENSSDAP00000012274	ENSSDAG00000011058	Spermophilus_dauricus
ENSUPAP00010019926	ENSUPAG00010015751	Urocitellus_parryii
ENSCGRP00000023101	ENSCGRG00000016731	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001003126	ENSCGRG00001003687	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015027639	ENSCGRG00015020917	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018266	ENSMAUG00000016895	Mesocricetus_auratus
ENSMOCP00000027054	ENSMOCG00000022668	Microtus_ochrogaster
MGP_SPRETEiJ_P0082575	MGP_SPRETEiJ_G0030751	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000012918	ENSMSIG00000011219	Mus_spicilegus
ENSMUSP00000112922	ENSMUSG00000012777	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0079241	MGP_CAROLIEiJ_G0029647	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016112	MGP_PahariEiJ_G0012878	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075674	ENSRNOG00000021659	Rattus_norvegicus
ENSMUGP00000009306	ENSMUGG00000008286	Meriones_unguiculatus
ENSPEMP00000032497	ENSPEMG00000008909	Peromyscus_maniculatus_bairdii
ENSNGAP00000021854	ENSNGAG00000020915	Nannospalax_galili
ENSJJAP00000010480	ENSJJAG00000014058	Jaculus_jaculus
ENSCCNP00000000904	ENSCCNG00000000987	Castor_canadensis
ENSDORP00000012817	ENSDORG00000013632	Dipodomys_ordii
ENSOPRP00000006739	ENSOPRG00000007351	Ochotona_princeps
ENSMICP00000000472	ENSMICG00000000521	Microcebus_murinus
