ENSCHOP00000004230	ENSCHOG00000004771	Choloepus_hoffmanni
ENSPTIP00000021350	ENSPTIG00000018537	Panthera_tigris_altaica
ENSPCAP00000010976	ENSPCAG00000011677	Procavia_capensis
ENSPTRP00000049044	ENSPTRG00000029148	Pan_troglodytes
ENSPPAP00000028507	ENSPPAG00000037284	Pan_paniscus
ENSP00000387298	ENSG00000204334	Homo_sapiens
ENSGGOP00000023442	ENSGGOG00000027759	Gorilla_gorilla
ENSNLEP00000006280	ENSNLEG00000005187	Nomascus_leucogenys
ENSMLEP00000022364	ENSMLEG00000035394	Mandrillus_leucophaeus
ENSCATP00000007170	ENSCATG00000021621	Cercocebus_atys
ENSPANP00000041940	ENSPANG00000029252	Papio_anubis
ENSMNEP00000025739	ENSMNEG00000036339	Macaca_nemestrina
ENSMFAP00000027697	ENSMFAG00000045253	Macaca_fascicularis
ENSCSAP00000011110	ENSCSAG00000015007	Chlorocebus_sabaeus
ENSCANP00000011144	ENSCANG00000028989	Colobus_angolensis_palliatus
ENSPTEP00000040153	ENSPTEG00000037029	Piliocolobus_tephrosceles
ENSRBIP00000019234	ENSRBIG00000033605	Rhinopithecus_bieti
ENSRROP00000015458	ENSRROG00000031913	Rhinopithecus_roxellana
ENSMMUP00000066635	ENSMMUG00000031393	Macaca_mulatta
ENSTGEP00000021357	ENSTGEG00000017223	Theropithecus_gelada
ENSPPYP00000014425	ENSPPYG00000012924	Pongo_abelii
ENSCJAP00000012930	ENSCJAG00000006973	Callithrix_jacchus
ENSSBOP00000019005	ENSSBOG00000026107	Saimiri_boliviensis_boliviensis
ENSCCAP00000010969	ENSCCAG00000023242	Cebus_capucinus_imitator
ENSANAP00000023037	ENSANAG00000029267	Aotus_nancymaae
ENSTSYP00000029703	ENSTSYG00000035994	Carlito_syrichta
ENSPSMP00000033522	ENSPSMG00000023115	Prolemur_simus
ENSMICP00000048875	ENSMICG00000043900	Microcebus_murinus
ENSPCOP00000002152	ENSPCOG00000006630	Propithecus_coquereli
ENSCLAP00000010851	ENSCLAG00000007491	Chinchilla_lanigera
ENSPPRP00000006879	ENSPPRG00000002190	Panthera_pardus
ENSFCAP00000021848	ENSFCAG00000025286	Felis_catus
ENSECAP00000027679	ENSECAG00000042863	Equus_caballus
ENSEASP00005033176	ENSEASG00005022705	Equus_asinus_asinus
ENSEEUP00000007919	ENSEEUG00000008720	Erinaceus_europaeus
ENSTTRP00000004284	ENSTTRG00000004539	Tursiops_truncatus
ENSSSCP00000068556	ENSSSCG00000035909	Sus_scrofa_strain_reference
ENSCHIP00000017323	ENSCHIG00000017235	Capra_hircus
ENSOARP00000002583	ENSOARG00000002431	Ovis_aries
ENSBTAP00000067989	ENSBTAG00000051169	Bos_taurus
ENSBIXP00005023856	ENSBIXG00005026540	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000003316	ENSBMUG00000002632	Bos_mutus
ENSBBBP00000024659	ENSBBBG00000005181	Bison_bison_bison
ENSVPAP00000006690	ENSVPAG00000007191	Vicugna_pacos
ENSPVAP00000006258	ENSPVAG00000006627	Pteropus_vampyrus
ENSMPUP00000000799	ENSMPUG00000000802	Mustela_putorius_furo
