ENSMMUP00000078756	ENSMMUG00000003894	Macaca_mulatta
ENSCAFP00000023115	ENSCAFG00000015731	Canis_lupus_familiaris
ENSGACP00000008207	ENSGACG00000006207	Gasterosteus_aculeatus
ENSHBUP00000000741	ENSHBUG00000001935	Haplochromis_burtoni
ENSCPGP00000006475	ENSCPGG00000004651	Calidris_pygmaea
ENSCAPP00000009698	ENSCAPG00000011124	Cavia_aperea
ENSHCOP00000016499	ENSHCOG00000020248	Hippocampus_comes
ENSPREP00000032767	ENSPREG00000022214	Poecilia_reticulata
ENSSMAP00000012094	ENSSMAG00000007453	Scophthalmus_maximus
ENSACAP00000016655	ENSACAG00000016919	Anolis_carolinensis
ENSZALP00000005502	ENSZALG00000005118	Zonotrichia_albicollis
ENSTNIP00000002384	ENSTNIG00000005317	Tetraodon_nigroviridis
ENSMALP00000032435	ENSMALG00000022342	Monopterus_albus
ENSXMAP00000010284	ENSXMAG00000010258	Xiphophorus_maculatus
ENSPTEP00000013634	ENSPTEG00000015251	Piliocolobus_tephrosceles
ENSSMAP00000032668	ENSSMAG00000020018	Scophthalmus_maximus
ENSPRNP00000002684	ENSPRNG00000001633	Parambassis_ranga
ENSPNYP00000020983	ENSPNYG00000015868	Pundamilia_nyererei
ENSVPAP00000011114	ENSVPAG00000011941	Vicugna_pacos
ENSFDAP00000010093	ENSFDAG00000017941	Fukomys_damarensis
ENSMPUP00000010495	ENSMPUG00000010573	Mustela_putorius_furo
ENSTSYP00000009688	ENSTSYG00000010579	Carlito_syrichta
ENSHHUP00000081782	ENSHHUG00000047544	Hucho_hucho
ENSUAMP00000032176	ENSUAMG00000024598	Ursus_americanus
ENSNBRP00000024645	ENSNBRG00000018835	Neolamprologus_brichardi
ENSLOCP00000015506	ENSLOCG00000012589	Lepisosteus_oculatus
ENSTRUP00000040296	ENSTRUG00000015771	Takifugu_rubripes
ENSPNAP00000021586	ENSPNAG00000028718	Pygocentrus_nattereri
