ENSBIXP00000004042	ENSBIXG00000000585	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSANAP00000014246	ENSANAG00000025022	Aotus_nancymaae
ENSNBRP00000021870	ENSNBRG00000016768	Neolamprologus_brichardi
ENSSDAP00000014148	ENSSDAG00000012752	Spermophilus_dauricus
ENSNPEP00000003920	ENSNPEG00000002998	Nothoprocta_perdicaria
ENSMICP00000002164	ENSMICG00000002371	Microcebus_murinus
ENSAMEP00000008991	ENSAMEG00000008543	Ailuropoda_melanoleuca
ENSSDUP00000018433	ENSSDUG00000013467	Seriola_dumerili
ENSPREP00000011198	ENSPREG00000007631	Poecilia_reticulata
ENSLSDP00000009514	ENSLSDG00000007071	Lonchura_striata_domestica
ENSFALP00000005962	ENSFALG00000005710	Ficedula_albicollis
ENSCPOP00000026426	ENSCPOG00000035678	Cavia_porcellus
ENSXCOP00000008163	ENSXCOG00000006265	Xiphophorus_couchianus
ENSSBOP00000015072	ENSSBOG00000024274	Saimiri_boliviensis_boliviensis
ENSDCDP00000031694	ENSDCDG00000021960	Denticeps_clupeoides
ENSACIP00000018794	ENSACIG00000014637	Amphilophus_citrinellus
ENSCCAP00000023401	ENSCCAG00000029473	Cebus_capucinus_imitator
ENSBTAP00000009469	ENSBTAG00000007196	Bos_taurus
ENSEEEP00000051736	ENSEEEG00000024295	Electrophorus_electricus
ENSXMAP00000027684	ENSXMAG00000029448	Xiphophorus_maculatus
ENSNLEP00000008955	ENSNLEG00000007339	Nomascus_leucogenys
ENSPCOP00000030251	ENSPCOG00000027846	Propithecus_coquereli
ENSCCNP00000022554	ENSCCNG00000022182	Castor_canadensis
ENSGWIP00000015135	ENSGWIG00000008507	Gouania_willdenowi
ENSLCAP00010051246	ENSLCAG00010023860	Lates_calcarifer
ENSPLAP00000008699	ENSPLAG00000011327	Poecilia_latipinna
ENSACLP00000016521	ENSACLG00000011271	Astatotilapia_calliptera
ENSAMXP00000050531	ENSAMXG00000030135	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAOWP00000014496	ENSAOWG00000009892	Apteryx_owenii
ENSCAFP00000042307	ENSCAFG00000013162	Canis_lupus_familiaris
ENSACLP00000016910	ENSACLG00000011510	Astatotilapia_calliptera
ENSOCUP00000016571	ENSOCUG00000023919	Oryctolagus_cuniculus
ENSDCDP00000058660	ENSDCDG00000034025	Denticeps_clupeoides
ENSAMXP00005044302	ENSAMXG00005020544	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000019676	ENSORLG00000015714	Oryzias_latipes_ASM223467v1
MGP_SPRETEiJ_P0091257	MGP_SPRETEiJ_G0033290	Mus_spretus_strain_SPRET/EiJ
