ENSCPUP00000010198	ENSCPUG00000007236	Calidris_pugnax
ENSMUNP00000013933	ENSMUNG00000010860	Melopsittacus_undulatus
ENSSCAP00000015119	ENSSCAG00000011081	Serinus_canaria
ENSLSDP00000017486	ENSLSDG00000012530	Lonchura_striata_domestica
ENSABRP00000010008	ENSABRG00000008964	Anser_brachyrhynchus
ENSAPLP00000000248	ENSAPLG00000000842	Anas_platyrhynchos_platyrhynchos
ENSGALP00000054987	ENSGALG00000029799	Gallus_gallus
ENSCJPP00005017199	ENSCJPG00005014068	Coturnix_japonica
ENSNMEP00000003011	ENSNMEG00000003585	Numida_meleagris
ENSAHAP00000016208	ENSAHAG00000011559	Apteryx_haastii
ENSAOWP00000003279	ENSAOWG00000002298	Apteryx_owenii
ENSARWP00000019375	ENSARWG00000013277	Apteryx_rowi
ENSNPEP00000017706	ENSNPEG00000013166	Nothoprocta_perdicaria
ENSACAP00000021278	ENSACAG00000022261	Anolis_carolinensis
