ENSLCAP00010017685	ENSLCAG00010008408	Lates_calcarifer
ENSSLDP00000025899	ENSSLDG00000020135	Seriola_lalandi_dorsalis
ENSATEP00000014027	ENSATEG00000009777	Anabas_testudineus
ENSBSLP00000028227	ENSBSLG00000014096	Betta_splendens
ENSAPEP00000007191	ENSAPEG00000005152	Amphiprion_percula
ENSAOCP00000024882	ENSAOCG00000012077	Amphiprion_ocellaris
ENSSPAP00000008247	ENSSPAG00000006292	Stegastes_partitus
ENSPNYP00000017368	ENSPNYG00000013151	Pundamilia_nyererei
ENSPREP00000030454	ENSPREG00000020624	Poecilia_reticulata
ENSXMAP00000037487	ENSXMAG00000029630	Xiphophorus_maculatus
ENSLCRP00005026738	ENSLCRG00005010669	Larimichthys_crocea
ENSECRP00000001996	ENSECRG00000001399	Erpetoichthys_calabaricus
ENSCMIP00000035024	ENSCMIG00000014849	Callorhinchus_milii
