ENSFALP00000008683	ENSFALG00000008330	Ficedula_albicollis
ENSLCAP00010030711	ENSLCAG00010014431	Lates_calcarifer
ENSCVAP00000008531	ENSCVAG00000010364	Cyprinodon_variegatus
ENSXMAP00000007118	ENSXMAG00000007084	Xiphophorus_maculatus
ENSACLP00000004684	ENSACLG00000003112	Astatotilapia_calliptera
ENSMEUP00000000829	ENSMEUG00000000887	Notamacropus_eugenii
ENSAMEP00000004902	ENSAMEG00000004633	Ailuropoda_melanoleuca
ENSPREP00000019100	ENSPREG00000012906	Poecilia_reticulata
ENSBBBP00000023021	ENSBBBG00000017463	Bison_bison_bison
ENSCPOP00000004527	ENSCPOG00000005030	Cavia_porcellus
ENSMICP00000013066	ENSMICG00000014330	Microcebus_murinus
ENSDARP00000116522	ENSDARG00000018856	Danio_rerio
ENSPPAP00000030275	ENSPPAG00000038110	Pan_paniscus
ENSOPRP00000004375	ENSOPRG00000004748	Ochotona_princeps
ENSMALP00000015029	ENSMALG00000010541	Monopterus_albus
ENSCAPP00000005281	ENSCAPG00000007644	Cavia_aperea
ENSMODP00000002711	ENSMODG00000002226	Monodelphis_domestica
ENSLCRP00005001058	ENSLCRG00005000524	Larimichthys_crocea
ENSCABP00000011670	ENSCABG00000008710	Chelonoidis_abingdonii
ENSPCIP00000042011	ENSPCIG00000013811	Phascolarctos_cinereus
ENSMUSP00000050034	ENSMUSG00000027797	Mus_musculus_strain_reference_(CL57BL6)
ENSCABP00000024374	ENSCABG00000017820	Chelonoidis_abingdonii
ENSOMEP00000011291	ENSOMEG00000012934	Oryzias_melastigma
ENSPCAP00000000908	ENSPCAG00000000940	Procavia_capensis
ENSOARP00000006486	ENSOARG00000006058	Ovis_aries
ENSLBEP00000027362	ENSLBEG00000020754	Labrus_bergylta
ENSCCNP00000032423	ENSCCNG00000030758	Castor_canadensis
ENSCCNP00000008052	ENSCCNG00000008455	Castor_canadensis
ENSRNOP00000019748	ENSRNOG00000032922	Rattus_norvegicus
ENSMAUP00000005278	ENSMAUG00000007158	Mesocricetus_auratus
ENSACIP00000005118	ENSACIG00000004018	Amphilophus_citrinellus
ENSCATP00000002872	ENSCATG00000011868	Cercocebus_atys
ENSCGOP00000040296	ENSCGOG00000017542	Cottoperca_gobio
ENSATEP00000004516	ENSATEG00000003102	Anabas_testudineus
ENSMMUP00000074940	ENSMMUG00000016791	Macaca_mulatta
ENSGAGP00000024972	ENSGAGG00000018262	Gopherus_agassizii
ENSSTOP00000024889	ENSSTOG00000012243	Ictidomys_tridecemlineatus
ENSCHOP00000005080	ENSCHOG00000005731	Choloepus_hoffmanni
ENSUMAP00000033304	ENSUMAG00000023979	Ursus_maritimus
ENSPKIP00000007590	ENSPKIG00000023408	Paramormyrops_kingsleyae
ENSLSDP00000024499	ENSLSDG00000017190	Lonchura_striata_domestica
ENSHHUP00000033509	ENSHHUG00000021168	Hucho_hucho
ENSAPOP00000002774	ENSAPOG00000004226	Acanthochromis_polyacanthus
ENSGAFP00000030960	ENSGAFG00000020876	Gambusia_affinis
ENSCJPP00005025343	ENSCJPG00005019904	Coturnix_japonica	ENSCJPT00005034488
ENSNVIP00000028405	ENSNVIG00000021862	Neovison_vison
ENSIPUP00000020096	ENSIPUG00000013618	Ictalurus_punctatus
ENSHHUP00000060058	ENSHHUG00000035655	Hucho_hucho
ENSAOWP00000009102	ENSAOWG00000006065	Apteryx_owenii	ENSAOWT00000010322
ENSHBUP00000005369	ENSHBUG00000006809	Haplochromis_burtoni
ENSACAP00000021353	ENSACAG00000025881	Anolis_carolinensis	ENSACAT00000025747
ENSATEP00000017769	ENSATEG00000012305	Anabas_testudineus
ENSGACP00000015328	ENSGACG00000011579	Gasterosteus_aculeatus
ENSPSIP00000002593	ENSPSIG00000002543	Pelodiscus_sinensis
ENSPLAP00000001869	ENSPLAG00000003023	Poecilia_latipinna
ENSOARP00000011263	ENSOARG00000010490	Ovis_aries
ENSPTIP00000004294	ENSPTIG00000006786	Panthera_tigris_altaica
ENSPFOP00000006042	ENSPFOG00000005800	Poecilia_formosa
ENSODEP00000008941	ENSODEG00000006680	Octodon_degus
