ENSLSDP00000019827	ENSLSDG00000014078	Lonchura_striata_domestica
ENSTGUP00000005194	ENSTGUG00000005049	Taeniopygia_guttata
ENSCCEP00000005158	ENSCCEG00000005669	Cyanistes_caeruleus
ENSPMJP00000004740	ENSPMJG00000004077	Parus_major
ENSSCAP00000017367	ENSSCAG00000012617	Serinus_canaria
ENSZALP00000017060	ENSZALG00000013835	Zonotrichia_albicollis
ENSJHYP00000003700	ENSJHYG00000003045	Junco_hyemalis
ENSFALP00000005634	ENSFALG00000005414	Ficedula_albicollis
ENSMVIP00005010685	ENSMVIG00005007856	Manacus_vitellinus
ENSLCOP00000013069	ENSLCOG00000009426	Lepidothrix_coronata
ENSMUNP00000007851	ENSMUNG00000006265	Melopsittacus_undulatus
ENSCPUP00000013661	ENSCPUG00000009678	Calidris_pugnax
ENSCPGP00000000489	ENSCPGG00000000412	Calidris_pygmaea
ENSABRP00000022146	ENSABRG00000018756	Anser_brachyrhynchus
ENSAPLP00000020379	ENSAPLG00000027411	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000000379	ENSAHAG00000000362	Apteryx_haastii
ENSAOWP00000006743	ENSAOWG00000004639	Apteryx_owenii
ENSARWP00000021350	ENSARWG00000014594	Apteryx_rowi
ENSDNVP00000001873	ENSDNVG00000001354	Dromaius_novaehollandiae
ENSNPEP00000014980	ENSNPEG00000011194	Nothoprocta_perdicaria
ENSGALP00000006470	ENSGALG00000004074	Gallus_gallus
ENSCJPP00005026954	ENSCJPG00005020932	Coturnix_japonica
ENSMGAP00000003237	ENSMGAG00000003530	Meleagris_gallopavo
ENSNMEP00000018289	ENSNMEG00000015925	Numida_meleagris
ENSCPRP00005017180	ENSCPRG00005011966	Crocodylus_porosus
ENSCABP00000027360	ENSCABG00000020084	Chelonoidis_abingdonii
ENSGAGP00000011175	ENSGAGG00000008645	Gopherus_agassizii
ENSCPBP00000025010	ENSCPBG00000017793	Chrysemys_picta_bellii
ENSPSIP00000015695	ENSPSIG00000014013	Pelodiscus_sinensis
ENSACAP00000012013	ENSACAG00000012246	Anolis_carolinensis
ENSPVIP00000032217	ENSPVIG00000023626	Pogona_vitticeps
ENSNSUP00000020306	ENSNSUG00000014798	Notechis_scutatus
ENSSMRP00000007542	ENSSMRG00000006055	Salvator_merianae
ENSSPUP00000005604	ENSSPUG00000004319	Sphenodon_punctatus
ENSPCIP00000011739	ENSPCIG00000009386	Phascolarctos_cinereus
ENSVURP00010002329	ENSVURG00010001917	Vombatus_ursinus
ENSMODP00000020238	ENSMODG00000016191	Monodelphis_domestica
ENSMEUP00000004630	ENSMEUG00000005071	Notamacropus_eugenii
ENSSHAP00000014468	ENSSHAG00000012351	Sarcophilus_harrisii
ENSCHIP00000017587	ENSCHIG00000017367	Capra_hircus
ENSOARP00000005163	ENSOARG00000004821	Ovis_aries
ENSBIXP00005010490	ENSBIXG00005015095	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014053	ENSBIXG00000018844	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000011681	ENSBTAG00000008870	Bos_taurus
ENSBMUP00000002428	ENSBMUG00000001930	Bos_mutus
ENSTTRP00000007208	ENSTTRG00000007621	Tursiops_truncatus
ENSSSCP00000027752	ENSSSCG00000007385	Sus_scrofa_strain_reference
ENSVPAP00000004661	ENSVPAG00000005026	Vicugna_pacos
ENSNVIP00000013830	ENSNVIG00000010907	Neovison_vison
ENSMPUP00000017531	ENSMPUG00000017643	Mustela_putorius_furo
ENSUAMP00000022526	ENSUAMG00000017686	Ursus_americanus
ENSCAFP00020017275	ENSCAFG00020013842	Canis_lupus_dingo
