ENSSCAP00000001792	ENSSCAG00000001529	Serinus_canaria
ENSLSDP00000025724	ENSLSDG00000017976	Lonchura_striata_domestica
ENSLCOP00000019581	ENSLCOG00000013869	Lepidothrix_coronata
ENSMVIP00005019164	ENSMVIG00005013598	Manacus_vitellinus
ENSMUNP00000008868	ENSMUNG00000007009	Melopsittacus_undulatus
ENSNMEP00000010996	ENSNMEG00000010357	Numida_meleagris	ENSNMET00000017237
ENSGALP00000068607	ENSGALG00000048007	Gallus_gallus	ENSGALT00000108222
ENSAPLP00000020082	ENSAPLG00000022690	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000003295	ENSAOWG00000002311	Apteryx_owenii
ENSARWP00000013341	ENSARWG00000009260	Apteryx_rowi
ENSAHAP00000026409	ENSAHAG00000018383	Apteryx_haastii
ENSDNVP00000002289	ENSDNVG00000001659	Dromaius_novaehollandiae
ENSNPEP00000016739	ENSNPEG00000012455	Nothoprocta_perdicaria
ENSCABP00000019463	ENSCABG00000014374	Chelonoidis_abingdonii
ENSRNOP00000066712	ENSRNOG00000046440	Rattus_norvegicus
ENSMUGP00000005924	ENSMUGG00000005480	Meriones_unguiculatus
ENSCCNP00000031433	ENSCCNG00000029950	Castor_canadensis
ENSCATP00000002353	ENSCATG00000010254	Cercocebus_atys
ENSPTEP00000004860	ENSPTEG00000005657	Piliocolobus_tephrosceles
ENSPPYP00000015775	ENSPPYG00000014099	Pongo_abelii
ENSANAP00000002786	ENSANAG00000019182	Aotus_nancymaae
ENSCAFP00000062548	ENSCAFG00000042687	Canis_lupus_familiaris
ENSVVUP00000004825	ENSVVUG00000003800	Vulpes_vulpes
ENSUAMP00000000485	ENSUAMG00000000511	Ursus_americanus
ENSBMUP00000009499	ENSBMUG00000007385	Bos_mutus
ENSSHAP00000004969	ENSSHAG00000004353	Sarcophilus_harrisii
ENSEEEP00000020418	ENSEEEG00000009965	Electrophorus_electricus
ENSHHUP00000072639	ENSHHUG00000042637	Hucho_hucho
ENSCMIP00000021007	ENSCMIG00000009646	Callorhinchus_milii
