ENSPCIP00000020461	ENSPCIG00000015574	Phascolarctos_cinereus	ENSPCIT00000025237
ENSVURP00010007885	ENSVURG00010006079	Vombatus_ursinus	ENSVURT00010008941
ENSMEUP00000013483	ENSMEUG00000014773	Notamacropus_eugenii	ENSMEUT00000014812
ENSSHAP00000007669	ENSSHAG00000006662	Sarcophilus_harrisii	ENSSHAT00000007732
ENSMODP00000038345	ENSMODG00000025552	Monodelphis_domestica	ENSMODT00000039945
ENSOCUP00000017360	ENSOCUG00000024872	Oryctolagus_cuniculus	ENSOCUT00000022689
ENSOPRP00000005850	ENSOPRG00000006383	Ochotona_princeps	ENSOPRT00000006382
ENSTSYP00000031603	ENSTSYG00000030368	Carlito_syrichta	ENSTSYT00000026433
ENSSARP00000009304	ENSSARG00000010298	Sorex_araneus	ENSSART00000010287
ENSEEUP00000010836	ENSEEUG00000011854	Erinaceus_europaeus	ENSEEUT00000011872
ENSPCOP00000031427	ENSPCOG00000028492	Propithecus_coquereli	ENSPCOT00000042382
ENSMICP00000015384	ENSMICG00000016878	Microcebus_murinus	ENSMICT00000016882
ENSPSMP00000001695	ENSPSMG00000001288	Prolemur_simus	ENSPSMT00000001982
ENSOGAP00000004486	ENSOGAG00000005020	Otolemur_garnettii	ENSOGAT00000005023
ENSPTRP00000006553	ENSPTRG00000003812	Pan_troglodytes	ENSPTRT00000007103
ENSPPAP00000015906	ENSPPAG00000031069	Pan_paniscus	ENSPPAT00000038599
ENSP00000294244	ENSG00000168005	Homo_sapiens	ENST00000294244
ENSGGOP00000009887	ENSGGOG00000010130	Gorilla_gorilla	ENSGGOT00000010171
ENSPPYP00000003611	ENSPPYG00000003126	Pongo_abelii	ENSPPYT00000003740
ENSNLEP00000005634	ENSNLEG00000004652	Nomascus_leucogenys	ENSNLET00000005926
ENSCANP00000039168	ENSCANG00000043251	Colobus_angolensis_palliatus
ENSPTEP00000015173	ENSPTEG00000016883	Piliocolobus_tephrosceles
ENSRROP00000003411	ENSRROG00000013487	Rhinopithecus_roxellana
ENSRBIP00000019612	ENSRBIG00000033800	Rhinopithecus_bieti
ENSPANP00000007096	ENSPANG00000003833	Papio_anubis
ENSTGEP00000017701	ENSTGEG00000014323	Theropithecus_gelada
ENSCATP00000041216	ENSCATG00000043222	Cercocebus_atys
ENSMLEP00000037056	ENSMLEG00000042638	Mandrillus_leucophaeus
ENSCSAP00000003159	ENSCSAG00000006870	Chlorocebus_sabaeus
ENSMMUP00000052044	ENSMMUG00000018152	Macaca_mulatta
ENSMNEP00000015790	ENSMNEG00000031960	Macaca_nemestrina
ENSMFAP00000004960	ENSMFAG00000002160	Macaca_fascicularis
ENSSBOP00000014132	ENSSBOG00000023825	Saimiri_boliviensis_boliviensis
ENSCJAP00000034118	ENSCJAG00000018418	Callithrix_jacchus
ENSCCAP00000030528	ENSCCAG00000033312	Cebus_capucinus_imitator
ENSANAP00000015913	ENSANAG00000025822	Aotus_nancymaae
ENSCCNP00000027058	ENSCCNG00000026193	Castor_canadensis
ENSDORP00000007385	ENSDORG00000007875	Dipodomys_ordii
ENSMUSP00000025924	ENSMUSG00000024970	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0049922	MGP_SPRETEiJ_G0023547	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000023659	ENSMSIG00000020022	Mus_spicilegus
MGP_CAROLIEiJ_P0047958	MGP_CAROLIEiJ_G0022637	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020964	MGP_PahariEiJ_G0014131	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029940	ENSRNOG00000025061	Rattus_norvegicus
ENSMUGP00000006071	ENSMUGG00000005599	Meriones_unguiculatus
