ENSCPUP00000020568	ENSCPUG00000014085	Calidris_pugnax
ENSCPGP00000005469	ENSCPGG00000003945	Calidris_pygmaea
ENSMUNP00000021171	ENSMUNG00000016032	Melopsittacus_undulatus
ENSPMJP00000004227	ENSPMJG00000003657	Parus_major
ENSCCEP00000011184	ENSCCEG00000010991	Cyanistes_caeruleus
ENSTGUP00000002841	ENSTGUG00000002762	Taeniopygia_guttata
ENSTGUP00000015760	ENSTGUG00000015419	Taeniopygia_guttata
ENSLSDP00000017443	ENSLSDG00000012498	Lonchura_striata_domestica
ENSFALP00000010866	ENSFALG00000010422	Ficedula_albicollis
ENSSCAP00000010338	ENSSCAG00000007845	Serinus_canaria
ENSTGUP00000017975	ENSTGUG00000018468	Taeniopygia_guttata
ENSZALP00000015712	ENSZALG00000012846	Zonotrichia_albicollis
ENSJHYP00000012612	ENSJHYG00000009833	Junco_hyemalis
ENSMVIP00005010199	ENSMVIG00005007497	Manacus_vitellinus
ENSLCOP00000012567	ENSLCOG00000009094	Lepidothrix_coronata
ENSABRP00000002129	ENSABRG00000002122	Anser_brachyrhynchus
ENSAPLP00000025332	ENSAPLG00000012106	Anas_platyrhynchos_platyrhynchos
ENSGALP00000068341	ENSGALG00000008298	Gallus_gallus
ENSMGAP00000006174	ENSMGAG00000006187	Meleagris_gallopavo
ENSCJPP00005005614	ENSCJPG00005005342	Coturnix_japonica
ENSNMEP00000003267	ENSNMEG00000003809	Numida_meleagris
ENSAHAP00000024058	ENSAHAG00000016799	Apteryx_haastii
ENSAOWP00000011750	ENSAOWG00000008069	Apteryx_owenii
ENSARWP00000012090	ENSARWG00000008343	Apteryx_rowi
ENSDNVP00000003231	ENSDNVG00000002291	Dromaius_novaehollandiae
ENSNPEP00000021781	ENSNPEG00000016148	Nothoprocta_perdicaria
ENSCPRP00005021035	ENSCPRG00005014648	Crocodylus_porosus
ENSGAGP00000017590	ENSGAGG00000013064	Gopherus_agassizii
ENSCABP00000017532	ENSCABG00000013019	Chelonoidis_abingdonii
