ENSTTRP00000014831	ENSTTRG00000015653	Tursiops_truncatus
ENSDNOP00000029759	ENSDNOG00000033292	Dasypus_novemcinctus
ENSEEUP00000001340	ENSEEUG00000001485	Erinaceus_europaeus
ENSCHIP00000004343	ENSCHIG00000008544	Capra_hircus	ENSCHIT00000011759
ENSCPOP00000002452	ENSCPOG00000002701	Cavia_porcellus
ENSOPRP00000013799	ENSOPRG00000015122	Ochotona_princeps
ENSHGLP00100015868	ENSHGLG00100011718	Heterocephalus_glaber_HetGla_1.0
ENSMAUP00000012405	ENSMAUG00000012725	Mesocricetus_auratus
ENSBIXP00005007910	ENSBIXG00005013084	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEASP00005017554	ENSEASG00005012133	Equus_asinus_asinus
ENSPCOP00000013596	ENSPCOG00000018432	Propithecus_coquereli
ENSSTOP00000013812	ENSSTOG00000015422	Ictidomys_tridecemlineatus
ENSCAFP00000034092	ENSCAFG00000011947	Canis_lupus_familiaris
ENSMICP00000013258	ENSMICG00000014550	Microcebus_murinus
ENSOARP00000018884	ENSOARG00000017598	Ovis_aries	ENSOART00000019152
ENSBTAP00000015939	ENSBTAG00000012023	Bos_taurus	ENSBTAT00000015939
ENSNGAP00000009275	ENSNGAG00000011994	Nannospalax_galili
ENSBTAP00000069721	ENSBTAG00000050752	Bos_taurus	ENSBTAT00000068263
ENSAMEP00000014635	ENSAMEG00000013875	Ailuropoda_melanoleuca
ENSPTIP00000002643	ENSPTIG00000005600	Panthera_tigris_altaica
ENSBMUP00000002766	ENSBMUG00000002178	Bos_mutus
ENSVPAP00000000043	ENSVPAG00000000049	Vicugna_pacos
ENSCLAP00000012238	ENSCLAG00000008444	Chinchilla_lanigera
ENSUAMP00000015463	ENSUAMG00000012378	Ursus_americanus
ENSETEP00000012497	ENSETEG00000015415	Echinops_telfairi
ENSMLUP00000015857	ENSMLUG00000017389	Myotis_lucifugus
ENSNVIP00000018187	ENSNVIG00000014238	Neovison_vison
ENSJJAP00000000045	ENSJJAG00000000066	Jaculus_jaculus
ENSUMAP00000026556	ENSUMAG00000019316	Ursus_maritimus
ENSPSMP00000022466	ENSPSMG00000015883	Prolemur_simus
ENSDORP00000012805	ENSDORG00000013621	Dipodomys_ordii
ENSECAP00000007169	ENSECAG00000009019	Equus_caballus
ENSTSYP00000000592	ENSTSYG00000000642	Carlito_syrichta
ENSCAFP00020003699	ENSCAFG00020003096	Canis_lupus_dingo
ENSODEP00000011890	ENSODEG00000008830	Octodon_degus
ENSFDAP00000013216	ENSFDAG00000020528	Fukomys_damarensis
ENSMOCP00000003139	ENSMOCG00000002495	Microtus_ochrogaster
ENSCGRP00015010658	ENSCGRG00015008209	Cricetulus_griseus_CriGri-PICR
ENSCHOP00000007422	ENSCHOG00000008399	Choloepus_hoffmanni
ENSPPRP00000023492	ENSPPRG00000013752	Panthera_pardus
ENSMPUP00000001250	ENSMPUG00000001261	Mustela_putorius_furo
ENSFCAP00000017278	ENSFCAG00000027268	Felis_catus
ENSVVUP00000027412	ENSVVUG00000020135	Vulpes_vulpes
ENSOGAP00000005913	ENSOGAG00000006612	Otolemur_garnettii
ENSBMUP00000014178	ENSBMUG00000010796	Bos_mutus
ENSPCAP00000014666	ENSPCAG00000015713	Procavia_capensis
ENSCGRP00001008669	ENSCGRG00001010912	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006819	ENSCGRG00000004970	Cricetulus_griseus_CriGri_1.0
ENSLAFP00000013320	ENSLAFG00000015887	Loxodonta_africana
ENSSSCP00000001283	ENSSSCG00000001214	Sus_scrofa_strain_reference
ENSHGLP00000010294	ENSHGLG00000007387	Heterocephalus_glaber_HetGla_female_1.0
ENSEEUP00000006460	ENSEEUG00000007098	Erinaceus_europaeus
