ENSP00000296871	ENSG00000164400	Homo_sapiens
ENSGGOP00000001029	ENSGGOG00000001046	Gorilla_gorilla
ENSPPAP00000036895	ENSPPAG00000041208	Pan_paniscus
ENSPTRP00000029448	ENSPTRG00000017212	Pan_troglodytes
ENSPPYP00000017620	ENSPPYG00000015754	Pongo_abelii
ENSNLEP00000015334	ENSNLEG00000012626	Nomascus_leucogenys
ENSMMUP00000022240	ENSMMUG00000016915	Macaca_mulatta
ENSMFAP00000012442	ENSMFAG00000024344	Macaca_fascicularis
ENSCATP00000039017	ENSCATG00000042168	Cercocebus_atys
ENSMNEP00000027458	ENSMNEG00000037130	Macaca_nemestrina
ENSCSAP00000010001	ENSCSAG00000013872	Chlorocebus_sabaeus
ENSTGEP00000022919	ENSTGEG00000018549	Theropithecus_gelada
ENSPANP00000003147	ENSPANG00000010837	Papio_anubis
ENSMLEP00000026292	ENSMLEG00000037348	Mandrillus_leucophaeus
ENSPTEP00000002103	ENSPTEG00000002419	Piliocolobus_tephrosceles
ENSCANP00000012163	ENSCANG00000029468	Colobus_angolensis_palliatus
ENSRBIP00000027650	ENSRBIG00000037698	Rhinopithecus_bieti
ENSRROP00000037303	ENSRROG00000042074	Rhinopithecus_roxellana
ENSCJAP00000023694	ENSCJAG00000012924	Callithrix_jacchus
ENSSBOP00000004313	ENSSBOG00000018675	Saimiri_boliviensis_boliviensis
ENSCCAP00000032934	ENSCCAG00000034506	Cebus_capucinus_imitator
ENSANAP00000004278	ENSANAG00000020243	Aotus_nancymaae
ENSTSYP00000007992	ENSTSYG00000008725	Carlito_syrichta
ENSOGAP00000009364	ENSOGAG00000010462	Otolemur_garnettii
ENSDORP00000001772	ENSDORG00000001889	Dipodomys_ordii
ENSCCNP00000009433	ENSCCNG00000009950	Castor_canadensis
ENSHGLP00000024379	ENSHGLG00000017379	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000251	ENSHGLG00100000216	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018263	ENSFDAG00000009971	Fukomys_damarensis
ENSCLAP00000021231	ENSCLAG00000014543	Chinchilla_lanigera
ENSODEP00000012803	ENSODEG00000009473	Octodon_degus
ENSCAPP00000006806	ENSCAPG00000008892	Cavia_aperea
ENSCPOP00000015585	ENSCPOG00000014074	Cavia_porcellus
MGP_SPRETEiJ_P0028064	MGP_SPRETEiJ_G0017196	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0028064
