ENSGGOP00000014240	ENSGGOG00000014596	Gorilla_gorilla
ENSCGRP00001022505	ENSCGRG00001021029	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUSP00000041543	ENSMUSG00000034171	Mus_musculus_strain_reference_(CL57BL6)
ENSCLAP00000006983	ENSCLAG00000004917	Chinchilla_lanigera
ENSSDAP00000003840	ENSSDAG00000003545	Spermophilus_dauricus
ENSANAP00000001455	ENSANAG00000012697	Aotus_nancymaae
ENSCAPP00000003296	ENSCAPG00000006103	Cavia_aperea
ENSBTAP00000069157	ENSBTAG00000007507	Bos_taurus
ENSPPYP00000001617	ENSPPYG00000001395	Pongo_abelii
ENSLSDP00000017807	ENSLSDG00000012719	Lonchura_striata_domestica
ENSCABP00000014920	ENSCABG00000011142	Chelonoidis_abingdonii
ENSCCAP00000024137	ENSCCAG00000029850	Cebus_capucinus_imitator
ENSGALP00000060654	ENSGALG00000010433	Gallus_gallus
ENSCPGP00000015128	ENSCPGG00000010684	Calidris_pygmaea
ENSDNVP00000012962	ENSDNVG00000009168	Dromaius_novaehollandiae
ENSFHEP00000022727	ENSFHEG00000003280	Fundulus_heteroclitus
ENSRROP00000039213	ENSRROG00000042930	Rhinopithecus_roxellana
ENSCSAP00000016781	ENSCSAG00000001233	Chlorocebus_sabaeus
ENSUMAP00000032715	ENSUMAG00000023571	Ursus_maritimus
ENSFDAP00000013458	ENSFDAG00000000105	Fukomys_damarensis
ENSSTOP00000010457	ENSSTOG00000011655	Ictidomys_tridecemlineatus
MGP_SPRETEiJ_P0066215	MGP_SPRETEiJ_G0027293	Mus_spretus_strain_SPRET/EiJ
ENSPPAP00000018762	ENSPPAG00000032528	Pan_paniscus
ENSCANP00000017142	ENSCANG00000032027	Colobus_angolensis_palliatus
ENSPCOP00000021039	ENSPCOG00000022513	Propithecus_coquereli
ENSMAUP00000001517	ENSMAUG00000001088	Mesocricetus_auratus
ENSMUNP00000014077	ENSMUNG00000010966	Melopsittacus_undulatus
ENSMOCP00000017384	ENSMOCG00000015993	Microtus_ochrogaster
ENSRNOP00000015667	ENSRNOG00000045949	Rattus_norvegicus
ENSSBOP00000002960	ENSSBOG00000014904	Saimiri_boliviensis_boliviensis
ENSVVUP00000009650	ENSVVUG00000007135	Vulpes_vulpes
ENSBMUP00000025072	ENSBMUG00000018835	Bos_mutus
ENSPSMP00000019027	ENSPSMG00000013423	Prolemur_simus
ENSLCOP00000000309	ENSLCOG00000000287	Lepidothrix_coronata
ENSOARP00000002616	ENSOARG00000002455	Ovis_aries
ENSTGEP00000001086	ENSTGEG00000001030	Theropithecus_gelada
ENSEEUP00000013045	ENSEEUG00000014285	Erinaceus_europaeus
ENSTSYP00000012178	ENSTSYG00000013271	Carlito_syrichta
