ENSEASP00005000820	ENSEASG00005000725	Equus_asinus_asinus
ENSDNVP00000004228	ENSDNVG00000003003	Dromaius_novaehollandiae
ENSPCAP00000002955	ENSPCAG00000003143	Procavia_capensis
ENSLOCP00000010531	ENSLOCG00000008658	Lepisosteus_oculatus
ENSLCAP00010019753	ENSLCAG00010009329	Lates_calcarifer
ENSCCNP00000021509	ENSCCNG00000021275	Castor_canadensis
ENSCGOP00000034161	ENSCGOG00000015850	Cottoperca_gobio
ENSBMUP00000036095	ENSBMUG00000026806	Bos_mutus
ENSJJAP00000006227	ENSJJAG00000010946	Jaculus_jaculus
ENSSHAP00000013752	ENSSHAG00000011761	Sarcophilus_harrisii
ENSTTRP00000010598	ENSTTRG00000011177	Tursiops_truncatus
ENSIPUP00000000027	ENSIPUG00000000049	Ictalurus_punctatus
ENSOPRP00000003662	ENSOPRG00000003982	Ochotona_princeps
ENSPREP00000022776	ENSPREG00000015382	Poecilia_reticulata
ENSFCAP00000011677	ENSFCAG00000012586	Felis_catus
ENSGMOP00000016479	ENSGMOG00000015389	Gadus_morhua
ENSOMEP00000023906	ENSOMEG00000004232	Oryzias_melastigma
ENSCPOP00000030513	ENSCPOG00000034503	Cavia_porcellus
ENSPPAP00000005107	ENSPPAG00000021279	Pan_paniscus
ENSANAP00000008235	ENSANAG00000022154	Aotus_nancymaae
ENSSSCP00000006994	ENSSSCG00000006560	Sus_scrofa_strain_reference
ENSMNEP00000039741	ENSMNEG00000042788	Macaca_nemestrina
ENSPMAP00000004728	ENSPMAG00000004309	Petromyzon_marinus
ENSGAGP00000000964	ENSGAGG00000000785	Gopherus_agassizii	ENSGAGT00000001089
ENSCATP00000011493	ENSCATG00000029955	Cercocebus_atys
ENSAOWP00000009869	ENSAOWG00000006765	Apteryx_owenii	ENSAOWT00000011198
ENSSPUP00000004566	ENSSPUG00000003512	Sphenodon_punctatus
ENSSARP00000010447	ENSSARG00000011575	Sorex_araneus
ENSACIP00000005371	ENSACIG00000004232	Amphilophus_citrinellus
ENSCPRP00005003451	ENSCPRG00005002531	Crocodylus_porosus
ENSSTOP00000013013	ENSSTOG00000014516	Ictidomys_tridecemlineatus
ENSFDAP00000017613	ENSFDAG00000006155	Fukomys_damarensis
ENSECAP00000015241	ENSECAG00000017552	Equus_caballus
ENSUMAP00000027951	ENSUMAG00000020311	Ursus_maritimus
ENSAPOP00000027024	ENSAPOG00000011286	Acanthochromis_polyacanthus
ENSCCAP00000026971	ENSCCAG00000031305	Cebus_capucinus_imitator
ENSXCOP00000027812	ENSXCOG00000020736	Xiphophorus_couchianus
ENSELUP00000031180	ENSELUG00000008632	Esox_lucius
ENSLAFP00000014983	ENSLAFG00000017875	Loxodonta_africana
ENSLACP00000007517	ENSLACG00000006665	Latimeria_chalumnae
ENSPPYP00000000927	ENSPPYG00000000792	Pongo_abelii
ENSVVUP00000039792	ENSVVUG00000028345	Vulpes_vulpes
ENSPTEP00000038240	ENSPTEG00000035599	Piliocolobus_tephrosceles
ENSEEEP00000010544	ENSEEEG00000005333	Electrophorus_electricus
ENSSDUP00000019061	ENSSDUG00000013910	Seriola_dumerili
ENSODEP00000017644	ENSODEG00000013013	Octodon_degus
ENSNBRP00000010534	ENSNBRG00000008219	Neolamprologus_brichardi
ENSMAUP00000005243	ENSMAUG00000007210	Mesocricetus_auratus
ENSHGLP00000007125	ENSHGLG00000005202	Heterocephalus_glaber_HetGla_female_1.0
ENSAMXP00005050298	ENSAMXG00005022856	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNVIP00000022170	ENSNVIG00000017267	Neovison_vison
ENSORLP00015013905	ENSORLG00015014824	Oryzias_latipes_ASM223469v1
ENSPRNP00000027690	ENSPRNG00000013822	Parambassis_ranga
ENSNGAP00000011780	ENSNGAG00000013822	Nannospalax_galili
ENSONIP00000001960	ENSONIG00000001567	Oreochromis_niloticus
ENSSMRP00000000937	ENSSMRG00000000782	Salvator_merianae
ENSDCDP00000044510	ENSDCDG00000028259	Denticeps_clupeoides
ENSKMAP00000008585	ENSKMAG00000006449	Kryptolebias_marmoratus
ENSUPAP00010019109	ENSUPAG00010015154	Urocitellus_parryii
