ENSSARP00000006568	ENSSARG00000007259	Sorex_araneus
ENSOPRP00000002997	ENSOPRG00000003273	Ochotona_princeps
ENSECAP00000025842	ENSECAG00000013258	Equus_caballus
ENSEASP00005015529	ENSEASG00005010833	Equus_asinus_asinus
ENSEEUP00000013727	ENSEEUG00000015047	Erinaceus_europaeus
ENSEEUP00000011434	ENSEEUG00000012568	Erinaceus_europaeus
ENSTTRP00000013428	ENSTTRG00000014159	Tursiops_truncatus
ENSVPAP00000000314	ENSVPAG00000000338	Vicugna_pacos
ENSSSCP00000014055	ENSSSCG00000013227	Sus_scrofa_strain_reference
ENSUAMP00000000138	ENSUAMG00000000188	Ursus_americanus
ENSUMAP00000012385	ENSUMAG00000009210	Ursus_maritimus
ENSAMEP00000008050	ENSAMEG00000007634	Ailuropoda_melanoleuca
ENSNVIP00000012828	ENSNVIG00000010139	Neovison_vison
ENSMPUP00000003901	ENSMPUG00000003932	Mustela_putorius_furo
ENSCAFP00000012369	ENSCAFG00000008415	Canis_lupus_familiaris
ENSCAFP00020032886	ENSCAFG00020025561	Canis_lupus_dingo
ENSVVUP00000032270	ENSVVUG00000023426	Vulpes_vulpes
ENSPPRP00000003627	ENSPPRG00000022635	Panthera_pardus
ENSPTIP00000003510	ENSPTIG00000006244	Panthera_tigris_altaica
ENSFCAP00000008810	ENSFCAG00000009499	Felis_catus
ENSPVAP00000006928	ENSPVAG00000007342	Pteropus_vampyrus
ENSMLUP00000006144	ENSMLUG00000006745	Myotis_lucifugus
ENSPEMP00000002094	ENSPEMG00000001992	Peromyscus_maniculatus_bairdii
ENSMOCP00000025774	ENSMOCG00000021780	Microtus_ochrogaster
ENSCGRP00001026674	ENSCGRG00001023919	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021185	ENSCGRG00000015386	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015029355	ENSCGRG00015022131	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008231	ENSMAUG00000009694	Mesocricetus_auratus
ENSMSIP00000032997	ENSMSIG00000027623	Mus_spicilegus
MGP_SPRETEiJ_P0055050	MGP_SPRETEiJ_G0024858	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000107089	ENSMUSG00000005505	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0052965	MGP_CAROLIEiJ_G0023948	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063950	MGP_PahariEiJ_G0025384	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071649	ENSRNOG00000009397	Rattus_norvegicus
ENSMUGP00000016788	ENSMUGG00000014354	Meriones_unguiculatus
ENSNGAP00000000357	ENSNGAG00000000276	Nannospalax_galili
ENSJJAP00000019620	ENSJJAG00000020543	Jaculus_jaculus
ENSDORP00000014675	ENSDORG00000015593	Dipodomys_ordii
ENSCCNP00000021107	ENSCCNG00000020973	Castor_canadensis
ENSUPAP00010017656	ENSUPAG00010014056	Urocitellus_parryii
ENSSTOP00000020978	ENSSTOG00000020864	Ictidomys_tridecemlineatus
ENSMMMP00000017650	ENSMMMG00000015654	Marmota_marmota_marmota
