ENSMEUP00000011811	ENSMEUG00000012962	Notamacropus_eugenii
ENSMODP00000045559	ENSMODG00000042591	Monodelphis_domestica
ENSSHAP00000005646	ENSSHAG00000004934	Sarcophilus_harrisii
ENSPCIP00000040683	ENSPCIG00000029776	Phascolarctos_cinereus
ENSVURP00010031718	ENSVURG00010024240	Vombatus_ursinus
ENSSHAP00000010722	ENSSHAG00000009246	Sarcophilus_harrisii
ENSSHAP00000017911	ENSSHAG00000015205	Sarcophilus_harrisii
ENSCCNP00000020566	ENSCCNG00000020491	Castor_canadensis
ENSMUGP00000017740	ENSMUGG00000015066	Meriones_unguiculatus
ENSCPOP00000032930	ENSCPOG00000020078	Cavia_porcellus
ENSCPBP00000015663	ENSCPBG00000011558	Chrysemys_picta_bellii
ENSGAGP00000015025	ENSGAGG00000010963	Gopherus_agassizii
ENSGAGP00000001758	ENSGAGG00000001402	Gopherus_agassizii
ENSCABP00000017088	ENSCABG00000012650	Chelonoidis_abingdonii
ENSCPBP00000013526	ENSCPBG00000010112	Chrysemys_picta_bellii
ENSCABP00000020799	ENSCABG00000015334	Chelonoidis_abingdonii
ENSPSIP00000014927	ENSPSIG00000013223	Pelodiscus_sinensis
ENSGAGP00000010139	ENSGAGG00000007946	Gopherus_agassizii
ENSCABP00000020822	ENSCABG00000015344	Chelonoidis_abingdonii
ENSCPBP00000011107	ENSCPBG00000008486	Chrysemys_picta_bellii
ENSCPBP00000015136	ENSCPBG00000011180	Chrysemys_picta_bellii
ENSCPBP00000017440	ENSCPBG00000012777	Chrysemys_picta_bellii
ENSGAGP00000010073	ENSGAGG00000007882	Gopherus_agassizii
ENSPVIP00000007287	ENSPVIG00000005978	Pogona_vitticeps
ENSACAP00000009669	ENSACAG00000009841	Anolis_carolinensis
ENSNSUP00000023172	ENSNSUG00000016776	Notechis_scutatus
ENSACAP00000011991	ENSACAG00000012230	Anolis_carolinensis
ENSSMRP00000005735	ENSSMRG00000004635	Salvator_merianae
ENSSFOP00015037680	ENSSFOG00015023982	Scleropages_formosus
ENSPKIP00000033039	ENSPKIG00000012890	Paramormyrops_kingsleyae
ENSPKIP00000037081	ENSPKIG00000015402	Paramormyrops_kingsleyae
ENSAMXP00000042699	ENSAMXG00000017190	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001681	ENSAMXG00005000935	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000009275	ENSPNAG00000014834	Pygocentrus_nattereri
ENSIPUP00000011233	ENSIPUG00000007588	Ictalurus_punctatus
ENSDARP00000135348	ENSDARG00000100349	Danio_rerio
ENSCHAP00000000290	ENSCHAG00000000138	Clupea_harengus
ENSDCDP00000018366	ENSDCDG00000009970	Denticeps_clupeoides
ENSTRUP00000051881	ENSTRUG00000022068	Takifugu_rubripes
ENSTNIP00000013350	ENSTNIG00000010443	Tetraodon_nigroviridis
ENSCSEP00000014586	ENSCSEG00000009350	Cynoglossus_semilaevis
ENSPFOP00000002298	ENSPFOG00000002308	Poecilia_formosa
ENSPLAP00000020103	ENSPLAG00000002748	Poecilia_latipinna
ENSPMEP00000019906	ENSPMEG00000022987	Poecilia_mexicana
ENSPREP00000006192	ENSPREG00000004308	Poecilia_reticulata
ENSXMAP00000025596	ENSXMAG00000022645	Xiphophorus_maculatus
ENSGAFP00000017658	ENSGAFG00000011941	Gambusia_affinis
ENSFHEP00000029760	ENSFHEG00000014659	Fundulus_heteroclitus
ENSCVAP00000019914	ENSCVAG00000023388	Cyprinodon_variegatus
