ENSXETP00000036046	ENSXETG00000013770	Xenopus_tropicalis
ENSLACP00000001909	ENSLACG00000001706	Latimeria_chalumnae
ENSGAGP00000036146	ENSGAGG00000025618	Gopherus_agassizii
ENSCABP00000028344	ENSCABG00000020786	Chelonoidis_abingdonii
ENSCPBP00000028875	ENSCPBG00000020367	Chrysemys_picta_bellii
ENSPSIP00000007679	ENSPSIG00000006975	Pelodiscus_sinensis
ENSJHYP00000010644	ENSJHYG00000008361	Junco_hyemalis
ENSZALP00000019981	ENSZALG00000015769	Zonotrichia_albicollis
ENSSCAP00000009440	ENSSCAG00000007175	Serinus_canaria
ENSTGUP00000006039	ENSTGUG00000005866	Taeniopygia_guttata
ENSLSDP00000018351	ENSLSDG00000013091	Lonchura_striata_domestica
ENSFALP00000006815	ENSFALG00000006535	Ficedula_albicollis
ENSPMJP00000026042	ENSPMJG00000019048	Parus_major
ENSCCEP00000006165	ENSCCEG00000006651	Cyanistes_caeruleus
ENSLCOP00000015481	ENSLCOG00000011048	Lepidothrix_coronata
ENSCPGP00000010918	ENSCPGG00000007721	Calidris_pygmaea
ENSCPUP00000029934	ENSCPUG00000020050	Calidris_pugnax
ENSMGAP00000005487	ENSMGAG00000005561	Meleagris_gallopavo
ENSGALP00000004984	ENSGALG00000003155	Gallus_gallus
ENSMVIP00005015161	ENSMVIG00005010915	Manacus_vitellinus
ENSNMEP00000017980	ENSNMEG00000015658	Numida_meleagris
ENSMUNP00000005618	ENSMUNG00000004598	Melopsittacus_undulatus
ENSAHAP00000019822	ENSAHAG00000013974	Apteryx_haastii
ENSARWP00000021070	ENSARWG00000014398	Apteryx_rowi
ENSDNVP00000012029	ENSDNVG00000008489	Dromaius_novaehollandiae
ENSNPEP00000000990	ENSNPEG00000000787	Nothoprocta_perdicaria
ENSSPUP00000009178	ENSSPUG00000007144	Sphenodon_punctatus
ENSSPUP00000009167	ENSSPUG00000007127	Sphenodon_punctatus
ENSPCIP00000011702	ENSPCIG00000009360	Phascolarctos_cinereus
ENSVURP00010010168	ENSVURG00010007849	Vombatus_ursinus
ENSMEUP00000014449	ENSMEUG00000015820	Notamacropus_eugenii
ENSSHAP00000013258	ENSSHAG00000011336	Sarcophilus_harrisii
ENSMODP00000013323	ENSMODG00000010639	Monodelphis_domestica
ENSOPRP00000005354	ENSOPRG00000005839	Ochotona_princeps
