ENSLOCP00000013736	ENSLOCG00000011181	Lepisosteus_oculatus	ENSLOCT00000013765
ENSPKIP00000011400	ENSPKIG00000018509	Paramormyrops_kingsleyae	ENSPKIT00000023342
ENSECRP00000011134	ENSECRG00000007409	Erpetoichthys_calabaricus	ENSECRT00000011316
ENSACAP00000002042	ENSACAG00000002113	Anolis_carolinensis
ENSPVIP00000023451	ENSPVIG00000017731	Pogona_vitticeps
ENSSMRP00000025123	ENSSMRG00000019435	Salvator_merianae
ENSSPUP00000012733	ENSSPUG00000009785	Sphenodon_punctatus
ENSGAGP00000014020	ENSGAGG00000010673	Gopherus_agassizii
ENSCABP00000030519	ENSCABG00000022303	Chelonoidis_abingdonii
ENSCPBP00000034653	ENSCPBG00000024171	Chrysemys_picta_bellii
ENSPSIP00000018779	ENSPSIG00000016679	Pelodiscus_sinensis
ENSLCOP00000009991	ENSLCOG00000007258	Lepidothrix_coronata
ENSMVIP00005028556	ENSMVIG00005019868	Manacus_vitellinus
ENSSCAP00000017925	ENSSCAG00000013000	Serinus_canaria
ENSZALP00000009098	ENSZALG00000007853	Zonotrichia_albicollis
ENSLSDP00000000515	ENSLSDG00000000427	Lonchura_striata_domestica
ENSTGUP00000000111	ENSTGUG00000000103	Taeniopygia_guttata
ENSFALP00000001029	ENSFALG00000000986	Ficedula_albicollis
ENSPMJP00000004339	ENSPMJG00000003742	Parus_major
ENSCCEP00000019224	ENSCCEG00000017474	Cyanistes_caeruleus
ENSCPGP00000014347	ENSCPGG00000010153	Calidris_pygmaea
ENSCPUP00000026447	ENSCPUG00000017804	Calidris_pugnax
ENSGALP00000024674	ENSGALG00000015315	Gallus_gallus
ENSCJPP00005014418	ENSCJPG00005012043	Coturnix_japonica
ENSMGAP00000007148	ENSMGAG00000007056	Meleagris_gallopavo
ENSNMEP00000001970	ENSNMEG00000002508	Numida_meleagris
ENSABRP00000001066	ENSABRG00000001135	Anser_brachyrhynchus
ENSAPLP00000004853	ENSAPLG00000005302	Anas_platyrhynchos_platyrhynchos
ENSARWP00000000639	ENSARWG00000000544	Apteryx_rowi
ENSAHAP00000017042	ENSAHAG00000012161	Apteryx_haastii
ENSAOWP00000007922	ENSAOWG00000005437	Apteryx_owenii
ENSDNVP00000025950	ENSDNVG00000018059	Dromaius_novaehollandiae
ENSVURP00010022414	ENSVURG00010017158	Vombatus_ursinus
ENSVURP00010003491	ENSVURG00010002803	Vombatus_ursinus
ENSPCIP00000038046	ENSPCIG00000028007	Phascolarctos_cinereus
ENSMEUP00000002784	ENSMEUG00000003053	Notamacropus_eugenii
ENSSHAP00000006214	ENSSHAG00000005409	Sarcophilus_harrisii
ENSMODP00000015699	ENSMODG00000012543	Monodelphis_domestica
ENSPSMP00000034371	ENSPSMG00000023675	Prolemur_simus
ENSMICP00000021723	ENSMICG00000029235	Microcebus_murinus
ENSPCOP00000012312	ENSPCOG00000017721	Propithecus_coquereli
ENSOGAP00000018254	ENSOGAG00000034933	Otolemur_garnettii
ENSPPAP00000014279	ENSPPAG00000030288	Pan_paniscus
ENSPTRP00000063991	ENSPTRG00000048088	Pan_troglodytes
ENSP00000344208	ENSG00000106785	Homo_sapiens
ENSPPYP00000021775	ENSPPYG00000019432	Pongo_abelii
ENSNLEP00000020583	ENSNLEG00000016948	Nomascus_leucogenys
ENSRBIP00000040283	ENSRBIG00000043569	Rhinopithecus_bieti
ENSRROP00000012793	ENSRROG00000030693	Rhinopithecus_roxellana
