ENSACLP00000030261	ENSACLG00000020505	Astatotilapia_calliptera
ENSBBBP00000010570	ENSBBBG00000004646	Bison_bison_bison
ENSACIP00000003249	ENSACIG00000002566	Amphilophus_citrinellus
ENSLCRP00005060593	ENSLCRG00005022388	Larimichthys_crocea
ENSCGRP00000019927	ENSCGRG00000014507	Cricetulus_griseus_CriGri_1.0
ENSDNVP00000006539	ENSDNVG00000004687	Dromaius_novaehollandiae
ENSSBOP00000017716	ENSSBOG00000025500	Saimiri_boliviensis_boliviensis
ENSMNEP00000037079	ENSMNEG00000041620	Macaca_nemestrina
ENSPANP00000018072	ENSPANG00000006450	Papio_anubis
ENSRBIP00000018041	ENSRBIG00000033014	Rhinopithecus_bieti
ENSPEMP00000017321	ENSPEMG00000016273	Peromyscus_maniculatus_bairdii
ENSCATP00000018452	ENSCATG00000033055	Cercocebus_atys
ENSMODP00000013833	ENSMODG00000011046	Monodelphis_domestica
ENSDNOP00000007570	ENSDNOG00000009775	Dasypus_novemcinctus
ENSUMAP00000004248	ENSUMAG00000003446	Ursus_maritimus
ENSMZEP00005018343	ENSMZEG00005013776	Maylandia_zebra
ENSGAGP00000001065	ENSGAGG00000000860	Gopherus_agassizii	ENSGAGT00000001200
ENSOMEP00000028194	ENSOMEG00000011149	Oryzias_melastigma
ENSMICP00000008177	ENSMICG00000008976	Microcebus_murinus
ENSSTOP00000003938	ENSSTOG00000004392	Ictidomys_tridecemlineatus
ENSVPAP00000011432	ENSVPAG00000012299	Vicugna_pacos
ENSPMEP00000015484	ENSPMEG00000018006	Poecilia_mexicana
ENSNVIP00000003753	ENSNVIG00000002960	Neovison_vison
ENSPVAP00000008085	ENSPVAG00000008558	Pteropus_vampyrus
ENSCABP00000011480	ENSCABG00000008406	Chelonoidis_abingdonii
ENSPCIP00000004353	ENSPCIG00000003617	Phascolarctos_cinereus
ENSHHUP00000079321	ENSHHUG00000046243	Hucho_hucho
ENSXETP00000035848	ENSXETG00000013886	Xenopus_tropicalis
ENSONIP00000021311	ENSONIG00000016901	Oreochromis_niloticus
ENSHBUP00000025497	ENSHBUG00000007515	Haplochromis_burtoni
ENSCAFP00020027530	ENSCAFG00020021618	Canis_lupus_dingo
ENSSDAP00000016180	ENSSDAG00000014606	Spermophilus_dauricus
ENSGWIP00000047931	ENSGWIG00000023552	Gouania_willdenowi
ENSCVAP00000012951	ENSCVAG00000015433	Cyprinodon_variegatus
ENSMSIP00000013806	ENSMSIG00000011896	Mus_spicilegus
ENSGGOP00000013966	ENSGGOG00000014321	Gorilla_gorilla
ENSEEUP00000013587	ENSEEUG00000014888	Erinaceus_europaeus
ENSFCAP00000053585	ENSFCAG00000039381	Felis_catus
ENSCMIP00000024099	ENSCMIG00000010706	Callorhinchus_milii
ENSUPAP00010000744	ENSUPAG00010000594	Urocitellus_parryii
ENSDORP00000014835	ENSDORG00000015768	Dipodomys_ordii
ENSATEP00000002597	ENSATEG00000001813	Anabas_testudineus
ENSHGLP00000012411	ENSHGLG00000008868	Heterocephalus_glaber_HetGla_female_1.0
ENSMFAP00000011018	ENSMFAG00000011788	Macaca_fascicularis
ENSHGLP00100020591	ENSHGLG00100015176	Heterocephalus_glaber_HetGla_1.0
ENSNLEP00000026259	ENSNLEG00000011903	Nomascus_leucogenys
ENSNPEP00000003950	ENSNPEG00000002976	Nothoprocta_perdicaria
ENSLBEP00000035242	ENSLBEG00000026454	Labrus_bergylta
ENSPPAP00000020071	ENSPPAG00000033244	Pan_paniscus
ENSSLDP00000024145	ENSSLDG00000018830	Seriola_lalandi_dorsalis
ENSOGAP00000007185	ENSOGAG00000008030	Otolemur_garnettii
ENSAHAP00000027972	ENSAHAG00000019440	Apteryx_haastii
ENSXMAP00000024273	ENSXMAG00000003219	Xiphophorus_maculatus
ENSCPGP00000001874	ENSCPGG00000001378	Calidris_pygmaea
ENSSDAP00000016194	ENSSDAG00000014646	Spermophilus_dauricus
ENSPCAP00000012214	ENSPCAG00000013072	Procavia_capensis
ENSOARP00000005125	ENSOARG00000004784	Ovis_aries
ENSVURP00010002415	ENSVURG00010001983	Vombatus_ursinus
ENSOCUP00000003246	ENSOCUG00000003746	Oryctolagus_cuniculus
ENSSHAP00000004676	ENSSHAG00000004105	Sarcophilus_harrisii
ENSAMXP00000045454	ENSAMXG00000036929	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAPP00000011548	ENSCAPG00000012583	Cavia_aperea
ENSCCNP00000008403	ENSCCNG00000008888	Castor_canadensis
ENSMAUP00000012121	ENSMAUG00000012508	Mesocricetus_auratus
ENSPNAP00000012189	ENSPNAG00000017921	Pygocentrus_nattereri
ENSOPRP00000007010	ENSOPRG00000007652	Ochotona_princeps
