ENSMNEP00000005207	ENSMNEG00000023733	Macaca_nemestrina	ENSMNET00000025965
ENSMFAP00000010241	ENSMFAG00000006585	Macaca_fascicularis	ENSMFAT00000039711
ENSMLEP00000006913	ENSMLEG00000027378	Mandrillus_leucophaeus	ENSMLET00000030166
ENSCATP00000005270	ENSCATG00000017526	Cercocebus_atys	ENSCATT00000020028
ENSTGEP00000012358	ENSTGEG00000010076	Theropithecus_gelada	ENSTGET00000014853
ENSPANP00000037087	ENSPANG00000033872	Papio_anubis	ENSPANT00000031967
ENSRROP00000006980	ENSRROG00000026794	Rhinopithecus_roxellana	ENSRROT00000029943
ENSRBIP00000004620	ENSRBIG00000021086	Rhinopithecus_bieti	ENSRBIT00000023141
ENSCANP00000003509	ENSCANG00000012590	Colobus_angolensis_palliatus
ENSPTEP00000038507	ENSPTEG00000035799	Piliocolobus_tephrosceles
ENSPPAP00000034326	ENSPPAG00000040005	Pan_paniscus
ENSPTRP00000077646	ENSPTRG00000043358	Pan_troglodytes
ENSGGOP00000044532	ENSGGOG00000036412	Gorilla_gorilla
ENSPTRP00000085064	ENSPTRG00000045955	Pan_troglodytes
ENSPPAP00000015113	ENSPPAG00000030714	Pan_paniscus
ENSGGOP00000038585	ENSGGOG00000043420	Gorilla_gorilla
ENSNLEP00000027870	ENSNLEG00000032084	Nomascus_leucogenys
ENSMICP00000031365	ENSMICG00000026511	Microcebus_murinus
ENSVVUP00000033813	ENSVVUG00000024422	Vulpes_vulpes
ENSCAFP00020026244	ENSCAFG00020020614	Canis_lupus_dingo
