ENSPPAP00000005077	ENSPPAG00000021161	Pan_paniscus
ENSPTRP00000047608	ENSPTRG00000028383	Pan_troglodytes
ENSP00000380675	ENSG00000214102	Homo_sapiens
ENSGGOP00000009386	ENSGGOG00000009609	Gorilla_gorilla
ENSPPYP00000020270	ENSPPYG00000018066	Pongo_abelii
ENSNLEP00000002829	ENSNLEG00000002356	Nomascus_leucogenys
ENSPTEP00000037330	ENSPTEG00000034937	Piliocolobus_tephrosceles
ENSCANP00000038969	ENSCANG00000043170	Colobus_angolensis_palliatus
ENSRROP00000003436	ENSRROG00000013594	Rhinopithecus_roxellana
ENSRBIP00000014187	ENSRBIG00000031199	Rhinopithecus_bieti
ENSTGEP00000034515	ENSTGEG00000027518	Theropithecus_gelada
ENSPANP00000007771	ENSPANG00000008933	Papio_anubis
ENSMFAP00000039000	ENSMFAG00000038833	Macaca_fascicularis
ENSMMUP00000055706	ENSMMUG00000044167	Macaca_mulatta
ENSMNEP00000017572	ENSMNEG00000032770	Macaca_nemestrina
ENSCATP00000001560	ENSCATG00000007238	Cercocebus_atys
ENSMLEP00000005297	ENSMLEG00000023635	Mandrillus_leucophaeus
ENSCSAP00000004371	ENSCSAG00000008117	Chlorocebus_sabaeus
ENSCCAP00000030627	ENSCCAG00000033355	Cebus_capucinus_imitator
ENSSBOP00000021646	ENSSBOG00000027383	Saimiri_boliviensis_boliviensis
ENSCJAP00000025076	ENSCJAG00000013627	Callithrix_jacchus
ENSANAP00000020561	ENSANAG00000028062	Aotus_nancymaae
ENSTSYP00000002256	ENSTSYG00000002451	Carlito_syrichta
ENSPCOP00000010314	ENSPCOG00000016620	Propithecus_coquereli
ENSMICP00000042038	ENSMICG00000045942	Microcebus_murinus
ENSPSMP00000007265	ENSPSMG00000005416	Prolemur_simus
ENSOGAP00000017871	ENSOGAG00000032705	Otolemur_garnettii
ENSOGAP00000020618	ENSOGAG00000034817	Otolemur_garnettii
ENSCCNP00000012253	ENSCCNG00000012712	Castor_canadensis	ENSCCNT00000016066
ENSCCNP00000000371	ENSCCNG00000000436	Castor_canadensis	ENSCCNT00000000481
ENSDORP00000014269	ENSDORG00000015156	Dipodomys_ordii	ENSDORT00000015157
ENSCGRP00015000027	ENSCGRG00015000032	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001004854	ENSCGRG00001006258	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017867	ENSCGRG00000012994	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012945	ENSMAUG00000013105	Mesocricetus_auratus
ENSPEMP00000012632	ENSPEMG00000012913	Peromyscus_maniculatus_bairdii
ENSMOCP00000001019	ENSMOCG00000000778	Microtus_ochrogaster
ENSMSIP00000003233	ENSMSIG00000002990	Mus_spicilegus	ENSMSIT00000004093
ENSMUSP00000038754	ENSMUSG00000037159	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000038907
MGP_SPRETEiJ_P0076262	MGP_SPRETEiJ_G0029255	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0076262
MGP_CAROLIEiJ_P0073414	MGP_CAROLIEiJ_G0028256	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0073414
MGP_PahariEiJ_P0049532	MGP_PahariEiJ_G0022014	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0049532
ENSRNOP00000038017	ENSRNOG00000026446	Rattus_norvegicus	ENSRNOT00000036398
ENSMUGP00000007734	ENSMUGG00000007019	Meriones_unguiculatus	ENSMUGT00000009142
ENSJJAP00000021731	ENSJJAG00000022003	Jaculus_jaculus
ENSCLAP00000013534	ENSCLAG00000009356	Chinchilla_lanigera
ENSODEP00000017813	ENSODEG00000013142	Octodon_degus
ENSCPOP00000014446	ENSCPOG00000025291	Cavia_porcellus
ENSCAPP00000014619	ENSCAPG00000014948	Cavia_aperea
ENSCAPP00000004212	ENSCAPG00000006799	Cavia_aperea
ENSCPOP00000019709	ENSCPOG00000019816	Cavia_porcellus
ENSHGLP00000016326	ENSHGLG00000011701	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025800	ENSHGLG00100018922	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019783	ENSFDAG00000008907	Fukomys_damarensis
ENSSDAP00000027131	ENSSDAG00000024583	Spermophilus_dauricus
ENSUPAP00010020201	ENSUPAG00010015989	Urocitellus_parryii
ENSMMMP00000012615	ENSMMMG00000011258	Marmota_marmota_marmota
ENSOCUP00000023565	ENSOCUG00000026396	Oryctolagus_cuniculus
ENSOPRP00000008321	ENSOPRG00000009103	Ochotona_princeps
ENSPVAP00000005881	ENSPVAG00000006220	Pteropus_vampyrus
ENSMLUP00000016284	ENSMLUG00000029750	Myotis_lucifugus
ENSOARP00000015005	ENSOARG00000013980	Ovis_aries
ENSCHIP00000000457	ENSCHIG00000000323	Capra_hircus
ENSCHIP00000019977	ENSCHIG00000018792	Capra_hircus
ENSBIXP00000019008	ENSBIXG00000004431	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027484	ENSBIXG00005030568	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000047446	ENSBTAG00000004658	Bos_taurus
ENSBMUP00000017818	ENSBMUG00000013476	Bos_mutus
ENSBBBP00000007279	ENSBBBG00000015353	Bison_bison_bison
ENSSSCP00000017471	ENSSSCG00000016489	Sus_scrofa_strain_reference
ENSTTRP00000009461	ENSTTRG00000009975	Tursiops_truncatus
ENSVPAP00000003413	ENSVPAG00000003678	Vicugna_pacos
