ENSAPEP00000027822	ENSAPEG00000019756	Amphiprion_percula
ENSAPEP00000027783	ENSAPEG00000019731	Amphiprion_percula
ENSAOCP00000026066	ENSAOCG00000002212	Amphiprion_ocellaris
ENSAPOP00000004498	ENSAPOG00000006100	Acanthochromis_polyacanthus	ENSAPOT00000009938
ENSAPOP00000012643	ENSAPOG00000000429	Acanthochromis_polyacanthus	ENSAPOT00000020579
ENSAPOP00000008234	ENSAPOG00000010347	Acanthochromis_polyacanthus	ENSAPOT00000003592
ENSAPEP00000025578	ENSAPEG00000018216	Amphiprion_percula	ENSAPET00000026252
ENSAPOP00000031362	ENSAPOG00000018535	Acanthochromis_polyacanthus	ENSAPOT00000024266
ENSAPOP00000014747	ENSAPOG00000017672	Acanthochromis_polyacanthus	ENSAPOT00000023248
ENSAPOP00000023210	ENSAPOG00000004834	Acanthochromis_polyacanthus	ENSAPOT00000011896
ENSAPOP00000004595	ENSAPOG00000000721	Acanthochromis_polyacanthus	ENSAPOT00000009771
ENSAPOP00000007630	ENSAPOG00000009643	Acanthochromis_polyacanthus	ENSAPOT00000004618
ENSAPOP00000020408	ENSAPOG00000023986	Acanthochromis_polyacanthus	ENSAPOT00000035253
ENSAPOP00000009183	ENSAPOG00000011453	Acanthochromis_polyacanthus	ENSAPOT00000001976
ENSAOCP00000026074	ENSAOCG00000014090	Amphiprion_ocellaris	ENSAOCT00000016823
ENSAPEP00000027809	ENSAPEG00000019738	Amphiprion_percula	ENSAPET00000028546
ENSAPOP00000003361	ENSAPOG00000004850	Acanthochromis_polyacanthus	ENSAPOT00000011876
ENSSPAP00000027766	ENSSPAG00000020932	Stegastes_partitus	ENSSPAT00000028220
ENSSPAP00000021768	ENSSPAG00000016443	Stegastes_partitus	ENSSPAT00000022113
ENSSPAP00000024251	ENSSPAG00000018329	Stegastes_partitus	ENSSPAT00000024651
ENSAPOP00000020050	ENSAPOG00000023578	Acanthochromis_polyacanthus	ENSAPOT00000030093
ENSAPOP00000016624	ENSAPOG00000019752	Acanthochromis_polyacanthus	ENSAPOT00000025644
