ENSMLUP00000021802	ENSMLUG00000028534	Myotis_lucifugus
ENSPVAP00000004766	ENSPVAG00000005038	Pteropus_vampyrus
ENSECAP00000048619	ENSECAG00000000194	Equus_caballus
ENSEASP00005033323	ENSEASG00005022826	Equus_asinus_asinus
ENSNVIP00000026292	ENSNVIG00000020332	Neovison_vison	ENSNVIT00000030504
ENSMPUP00000013252	ENSMPUG00000013351	Mustela_putorius_furo
ENSAMEP00000018424	ENSAMEG00000017436	Ailuropoda_melanoleuca
ENSUMAP00000019053	ENSUMAG00000013998	Ursus_maritimus
ENSCAFP00020002340	ENSCAFG00020001972	Canis_lupus_dingo
ENSVVUP00000008567	ENSVVUG00000006427	Vulpes_vulpes
ENSCAFP00000042063	ENSCAFG00000007359	Canis_lupus_familiaris
ENSPTIP00000018701	ENSPTIG00000016752	Panthera_tigris_altaica
ENSPPRP00000016560	ENSPPRG00000008803	Panthera_pardus
ENSFCAP00000022479	ENSFCAG00000027258	Felis_catus
ENSSARP00000010215	ENSSARG00000011320	Sorex_araneus
ENSBTAP00000009433	ENSBTAG00000007167	Bos_taurus
ENSBMUP00000025025	ENSBMUG00000018795	Bos_mutus
ENSBIXP00000000135	ENSBIXG00000030216	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028196	ENSBIXG00005029388	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000004672	ENSBBBG00000013559	Bison_bison_bison
ENSCHIP00000025510	ENSCHIG00000022250	Capra_hircus
ENSOARP00000015148	ENSOARG00000014118	Ovis_aries
ENSTTRP00000003134	ENSTTRG00000003346	Tursiops_truncatus
ENSSSCP00000052127	ENSSSCG00000009568	Sus_scrofa_strain_reference
ENSVPAP00000003659	ENSVPAG00000003937	Vicugna_pacos
ENSPSMP00000031591	ENSPSMG00000021914	Prolemur_simus
ENSPCOP00000000286	ENSPCOG00000000658	Propithecus_coquereli
ENSMICP00000011215	ENSMICG00000012322	Microcebus_murinus
ENSTSYP00000025229	ENSTSYG00000029837	Carlito_syrichta
ENSHGLP00000025259	ENSHGLG00000017994	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016024	ENSHGLG00100011826	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017174	ENSFDAG00000005791	Fukomys_damarensis
ENSCLAP00000007579	ENSCLAG00000005323	Chinchilla_lanigera
ENSODEP00000010243	ENSODEG00000007655	Octodon_degus
ENSCAPP00000003014	ENSCAPG00000005893	Cavia_aperea
ENSCPOP00000001936	ENSCPOG00000002138	Cavia_porcellus
ENSDORP00000021445	ENSDORG00000024933	Dipodomys_ordii
ENSMSIP00000005655	ENSMSIG00000005074	Mus_spicilegus
MGP_SPRETEiJ_P0038668	MGP_SPRETEiJ_G0020233	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000134057	ENSMUSG00000040123	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0085052	MGP_PahariEiJ_G0030360	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041172	ENSRNOG00000029220	Rattus_norvegicus
ENSMUGP00000030220	ENSMUGG00000025094	Meriones_unguiculatus
ENSCGRP00001005024	ENSCGRG00001006520	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015017135	ENSCGRG00015013196	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011096	ENSCGRG00000008092	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015038100	ENSCGRG00015028487	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021658	ENSMAUG00000019317	Mesocricetus_auratus
ENSMOCP00000002110	ENSMOCG00000001655	Microtus_ochrogaster
ENSPEMP00000017606	ENSPEMG00000016467	Peromyscus_maniculatus_bairdii
ENSNGAP00000011135	ENSNGAG00000013371	Nannospalax_galili
ENSJJAP00000017599	ENSJJAG00000019107	Jaculus_jaculus
ENSSTOP00000023072	ENSSTOG00000026074	Ictidomys_tridecemlineatus
ENSUPAP00010023733	ENSUPAG00010018804	Urocitellus_parryii
ENSSDAP00000002462	ENSSDAG00000002379	Spermophilus_dauricus
ENSOCUP00000011934	ENSOCUG00000013877	Oryctolagus_cuniculus
ENSPPAP00000023434	ENSPPAG00000034895	Pan_paniscus
ENSPTRP00000009690	ENSPTRG00000005679	Pan_troglodytes
ENSGGOP00000025188	ENSGGOG00000022435	Gorilla_gorilla
ENSPPYP00000005908	ENSPPYG00000005187	Pongo_abelii
ENSNLEP00000001632	ENSNLEG00000001352	Nomascus_leucogenys
ENSTGEP00000021721	ENSTGEG00000017541	Theropithecus_gelada
ENSPANP00000011633	ENSPANG00000004694	Papio_anubis
ENSCATP00000022841	ENSCATG00000035024	Cercocebus_atys
ENSCSAP00000014117	ENSCSAG00000018100	Chlorocebus_sabaeus
ENSRBIP00000027953	ENSRBIG00000037855	Rhinopithecus_bieti
ENSRROP00000042383	ENSRROG00000044339	Rhinopithecus_roxellana
ENSCANP00000021842	ENSCANG00000034365	Colobus_angolensis_palliatus
ENSPTEP00000011626	ENSPTEG00000013096	Piliocolobus_tephrosceles
ENSCJAP00000008362	ENSCJAG00000004584	Callithrix_jacchus
ENSSBOP00000021230	ENSSBOG00000027165	Saimiri_boliviensis_boliviensis
ENSCCAP00000027364	ENSCCAG00000031521	Cebus_capucinus_imitator
ENSANAP00000005471	ENSANAG00000020820	Aotus_nancymaae
ENSMMUP00000036498	ENSMMUG00000001920	Macaca_mulatta
ENSMNEP00000007180	ENSMNEG00000028165	Macaca_nemestrina
ENSMLEP00000038053	ENSMLEG00000043101	Mandrillus_leucophaeus
ENSP00000372361	ENSG00000132950	Homo_sapiens
ENSCCNP00000008265	ENSCCNG00000008771	Castor_canadensis
ENSLAFP00000002662	ENSLAFG00000003204	Loxodonta_africana
ENSPCAP00000008115	ENSPCAG00000008707	Procavia_capensis
ENSETEP00000006461	ENSETEG00000007956	Echinops_telfairi
ENSDNOP00000013896	ENSDNOG00000017909	Dasypus_novemcinctus
ENSCHOP00000007902	ENSCHOG00000008940	Choloepus_hoffmanni
