ENSECRP00000007039	ENSECRG00000004700	Erpetoichthys_calabaricus
ENSACAP00000006942	ENSACAG00000007050	Anolis_carolinensis
ENSUAMP00000002242	ENSUAMG00000002064	Ursus_americanus
ENSLCOP00000019815	ENSLCOG00000014007	Lepidothrix_coronata
ENSCGRP00000008211	ENSCGRG00000005990	Cricetulus_griseus_CriGri_1.0
ENSNLEP00000018566	ENSNLEG00000015293	Nomascus_leucogenys
ENSDORP00000023851	ENSDORG00000002479	Dipodomys_ordii
ENSP00000356437	ENSG00000111961	Homo_sapiens
ENSGAFP00000016534	ENSGAFG00000011144	Gambusia_affinis
ENSPFOP00000015250	ENSPFOG00000015199	Poecilia_formosa
ENSSHAP00000015248	ENSSHAG00000013003	Sarcophilus_harrisii
ENSPKIP00000034006	ENSPKIG00000013509	Paramormyrops_kingsleyae
ENSAOWP00000014912	ENSAOWG00000010172	Apteryx_owenii
ENSLCRP00005039809	ENSLCRG00005015379	Larimichthys_crocea
ENSTRUP00000052828	ENSTRUG00000024046	Takifugu_rubripes
ENSAPLP00000027989	ENSAPLG00000007750	Anas_platyrhynchos_platyrhynchos
ENSMNEP00000038199	ENSMNEG00000042118	Macaca_nemestrina
ENSHCOP00000001917	ENSHCOG00000002978	Hippocampus_comes
ENSIPUP00000007826	ENSIPUG00000005390	Ictalurus_punctatus
ENSPTEP00000003921	ENSPTEG00000004648	Piliocolobus_tephrosceles
ENSOPRP00000007701	ENSOPRG00000008402	Ochotona_princeps
ENSOMEP00000036243	ENSOMEG00000023776	Oryzias_melastigma
ENSRROP00000010758	ENSRROG00000029761	Rhinopithecus_roxellana
ENSBSLP00000057114	ENSBSLG00000026580	Betta_splendens
ENSTBEP00000014324	ENSTBEG00000016449	Tupaia_belangeri
ENSPVAP00000003281	ENSPVAG00000003471	Pteropus_vampyrus
ENSXMAP00000030155	ENSXMAG00000007578	Xiphophorus_maculatus
ENSSMAP00000023434	ENSSMAG00000014292	Scophthalmus_maximus
ENSSTOP00000031837	ENSSTOG00000002365	Ictidomys_tridecemlineatus
ENSMMOP00000014213	ENSMMOG00000010877	Mola_mola
ENSPRNP00000024997	ENSPRNG00000012695	Parambassis_ranga
ENSEBUP00000015918	ENSEBUG00000009990	Eptatretus_burgeri
ENSPTRP00000089606	ENSPTRG00000018688	Pan_troglodytes
ENSGACP00000015344	ENSGACG00000011597	Gasterosteus_aculeatus
ENSHHUP00000059930	ENSHHUG00000035575	Hucho_hucho
ENSPMGP00000010837	ENSPMGG00000008982	Periophthalmus_magnuspinnatus
ENSLAFP00000014207	ENSLAFG00000016939	Loxodonta_africana
ENSMUSP00000015449	ENSMUSG00000015305	Mus_musculus_strain_reference_(CL57BL6)
ENSHHUP00000027168	ENSHHUG00000017224	Hucho_hucho
ENSGALP00000047619	ENSGALG00000012342	Gallus_gallus
ENSTNIP00000022513	ENSTNIG00000019311	Tetraodon_nigroviridis
ENSMMUP00000055812	ENSMMUG00000004893	Macaca_mulatta
